"","FBgn","Symbol","CHR","Complex","A3FH1","A3FH2","A3FH3","A3MH1","A3MH2","A3MH3","A40FH1","A40FH2","A40FH3","A9FH1","A9FH2","A9FH3","A9MH1","A9MH2","A9MH3","S3FH1","S3FH2","S3FH3","S3MH1","S3MH2","S3MH3","S40FH1","S40FH2","S40FH3","S9FH1","S9FH2","S9FH3","S9MH1","S9MH2","S9MH3"
"ND-13A","FBgn0031684","ND-13A","2L","Complex I",-0.13872291497927,-0.430019676559629,-0.0938435356353383,-0.0806778399945723,0.407064486406767,0.12496455809933,-1.88459602098441,-1.09312461964409,-1.24546020643928,-0.868058013568191,-0.68151875067225,-0.29943261183674,-0.0655537788802084,-1.00486556811954,-0.913465085437413,1.31711955932715,-0.363432193121749,2.37866897535348,0.619622182948767,-0.0740381005336215,0.444593328671518,-0.12260667231294,1.92552540613889,0.284577882433362,-0.356468069242219,1.02407287907774,-0.119802202474597,2.26406123208353,0.00117248027856071,-0.955757110383019
"ND-51","FBgn0031771","ND-51","2L","Complex I",0.524219086726043,0.703864490430254,0.577081073787492,0.103650767541941,-0.0597051513543418,-0.0385714861054034,-0.678223137727658,-1.39677216592162,-0.611276191379863,-0.0928163009225926,-0.579204514166334,1.050728411154,-0.390793913986828,-0.0596658461227443,-0.193343066001551,0.574737809527265,0.644718005944171,-1.34482672349472,-0.0796199474534148,0.211255069240848,0.287250292989551,0.0519039989902955,1.76839963357862,-0.251739603630584,1.17002581173137,-0.121600886611995,-0.628941517360689,2.81248544545205,-1.78971547475254,-2.16350397010103
"ND-B22","FBgn0032511","ND-B22","2L","Complex I",0.401683656128291,0.0868268556960678,0.0897176538073934,0.469149471426969,0.824704292063037,0.366809108092994,-1.7248716135794,-1.42891623029018,-1.19599754898515,-0.765307636350846,-0.318024669594447,0.369194463706288,-0.946846525002196,-0.919213562394627,-0.934596000496445,1.51769946293158,-0.0879801844154138,1.38367978608026,0.399205822754021,0.306263571544388,0.380993731532617,-0.185747187026581,-0.513413325280703,-0.663044043627764,0.0451428339953899,1.5750095202126,0.565795388621693,2.80761869481291,-0.811412815280538,-1.09412297108221
"ND-B14","FBgn0033570","ND-B14","2R","Complex I",0.11648075178212,-0.294491884363158,-0.287033893048052,-0.306938323900112,-0.282037292143045,-0.137283848367343,-1.61748037273463,-0.476948092913177,-1.22377751676981,-1.0240602959508,0.0602375658877268,-0.344170545282816,0.103981718644578,-1.26378861195566,-0.884350930310981,1.76156851269266,-0.545893966903489,1.43765544249474,0.810368673608141,-0.29616955797367,-0.222682962802438,0.14498404765576,1.18794610666975,-0.300454322034748,0.262767178698638,0.944154130508322,0.289196737765531,3.32297227808303,-0.011903319247736,-0.92284740778932
"ND-B15","FBgn0033961","ND-B15","2R","Complex I",0.212190144759345,0.418836122434864,-0.0597540626566244,0.0662625003848436,0.433374341050294,-0.0596602609585862,-2.18970707326823,-0.521573108525882,-1.11696932662892,-0.44408070083775,-0.112865704013202,0.499642819186676,0.00078940937736747,-1.60342686660292,-1.27371585561897,1.64234421836647,-0.128138195792752,1.50476805438468,1.17778845858693,-0.12057624268963,-0.105368343840846,0.553332281495769,1.98110981167969,-0.148540403252194,0.504321555061107,0.712065297320102,-0.585102321118418,1.46502925255576,-1.16752071663101,-1.53485508420797
"ND-B14.7","FBgn0034576","ND-B14.7","2R","Complex I",-0.0977235991473578,-0.119999975558563,-0.151004919174091,0.072310499519906,0.0935537007762978,-0.0227491478010653,-1.68699275850956,-1.32632042386905,-1.17125459923866,-1.04061241809587,-0.299045418673888,-0.0416612790474422,-0.548008417879822,-1.11543406950169,-1.17903914953772,1.34726684255429,-0.247867486463291,1.51706469325591,0.599404806937902,0.550297915627153,0.678872277210521,0.262581078426722,3.21070082396044,-0.0708972940454148,-0.0726504964688654,0.693335506442261,-0.209521953251075,1.4114741859833,-0.282800610240488,-0.753278314190798
"ND-B12","FBgn0034645","ND-B12","2R","Complex I",0.478942156898485,0.0578738728883929,0.36690785185549,0.0290848446146575,0.0713600578048351,-0.266763261395099,-1.37392981593536,-0.990116832978807,-1.12680462736167,-0.719005732874103,-0.675203894281515,0.0594028292279315,-0.562543308250803,-0.775244880079775,-0.663307057617747,1.08356718019143,-0.530057822214674,2.5061686720388,-0.278348923535902,-0.118334625062098,-0.193964359306031,-0.515298456839983,0.58661565973182,-0.835874844801733,-0.392151824389315,1.57659878843545,0.631927078355506,3.04546755554532,0.253047533870888,-0.730013814534395
"ND-19","FBgn0035046","ND-19","2R","Complex I",0.352653329020197,0.109930391298429,0.521785772950155,-0.218543722094781,0.0152955780161524,-0.141448854714735,-1.63970519054103,-0.95667777974756,-0.921912187289996,-0.496379908098896,-0.407541143768759,-0.0792218816121762,-0.706572016352488,-1.2584412158996,-0.786827098983623,1.51607024268746,-0.294671422401816,1.9314101545301,-0.257190988121564,-0.396183320597713,-0.466411656472938,0.103928998142109,2.6548028422561,-0.0942231197827301,-0.0678036024088186,1.4913997034521,0.353737159030223,1.80942738174857,-0.447303066898394,-1.22338337734399
"ND-39","FBgn0037001","ND-39","3L","Complex I",1.35416044345993,1.4952831974869,1.47228224958711,1.25965295782243,1.23376776489941,1.24014320420583,-0.963761974831811,-1.36670627911624,-0.596345610603487,-0.103635854616391,-0.726009207759143,1.43635233315744,-0.959319580535638,-0.122774497005319,0.131494070286822,0.303112926334556,0.411296003626696,-1.20486783620891,-0.156617024079828,0.702838864415296,0.625875742747709,-0.345683711621288,1.12466269410759,-0.798409694262504,-0.325689405253747,-1.04336706155905,-1.22814331464217,2.61136540334819e-05,-1.39345918691215,-1.45615832678407
"ND-49","FBgn0039909","ND-49","4","Complex I",1.15575124704753,1.11934925174859,1.09234423772256,0.941990921928279,0.919613041469242,0.684531597606918,-1.99822447095295,-1.47244647058723,-1.58812002641143,-0.35617174372084,0.195678309162342,0.454334425470091,0.1219004928447,-0.542536513521566,-0.403618210446792,1.23278265164622,0.416981296128683,-0.628320841537954,1.02104556481051,0.36857820018074,0.388693981795857,-0.207388570486209,0.576082615471564,-0.977075145228453,0.8026270313306,-0.484607882777982,-0.765511674715013,1.20567854413771,-1.15523105859871,-2.11871080151701
"ND-B8","FBgn0040705","ND-B8","2L","Complex I",-0.195000731789147,-0.195955062427242,-0.183630626418528,-0.181813379117899,-0.20741029595755,-0.195062927250866,-0.193711609898687,-0.20741029595755,-0.20741029595755,-0.20741029595755,-0.150764939085669,-0.20741029595755,-0.20741029595755,-0.197187143483991,-0.197568722412811,-0.0876258012173584,-0.20741029595755,-0.20741029595755,-0.191443299039555,-0.181291892822157,-0.100812634646623,-0.188121477349608,-0.20741029595755,-0.125431959864844,-0.20741029595755,-0.20741029595755,-0.184390659552184,5.29151013596432,-0.15202132144249,-0.108162692611612
"CG9034","FBgn0040931","CG9034","X","Complex I",-0.057718008094602,-0.33184467214756,-0.277077333794124,-0.152406171655422,0.216119605087225,-0.122231725617763,-1.61231673556474,-1.14497283650011,-0.980719516669836,-0.783911221764371,-0.331474453646188,0.042334871764605,0.18088736968838,-0.936208709123534,-0.948280192541603,0.779636540998831,-0.633814271617676,2.55052373786216,0.114487508788115,-0.147182956274332,-0.210328176393387,0.318275390361373,1.68936526847935,-0.484214831012398,-0.328089807236944,1.65299813835013,0.340803534752121,2.61927100511301,-0.198259122123608,-0.823652229467098
