Well Position,Sample,Genotype,Plate,Biological replicate,Technical replicate,Concentration ,Primer,Cq,Cq Mean,Cq Confidence,Cq SD,Efficiency,Censor,Comments
E3,Idgf6 RNAi 1 5,"221> Idgf6 RNAi, G85R",B,1,3,5,PyK,24.35981859,24.42747979,0.989076326,0.06540665,no,no,
E4,Idgf6 RNAi 2 5,"221> Idgf6 RNAi, G85R",B,2,1,5,PyK,24.66562948,24.72196369,0.988722587,0.07644366,no,no,
E5,Idgf6 RNAi 2 5,"221> Idgf6 RNAi, G85R",B,2,2,5,PyK,24.69127949,24.72196369,0.987798906,0.07644366,no,no,
E6,Idgf6 RNAi 2 5,"221> Idgf6 RNAi, G85R",B,2,3,5,PyK,24.80898209,24.72196369,0.995159275,0.07644366,no,no,
E7,Idgf6 RNAi 3 5,"221> Idgf6 RNAi, G85R",B,3,1,5,PyK,24.66013178,24.70629467,0.988361183,0.059476702,no,no,
E8,Idgf6 RNAi 3 5,"221> Idgf6 RNAi, G85R",B,3,2,5,PyK,24.68533956,24.70629467,0.988206304,0.059476702,no,no,
E9,Idgf6 RNAi 3 5,"221> Idgf6 RNAi, G85R",B,3,3,5,PyK,24.77341268,24.70629467,0.987675239,0.059476702,no,no,
F1,Idgf6 RNAi 1 5,"221> Idgf6 RNAi, G85R",B,1,1,5,p53,26.86308775,26.92311714,0.984039454,0.110603746,no,no,
F2,Idgf6 RNAi 1 5,"221> Idgf6 RNAi, G85R",B,1,2,5,p53,26.85550733,26.92311714,0.983811789,0.110603746,no,no,
F3,Idgf6 RNAi 1 5,"221> Idgf6 RNAi, G85R",B,1,3,5,p53,27.05075633,26.92311714,0.982168045,0.110603746,no,no,
F4,Idgf6 RNAi 2 5,"221> Idgf6 RNAi, G85R",B,2,1,5,p53,27.15604235,27.01493279,0.977908451,0.204268324,no,no,
F5,Idgf6 RNAi 2 5,"221> Idgf6 RNAi, G85R",B,2,2,5,p53,26.78069656,27.01493279,0.987708714,0.204268324,no,no,
F6,Idgf6 RNAi 2 5,"221> Idgf6 RNAi, G85R",B,2,3,5,p53,27.10805947,27.01493279,0.981282311,0.204268324,no,no,
F7,Idgf6 RNAi 3 5,"221> Idgf6 RNAi, G85R",B,3,1,5,p53,28.15421754,27.97273668,0.950576897,0.163199442,no,no,
F8,Idgf6 RNAi 3 5,"221> Idgf6 RNAi, G85R",B,3,2,5,p53,27.83803513,27.97273668,0.987203477,0.163199442,no,no,
F9,Idgf6 RNAi 3 5,"221> Idgf6 RNAi, G85R",B,3,3,5,p53,27.92595738,27.97273668,0.981051773,0.163199442,no,no,
G1,WT2 2.5,WT-cr,B,2,1,2.5,PyK,34.14966285,34.31687646,0.985620107,1.164125642,no,no,
G2,WT2 2.5,WT-cr,B,2,2,2.5,PyK,33.24539963,34.31687646,0.990730089,1.164125642,no,no,
G3,WT2 2.5,WT-cr,B,2,3,2.5,PyK,35.55556691,34.31687646,0.98053806,1.164125642,no,no,
H1,WT2 2.5,WT-cr,B,2,1,2.5,p53,35.78728299,35.0334921,0.963481918,0.672234455,no,no,
H2,WT2 2.5,WT-cr,B,2,2,2.5,p53,34.81706048,35.0334921,0.977767793,0.672234455,no,no,
H3,WT2 2.5,WT-cr,B,2,3,2.5,p53,34.49613284,35.0334921,0.983620678,0.672234455,no,no,
A1,GR1 (5ng),G85R,C,1,1,5,RP49,15.84211143,15.74278778,0.989247594,0.10977917,no,no,
A2,GR1 (5ng),G85R,C,1,2,5,RP49,15.76133574,15.74278778,0.972642683,0.10977917,no,no,
A3,GR1 (5ng),G85R,C,1,3,5,RP49,15.62491616,15.74278778,0.980203679,0.10977917,no,no,
A4,GR2 (5ng),G85R,C,2,1,5,RP49,16.04006335,16.03304956,0.981362358,0.009919005,no,no,
A5,GR2 (5ng),G85R,C,2,2,5,RP49,16.02603576,16.03304956,0.977775215,0.009919005,no,no,
A6,GR2 (5ng),G85R,C,2,3,5,RP49,37.08718067,16.03304956,0.212921975,0.009919005,no,yes,melt curve almost flat (super small peak)
A7,GR3 (5ng),G85R,C,3,1,5,RP49,UNDETERMINED,15.85878273,0,0.136168664,no,yes,melt curve almost flat (super small peak)
A8,GR3 (5ng),G85R,C,3,2,5,RP49,15.95506852,15.85878273,0.979214495,0.136168664,no,no,
A9,GR3 (5ng),G85R,C,3,3,5,RP49,15.76249695,15.85878273,0.982711779,0.136168664,no,no,
B1,WT1 (5ng),WT-cr,C,1,1,5,RP49,15.68870983,15.60563815,0.98596976,0.1143985,no,no,
B2,WT1 (5ng),WT-cr,C,1,2,5,RP49,15.65304802,15.60563815,0.977280544,0.1143985,no,no,
B3,WT1 (5ng),WT-cr,C,1,3,5,RP49,15.4751566,15.60563815,0.978455657,0.1143985,no,no,
B4,WT2 (5ng),WT-cr,C,2,1,5,RP49,15.78556735,15.74414603,0.978027273,0.153530391,no,no,
B5,WT2 (5ng),WT-cr,C,2,2,5,RP49,15.57415448,15.74414603,0.97924442,0.153530391,no,no,
B6,WT2 (5ng),WT-cr,C,2,3,5,RP49,15.87271628,15.74414603,0.981411883,0.153530391,no,no,
B7,WT3 (5ng),WT-cr,C,3,1,5,RP49,15.90497656,15.78598204,0.972087953,0.185695777,no,no,
B8,WT3 (5ng),WT-cr,C,3,2,5,RP49,15.88096181,15.78598204,0.987294841,0.185695777,no,no,
B9,WT3 (5ng),WT-cr,C,3,3,5,RP49,15.57200776,15.78598204,0.982239947,0.185695777,no,no,
C1,KD1 (5ng),"221> Idgf6 RNAi, G85R",C,1,1,5,RP49,16.65026444,16.6451043,0.977162673,0.082089533,no,no,
C2,KD1 (5ng),"221> Idgf6 RNAi, G85R",C,1,2,5,RP49,16.72449203,16.6451043,0.973653292,0.082089533,no,no,
C3,KD1 (5ng),"221> Idgf6 RNAi, G85R",C,1,3,5,RP49,16.56055642,16.6451043,0.985876391,0.082089533,no,no,
C4,KD2 (5ng),"221> Idgf6 RNAi, G85R",C,2,1,5,RP49,16.78584723,16.63658481,0.984176278,0.136865585,no,no,
C5,KD2 (5ng),"221> Idgf6 RNAi, G85R",C,2,2,5,RP49,16.60692843,16.63658481,0.974598559,0.136865585,no,no,
C6,KD2 (5ng),"221> Idgf6 RNAi, G85R",C,2,3,5,RP49,16.51697876,16.63658481,0.974275587,0.136865585,no,no,
C7,KD3 (5ng),"221> Idgf6 RNAi, G85R",C,3,1,5,RP49,16.07672161,15.63049352,0.975565265,0.76481534,no,no,
C8,KD3 (5ng),"221> Idgf6 RNAi, G85R",C,3,2,5,RP49,16.06738164,15.63049352,0.974269644,0.76481534,no,no,
C9,KD3 (5ng),"221> Idgf6 RNAi, G85R",C,3,3,5,RP49,14.7473773,15.63049352,0.98680576,0.76481534,no,no,
D1,GR1 (5ng),G85R,C,1,1,5,Pepck-1,20.99785968,20.89686746,0.980674742,0.152814909,no,no,
D2,GR1 (5ng),G85R,C,1,2,5,Pepck-1,20.97168227,20.89686746,0.981825741,0.152814909,no,no,
D3,GR1 (5ng),G85R,C,1,3,5,Pepck-1,20.72106044,20.89686746,0.983001266,0.152814909,no,no,
D4,GR2 (5ng),G85R,C,2,1,5,Pepck-1,22.06070794,21.96947742,0.978310357,0.08891366,no,no,
