"","TktOEWT1","TktDfWT1","WT1","TktDfGR1","GR1","TktOEGR1","TktOEWT2","TktDfWT2","WT2","TktDfGR2","GR2","TktOEGR2","TktOEWT3","TktDfWT3","WT3","TktDfGR3","GR3","TktOEGR3","TktOEWT4","TktDfWT4","WT4","TktDfGR4","GR4","TktOEGR4"
"citraconic acid",3882058854,9378673312.55895,13838239648.3043,5963238666.31368,13082374215.8487,3573451973.3056,23846701324.9611,11435382570.5696,23394395721.8137,7176735330.38201,4823810368.5897,5167318064.96251,11905467300.6002,8277760219.98185,1275940605.98223,6764400042.79513,16421541912.7534,13012235332.0832,12496441924.4271,6492891249.6321,11268117941.7054,5501391706.60047,14110561156.8013,8435090616.84689
"citramalic acid",20907136210,36913975475.266,33081422889.6202,24991002716.8935,28942605096.459,26947307973.438,40973433036.5369,24564505182.0472,29991973456.316,22567276976.6364,23188459492.733,24503778878.2507,40558072635.9762,33002135241.0546,30823886732.0798,21005259642.9876,16264208024.2092,19104866807.6255,28285699049.6036,28620641240.6686,30864134851.6589,24444312128.9895,15463822383.5433,20342438984.3463
"citrate / citrate(iso)",987315931000,2067680421653.48,4565827717278.76,2333134949685.02,1944546947337.47,1435682640349.11,2227926321700.7,3119213182074.15,1743722254724.7,3119743366756.76,2276643535052.62,3026819140369.46,1842319757963.04,2940458142279.52,3760017460171.42,3311672094834.66,2994805491142.85,2686866562236.43,2053422162060.94,2408828890435.27,3021770746905.26,2814611463577.41,1116481997174.61,2514371181459.44
"citrulline",679802112.7,1354988263.09085,816799675.802316,425877329.612045,2587309661.80746,437158494.584631,1057786463.04187,911472710.329067,525135978.358835,1692967270.16581,674505335.915318,709296231.763784,915631509.664933,1521283700.90461,653680831.225037,979916982.302198,845210617.203381,685907238.856487,841825368.125984,1239384096.54566,782307816.935007,581004640.800608,1725043409.26645,700158164.657493
"CMP",9211945768,20181084210.4489,23173178572.0649,12767388660.9858,11503359208.0587,12498509654.2436,17998750399.3744,20976972722.4355,11723518489.6427,14775723834.2283,10211983717.0408,10838576535.1615,13404600171.0509,19159498519.2774,15276149184.8193,12653106255.7126,14241844718.8041,10507988457.1159,12493342537.8077,18624544452.5856,15282815120.9055,12350263284.9743,4381661168.14351,10321823710.3099
"Coenzyme A +",NA,NA,11967256.1394038,NA,NA,15918987.0619885,NA,NA,NA,21852905.9765157,NA,NA,NA,17338474.1609631,11264738.1732287,NA,NA,NA,NA,NA,NA,6635904.12234311,NA,20169903.5075275
"cortisol",NA,NA,NA,NA,NA,NA,NA,NA,6958737.13903383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"creatine",4380308169,1802753077.87731,2110961956.72335,2458339687.25622,1854488654.89403,737319521.898148,3444122613.37182,2159007325.44966,1754388401.85259,1371350302.47639,1565197167.06377,1040972343.59169,2816574012.5831,1803956700.07146,1803355894.68451,3176866854.60946,1734958405.64764,1388230748.33099,2342351843.94016,2185995381.37778,2103697689.47366,2184152712.64868,1346776312.2166,1352944977.71099
"creatinine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTP",NA,NA,183920629.997522,NA,NA,NA,NA,NA,NA,NA,NA,9470643.13766709,NA,6382659.9199327,NA,NA,NA,NA,NA,NA,16460958.3516271,NA,NA,NA
"cystathionine",6652663678,11452294332.8543,33618616001.6563,12088103307.7532,12435285688.8146,7048672209.25882,14142464153.9313,20005162088.9796,14839447107.3399,12402119945.1439,11673894586.2055,12835842151.2086,13293357935.7583,19472149934.6846,19164064482.3401,15397141458.2476,15645487143.6743,8683075142.52079,9729701976.89224,15880751449.3907,17705694558.6596,11244116732.129,9312860596.49002,16165199284.6198
"cysteine",12440913940,6695317769.62955,30618364563.6629,20742752579.1472,49041627388.8454,27699758108.8132,23635781560.6709,14477361690.4383,25006508952.3372,43781205542.4471,69721799600.1896,67541323760.3628,29745906007.6769,27597451344.9581,11362586990.7072,45447946781.194,73591366499.5842,36169614680.6758,22438125296.2139,45146716067.3477,27878754761.712,57696254563.1764,20549820241.1985,50938150516.3963
"cysteine-S-sulfate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426649857.407275,NA,NA,NA,NA,131446809.417798,46904425.5421952,NA
"cystine",8606169331,7627648760.18883,18907795848.847,7531676005.75925,21195232587.9171,8659115217.53884,34344715738.0308,13020108326.178,25296412971.3562,23835225225.7842,25671209542.6371,22964003329.2762,22921507053.3045,21528544826.5781,8939174110.56078,16702178839.3081,21082995172.6556,16470173497.2519,43124459583.7566,29945023175.9389,22028325900.7494,15298852679.6657,9790653054.32543,17294439230.1151
"cytidine",19785689740,39700216360.492,39416559498.0428,23371596390.5196,27066600049.2341,16613062451.8314,43247133034.8987,39171117046.4408,54525335841.8942,21591907498.7073,24412362982.4433,19561724774.7638,27412268337.0064,34716472035.6206,28280738594.2707,21705161115.4447,30705473450.9442,28215771772.4504,55142258362.6621,42919262845.6481,45153712484.6615,23489954713.1598,16134683540.6383,28018661606.3149
"cytosine",1325775185,3203814997.80344,2494323938.14608,2334920930.7091,2596080226.86645,1319073797.91923,2396772446.98308,2920848692.72029,3343903022.90064,2126560254.84818,2071608305.8311,1749705873.05251,2094786048.80429,3285169158.8441,753476961.900133,2165614755.18697,4082964265.61816,2709657906.49258,3840830963.05871,3403508607.66212,2555945310.55831,2029322462.36594,1420942147.77409,2196809225.8375
"dADP",NA,NA,7997409.30213002,164060257.758501,115912687.732706,62738404.9866193,9119377.11310629,9166897.25159551,NA,205990239.954647,85089629.4844468,45294007.6591209,NA,NA,NA,68594882.8539374,54393849.066808,58635575.3294645,NA,NA,NA,188863893.07681,NA,53687915.6631606
"dAMP",83699262.78,49195531.1683878,NA,592635485.046152,508943108.750443,685735905.114378,NA,77912157.8672797,40124550.6979922,817645174.852209,483138686.135321,478656250.437001,68974097.5186507,NA,34847352.3883373,598039681.953086,680011067.1436,397065517.799217,NA,52367283.9735078,NA,813418987.259196,213174499.039959,677931701.019373
"D-arabinono-1,4-lactone",12823251200,22307911959.4865,19624435355.5436,25514296866.2576,20830224844.374,22534397059.0755,22798856175.7802,27864154887.9672,22531927347.4774,26539003173.4944,16028797001.7151,19370108382.7525,13133129473.7562,21804669417.5115,20269544602.9421,24243015010.2474,17846707354.4043,30310307361.4099,34762524059.5896,30808725562.4244,24841683008.831,42606120876.8951,18309447151.034,26247853433.207
"dATP",NA,NA,NA,NA,NA,NA,7772735.35084618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dCDP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dCMP",30315436.75,40769411.5497074,59995550.8779156,27260877.9099751,16603963.6389958,NA,29687717.6314032,32716244.6009472,45352952.1022774,35053914.204775,NA,19237254.8084205,26344318.9794725,68249111.5400519,39463716.5681432,35249375.9398222,NA,15217455.2225306,12147099.9273415,NA,33909211.132362,36137917.1071892,NA,19896755.7051449
"dCTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8113926.75107196
"dehydroascorbic acid",27421302140,41363009348.5549,37266149414.1916,59574929339.7384,42767130574.6747,22741850690.0797,45535340063.4932,34836698453.1519,35059479696.2681,65056984675.5819,36908280064.5561,19994422481.7001,46051306810.8229,35084972048.0937,17965564539.9819,51600460877.2716,39110730375.7388,40676484036.3011,50713205992.153,35852462857.5629,34179454206.0476,59007258120.3264,27085076064.2171,47973554769.3378
"deoxyadenosine",88263199.33,71264613.1659497,420092178.254473,352517510.964772,308661125.707883,165057424.836273,373606143.004908,113735902.364932,869885864.25892,622756780.107055,711408767.786302,336049812.43102,166535640.52951,112460467.307542,44041208.861869,502660022.180297,591449067.252895,780819077.031733,254318762.647083,259067879.497068,203200842.598964,559328376.721577,290082081.18055,550735152.574626
"deoxycarnitine+",256476711000,223620442319.118,192816771249.363,53412152770.2931,73236293089.2471,38598592191.4182,179265333293.662,196018127391.232,126390301453.951,56770714402.0813,60427133047.4868,40606947131.56,179744314420.377,266703199267.782,228180993757.73,64363757135.259,74419526291.5027,33737448916.383,142922771493.688,191175808008.065,232701956170.984,49114164945.23,45405436180.0523,46158523461.807
"deoxycytidine",82733488.75,100378581.067848,317145551.73986,266078922.536268,217211659.688893,171449895.314925,245520677.396163,245579695.331261,461532144.789464,218671784.98491,298081451.191032,202146848.374635,62306642.855152,169541842.927959,77921121.0576884,275325064.471873,413096634.144051,384295896.798481,311688411.368506,244729898.136894,254159061.741103,207423552.982818,109436666.131186,324869283.569268
"deoxyguanosine",NA,NA,829677238.711875,8901550981.22117,8835596319.13554,6764786089.90696,NA,NA,NA,10291067962.8827,10031552305.2316,8929597010.52994,NA,NA,279615111.214886,9747511576.31246,8904516443.23873,12487834325.3215,NA,NA,NA,11351235881.1733,4880168517.75555,12616423123.89
"deoxyinosine",NA,175650491.054122,109130676.426465,7304100219.78638,5424630557.85291,2669584275.42315,210014904.018763,180241251.355905,191243861.529673,9544777333.49684,6203924652.4124,4112231605.55271,142514979.649424,156228853.738286,82306842.3818244,7449178271.30071,5217971695.45846,7433005734.89728,320599376.035325,215759174.022587,190895016.928327,9098104714.32513,3852995325.12928,8039632352.76084
"deoxyuridine",612718391.7,NA,85434350.5790043,27020975.805267,31892384.7209609,762663833.010694,77050109.3199548,16047516.0703887,26333027.5858819,98454434.0832563,NA,206119208.597096,42048621.3695227,25317903.5365141,898695359.097934,15066020.2363661,110268280.164747,37292688.4113277,51568098.9887926,18831789.9168922,93710956.5442321,73058900.3223847,3674758983.25637,96214682.3416137
"D-erythrose-4-phosphate",1286499501,5484687761.98663,13533421759.0784,4793721596.01341,4374260983.34039,2694285639.48759,4515439566.78079,6019879035.73242,3973812225.19409,5700757174.31058,4885065298.05843,5892506410.5292,3949250398.21001,7165746398.41148,7292314525.9773,6374506651.79021,4803480473.91049,4571265581.11508,3782124416.468,5698578987.74952,6480051715.36715,4892361725.04778,1593360276.72351,4217484104.40844
"D-galactonic acid / D-gluconic acid",12975519032000,7899439797594.61,16522421747557.3,12094210866115.3,12065480112597.5,12636820600914,12441561757938,12437522411850.8,15396716102822.1,10170512832502.8,11484935782627.6,15865629122405.4,7694753129357.37,10655222867209,9411560633600.18,14675106441906.9,15172982831052.3,17525580714542,10515808475581.4,12155407710057.6,13298290017199.7,12650936147221.5,8807619003041.32,14492231801983.7
"D-galactosamine/glucosamine-1/6-phosphate",8857745465,21081848292.2156,28517052418.3859,19040896383.2404,18852386772.4407,16360710875.2214,20876897590.6605,25142207716.502,15173946479.6799,24219093668.7615,20185686024.2056,25999667490.128,20543613887.5625,25667702603.3951,24281001347.9596,23175318979.3652,18314959878.1524,20663081791.3716,17086995664.4032,23374358939.3815,21991072541.6413,23023597122.7787,8642769791.67124,21854101899.2204
"D-glucuronolactone",2156796390,2766042532.82091,7745070114.72375,3617689380.60989,2513571863.22463,1888575296.70342,14099771046.2485,2455644016.03721,3615733407.77674,4127857376.19017,3136049056.65477,3140690174.32386,2785953798.38932,3503421697.0933,3225968676.23894,5029104577.34621,3096921853.63779,3452420676.05544,3129712237.12704,1973195494.64951,4283879837.88489,3330572372.06023,3977984118.60727,2612282198.52405
"dihydroorotate",167874722.2,236082463.585154,680053618.85146,851647523.771194,2350417777.42897,317513854.101377,261393706.834568,276354181.757181,413113094.379329,986131667.661562,569825013.980932,189243542.416573,214686221.41916,377836956.253255,634762267.552524,1192529298.16663,1073022778.37796,1277850307.59963,613241784.731666,487288853.31377,669043720.049994,1246465247.41086,430916089.610846,384962953.727367
"dimethylglycine",25993409170,30696773138.6684,31830988065.4345,22785947527.1877,20863256199.6716,17506895403.2045,20905039458.9257,31305473188.5617,17220219932.2216,34155914931.388,21731248531.999,22975211489.3351,28758448601.5852,30859890710.4507,43038131874.9025,27501115896.3714,33644747163.2206,20579474812.3923,22156098800.9903,27911700173.0276,29796485214.7761,23574582423.5573,18946000062.822,18788201334.6594
"DL-DOPA",32301115500,199430183346.503,113326764549.809,213599776357.976,306533150745.001,273769243293.199,142070285570.647,218850266422.499,191804792422.793,234111979483.484,211959925831.143,175742278728.625,81636468327.4192,177968003009.943,236398897250.749,237538056663.875,188035470945.17,319304518920.593,222302070047.54,239611710006.933,207004788327.696,452411193175.089,357158796506.874,303904146175.816
"DOPAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dopamine",NA,1440095737.16108,2172812713.27369,4217302650.00175,2227029936.96517,2301629977.2039,3463884509.85491,1766188151.93216,3907774489.48543,5325592209.79418,7585168694.32955,2124145014.40503,1965194761.31701,1455293420.78688,2080563314.26643,3866959616.09677,7753389967.53474,6186301077.09972,5373530697.93138,4320816083.03509,4209325748.37796,5163003799.8654,2427972737.10404,3321653396.10985
"D-ribose-1/5-phosphate / D-ribulose 5-phosphate",5288873979,12906930273.7896,15563218190.8435,12092601940.3963,9559631831.43154,8508526973.47137,17116545968.7296,15848620432.5817,10386889505.2132,11835818661.4363,9889004678.72122,10942303583.9185,10259912843.4636,16713020590.8481,11651982814.9608,13978853968.7896,6692183051.62254,9081646795.23033,11240769333.1563,16406725767.5364,14180476438.4097,16211343980.6612,4014614297.4227,9115618954.28852
"D-sedoheptulose",21327917830,28545580488.2524,29295084549.5935,34343373911.5986,25907928835.2006,30323325172.721,29357022926.8653,31095287625.4446,31021089874.4261,29708290375.3126,26214510981.5823,47393135173.9837,21209427087.3821,32323564122.862,19353091950.0742,35143812654.5157,30570552786.3554,47070751541.6929,28219127274.5357,31728499170.3726,28198163403.245,36410578847.7141,17346210503.5022,45058160300.6743
"D-sedoheptulose-7-phosphate",15888981230,42129076084.2259,92007630504.395,41158088640.4798,30461251810.4133,44248530162.6174,54951117833.5672,52011773883.1574,50164948192.1017,43687428396.9781,39986788673.8151,78580202904.6935,33542150068.7454,62187284383.566,58848799085.1994,61411203087.5777,40657775677.4334,58044280367.3318,47489341853.7845,56835818321.7819,68364179044.273,51491078847.3546,19846555207.1758,65144505510.0225
"dTMP",217965278.5,269991575.7216,411728849.616511,343064382.369724,453325918.16216,300917415.65355,156175123.987457,408280477.6005,298313903.526692,374539246.382959,344563383.291395,350562214.313659,197885640.7531,375566496.235632,311281167.486394,319809161.308882,366078869.448267,159061521.293644,223088744.187286,495540677.827216,90771608.4084378,334995251.35289,159158733.857987,477246172.498365
"dTTP",NA,NA,NA,8968049.8707981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dUMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dUTP",NA,12014451.6959914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"epinephrine / normetanephrine",12731533600,12042715005.9419,8727048242.7933,9337406225.01724,10089146298.9915,7489903913.55172,8750135647.96291,8335451235.5451,7462889736.55924,7886905961.25604,8439696475.07608,7422282937.63136,12827698160.3699,8186026984.16902,6512624028.15664,8084956176.58946,8077926670.24339,8102128807.0116,7882537045.98412,6948257689.55443,6438710848.65083,6704582826.49751,5770940079.38479,6852324809.29218
"ethyl acetate",4187842581,5522811715.30562,10006960958.5444,3689642073.54683,1800963407.12835,2395412144.6349,14806861821.0169,2488012124.2253,1359412386.92042,17323165813.3581,3579121230.79683,3465489625.25426,1756925683.7531,5943466014.54215,3723834339.21181,3667385004.32581,3797504631.6908,2833790600.19469,2755119759.49791,4140321412.68538,13774609716.0012,11124713560.4469,9047829849.15453,5609237113.90254
"F-1,6/2,6-DP",2532123802,2210807564.35674,4799166516.52533,2061713318.30866,1365956334.71578,1038102008.98627,1275328125.80189,1116845270.49021,827250772.385544,849946539.400074,557691538.62314,551307973.873046,606991938.781744,676681444.462867,659671566.041956,561440346.614994,469305695.627299,359062443.284542,481141190.310018,508939832.993372,791287808.40823,391850959.425272,196011031.198393,327598838.823734
"F1P",434828733.1,482565324.910575,688360442.966925,2127969885.21292,1848632912.37066,1393626820.42483,541973403.928852,374374980.190665,610454582.754284,1750561736.10821,1861018224.95299,1873043620.50919,691761366.202353,978079604.55207,829669359.266544,2056076184.42426,2281939334.7779,2771857181.59795,55163641.5984673,607544581.481827,990169591.160228,2400877408.32197,1253307758.66335,57519118.8146816
"F6P / G1P / G6P",230733488500,809511709852.5,1648256583920.16,742528894925.478,669465223193.861,501899086187.569,766671425505.526,938679369824.785,674656365416.53,895598327471.294,805497130261.07,973637401656.893,640214584776.017,1089712218396.2,991038097507.794,968083642874.497,672907354603.636,714238883640.681,653311431025.651,889419471119.631,1002801270378.24,761282777700.155,246487317410.728,764397028994.034
"FAD",3850997670,3420067873.47399,3143366615.7571,3517578500.28818,3401831320.74346,1991248660.5536,3339771821.49198,3669482805.43385,2140464707.94008,3938032346.3713,2621815782.19935,3281387182.68475,2147681460.0846,3547670127.2245,4046175326.02599,3704766520.78224,3288802600.27123,3007899838.84801,3017278839.58331,3612159858.38814,3210450963.39177,3618091185.51869,1904033486.84003,3640187693.19897
"FMN",466619546.3,490675942.355464,454170122.214594,176358128.050382,637887217.144093,306683603.028602,710922482.315059,677823597.873321,389057717.621869,264363199.357329,617898111.8839,445195404.313315,495519017.012084,497403260.086234,518564300.659181,371391270.943175,198281652.132705,653201518.870033,394680835.498183,594704923.889014,480946279.191347,295150440.022201,80718437.9972656,777151793.528086
"folate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fructose / mannose",2590409230000,2552451628681.57,3617886201030.52,2709768593288.14,3755636190226.92,2336820858159.36,3448050698600.05,3168415309970.98,4167793474459.08,3049921665325.4,2694032403876.89,3692272223922.9,3037415442851.06,2950839061295.16,2041792814411.86,3278711595197.07,3485003693980.15,3775097355920.18,3483567619217.61,3181520875869.69,3368269263489.65,2919235084061.92,1552042463446.91,3224213902415.57
"fumaric acid",20809236190,21661654780.6812,10626914264.6127,16516458106.1328,16400586767.081,21008361518.3917,12801718524.0105,24413695228.5159,5197206290.35386,30288051069.3294,15501068483.2453,15427144420.3234,20107032511.8003,17119865112.8295,25986688381.2791,26631134170.1141,14580822848.8242,7757654552.54353,13040954813.3746,20508963288.6027,14583589303.0032,30491044962.0383,17614828472.282,17767546529.2217
"GABA",119018697500,102680665042.369,100295807526.477,102132108349.821,122221074636.931,86827985903.2342,134128180707.812,110049541366.447,105656575934.208,176744469583.049,102076387318.719,117480505981.002,137543204157.979,123719814080.521,139372840707.119,101511796338.264,213917726539.334,99133128457.7578,116557501824.468,126212974193.889,125491847148.847,117389095782.438,125216380842.774,112434385694.66
"galactosamine / glucosamine / mannosamine",22710840060,18063368366.216,22011965762.3783,16411289434.6486,24912661356.9495,23344511928.3698,21916336742.9753,18524616184.079,22268271203.2397,19165439069.8929,19134384231.093,21373770462.9142,24419813225.2073,22557525338.1211,21596952334.9725,18274635317.3712,21227608300.6609,21888371413.1522,32743207935.1175,23291890954.1893,25224903927.9258,25891563911.9929,49274144038.3175,26665741924.6294
"galactose / glucose",2044039181000,2896150567738.57,2936935719570.55,3232742297868.8,4580521043155.97,3317733752191.04,3333435102910.67,3065914708863.59,3460468380773.47,3914247086955.76,3907198131747.74,4094400686000.68,3295222712988.44,3081967479179.23,2618091481196.13,3341222602783.77,3623491614198.14,3548082691146.51,3782387976055.61,3110418860487.3,3410549281554.11,3964597245155.61,3140150480590.15,4168053408587.74
"GalNAC / GlcNAC",1874459802,1745420617.01105,1247247859.94697,953464627.829313,958530270.30288,1622500273.73761,1636299278.99723,1092410768.26563,1357124320.03244,1353449928.7251,1295251415.01543,1374764452.97694,1978530186.94815,1317765582.75669,1208701618.29982,1065081366.38178,1101412473.54595,1000162720.24293,1414681398.18895,893557948.574748,1196806853.3613,1403215381.42594,2659019671.15457,1109986570.8869
"GAP / DHAP",3194833953,3454296303.59255,6279659686.83966,3773394122.00779,3908676819.4614,2356976468.07587,6635706781.45829,3077978598.24043,2454672873.12987,4667978903.97492,4520925549.44757,4250432622.70822,2740499776.29129,4047879121.52523,3345280528.85989,4245845625.24811,2373922495.42584,3014767605.08083,4357016358.72827,3941169213.71408,5515027704.45953,4742371028.22115,1479577196.5124,4301660788.7284
"GDP",1023361157,1568142888.34756,5048053520.18462,1550022976.12491,1494339303.25345,1449294972.5948,1692502114.37764,2020746424.89667,690148788.757461,1577888630.05184,1746647019.5359,1794754984.78548,1177933987.71384,1649514502.77205,2346805735.93399,1748271007.27825,1440275940.58966,1438527190.50151,1399997375.39693,1816155212.63389,2015292415.7763,2112120229.78028,1235280364.07445,1716224312.07243
"GDP-L-fucose",47160615.62,180116802.193783,336439931.460382,118523876.551774,97176336.660822,69018643.3697079,98183290.3533791,170649338.795115,43423761.7005321,81372882.4006163,92203728.7212129,106226557.270748,94649643.8329098,179911016.128368,98211535.2470144,144226074.577832,103636037.217761,46705858.9841348,84529109.6371129,154248548.246847,142241184.075627,67662270.9275276,15859974.7394599,89128684.1267363
"geranyl-PP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glucono-lactone",431322105300,112124318978.796,806508803544.334,385245350918.426,271252980407.392,363026118888.999,676577243666.953,373265378721.71,1212642665685.2,272624802995.783,600853261470.447,661227579906.759,355630192185.442,428759288915.46,81925083046.5285,652142850270.671,830325214712.514,1088958080073.27,680057923550.813,655135319176.365,471258128402.309,469593581589.642,250066431670.173,612111443878.284
"glutaconic acid",283881618300,82683371414.3531,468379954018.59,260677958129.866,197867026440.891,250812827526.107,447718518601.02,246539685493.112,777666230207.429,192740514906.051,393414832725.857,458016115470.689,258538819171.524,288089147941.747,62498348227.7402,436260005367.786,544782712792.569,733984358433.615,462575617191.979,429550701244.885,317020708812.386,292617031934.463,182059052631.577,403336102885.639
"glutamate",1024648227000,1543346953465.53,1658508154517.09,1211213620318.5,1049322154286.19,871967826904.29,1217170247920.59,1692185660262.41,821579269139.248,1423364899490.51,939827945584.994,1005509976478.15,1274584464934.55,1304121321532.37,1930116973884.04,1213460763035.33,1260005380467.37,913359316326.733,1049373761505.3,1423228381624.51,1506931737238.32,1277316468623.89,636100233726.318,1056362804560.79
"glutamine",4503265465000,4391954794511.62,3187283904178.33,6567267145099.81,5931252811995.52,4003708562872.92,4211163640931.09,4319871311854.33,3709622979482.48,6709404233697.64,4851714699598.53,4917563142254.94,4917366538446.09,4023709319421.05,4169702829516.43,6482660610682.75,5926668500837.86,5010598588524.62,3735644547972.63,4200892972687.42,3944521013868.34,7336300128502.06,4553946577004.02,5038015746113.54
"glutathione",102094839400,72818314080.9339,113685276940.145,106495465884.231,101021749050.573,102756768457.422,89497032997.2864,106175664633.803,81486285675.2602,104743703608.502,113759710093.048,160018093194.103,153587561602.339,108491996316.754,77541396050.002,124529189864.11,135838321904.493,116957440537.989,69077710295.6621,134551444679.7,98961384900.2935,139919955551.334,48069043456.6181,130946534411.21
"glutathione disulfide",36366765410,46077991867.7191,57732054784.0443,42280395781.7901,26816285220.4406,22938054226.3002,43819567968.3615,48145025726.9702,26413307194.6921,49039765089.3389,36967971071.193,36095532711.8482,42629302996.413,55115310544.129,43341603922.4936,41160030919.5089,44105851182.643,29430459440.0542,30161978274.0649,28296963842.7475,46799143347.7225,21112790435.2041,17329114193.0331,43226896849.4333
"glyceraldehyde",456498532700,688505178722.204,444513274010.405,924431059804.442,931776503098.861,1138514284017.51,807897316797.9,816749877912.338,612926515560.493,903094234385.729,757240034037.645,2169943102060.8,601005796069.616,689694572510.99,1998398240392.88,827922951748.486,911642952384.617,911402569839.404,610549225258.552,548455240413.351,621853644118.698,735831315225.814,1147482587616.47,658640918648.834
"glyceric acid",8753812895,12989867733.341,16835359034.9153,13293665867.772,17009307256.6034,9045632665.82315,16854433388.8208,18008336250.2133,14920471262.0601,13738181000.5951,14268212311.4093,9562295522.04719,17316908976.93,21236075026.0535,10555551805.7917,16859436739.6897,17024073231.3813,11243194802.331,21315519862.1189,20276231257.5923,16305690764.3338,19486737886.1988,7117513602.2792,14961285912.4193
"glycerol 2/3-phosphate",89097767580,191905728009.501,174831206350.989,165879851006.413,210483572663.683,141458160219.306,217470441049.252,182555400109.489,144516603236.47,168268491349.473,157323993493.758,127691102189.73,201056539400.732,252712214370.097,205994157577.578,172423419471.344,129748751559.265,128063619799.897,168471692505.174,260153630533.994,191866738188.378,199286685086.617,88572398030.2621,135837057875.859
"glycine",353245321200,297389227094.527,235826084387.136,390787743232.311,375350392702.706,306290435907.235,308001087025.332,270524543437.38,276991617387.436,380587170717.018,330697353368.939,320524922437.205,270338589887.079,268012016240.337,304299918486.696,340507429607.404,352701907070.641,339141372702.729,320333923570.95,274727193844.954,267496823507.535,363130256146.778,384444772971.66,356257188097.967
"glycylglycine",2651051411,2495790375.63573,2962794634.09193,2686094568.58495,3454966159.11118,2645834606.7718,3565512706.01359,3230809169.41696,141839698.288762,113021064.841902,175400173.526279,162924567.142685,2799972995.63695,82354130.7827399,3621099166.63691,3007117315.11091,2535023924.57174,197427990.347201,253875901.996433,3561583057.30224,73402062.8626643,218887030.757614,2521967228.05151,2933682268.78403
"glyoxylic acid",552347061.2,1343866870.85007,833016788.950322,2127097721.46626,1367497085.06911,1898914752.58372,2188599664.49173,1083697070.90272,2590097028.80033,2087438474.11229,2543305057.27147,2020988789.84545,2423151709.62602,1687400806.51174,1785545396.37711,1929725393.06455,2673590727.38341,2685010402.03035,2177588135.70161,1382204974.38378,2125015721.58525,2960448493.67359,2482986332.61913,2273574446.82464
"GMP",17153885130,40058845642.5635,57505722780.7341,44239371369.3276,57279247253.823,59219976061.2019,43973537130.3833,46235773177.9954,43998750693.8498,47289601465.7444,60763012315.1547,57035049964.6869,32017395293.7545,51406914994.3084,43425497751.6789,47238592259.1963,60119637014.4325,53084441111.6949,39798531336.2188,47431784873.5875,46705001640.2067,46607793892.4183,21663377983.7613,59012754414.8641
"GTP",22169415.75,NA,294850217.522731,50262317.7217605,19553394.1213946,42338279.095597,13550775.1073232,15015332.9936924,7119522.10023575,8976234.35709303,19536764.5695085,27227353.1008828,NA,24897903.3073649,75355386.086329,NA,9400989.0034676,31358735.8727989,12421145.6378446,8066422.04671394,36760857.4862588,53327294.0222393,7439329.40058176,8826463.21934706
"guanidine",45142804310,22932892193.4874,5344916814.05771,21590399228.3995,5062954119.3629,3522688594.7975,21233048493.3362,16581171456.58,5560522718.06734,7041145523.70783,25230818076.176,6461199249.53179,5670457361.86508,7237789459.0197,25347445621.0547,5917063188.83844,6404767685.07234,10070475957.188,9442223570.99263,12187505201.5642,13918553999.23,12747054703.4999,5605282887.64124,7052381276.76785
"guanidinoacetate",NA,NA,NA,NA,NA,NA,NA,NA,11283271.2138129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"guanine",932586085.5,1031469198.48511,1738152584.75166,16583052155.3092,15133471906.3102,10883848595.1193,1334166164.62514,1117072871.00921,2906954324.78588,16291566550.6326,17021281076.3049,13818088521.1995,1271419322.01273,1097043819.0961,623990098.692154,17336592951.9322,15250512981.336,22758380070.5164,1423313004.27951,1414425729.17202,877418489.734385,19074774471.9406,8449683402.43414,20314584157.1956
