,KEGG,GRxWT.C,GRxWT.Df,GRxWT.OE,GR.CxDf,WT.CxDf,GR.CxOE,WT.CxOE,GR.DfxWT.C,GR.OExWT.C
valine / norvaline,C16436 / C01799,0.183374729,0.032976835,0.341448606,0.074798853,0.20693065,0.758506522,0.760520766,0.011437362,0.269634659
4-hydroxyproline / 5-aminolevulinate,C01157 / C00430,0.186354287,0.005251179,0.055733972,0.391933814,0.033979307,0.237708118,0.889810791,0.115802178,0.077369095
IMP,C00130,0.190580479,0.299977195,0.138246928,0.080868415,0.013662311,0.181469776,0.144709347,0.205480669,0.902363095
acetylcholine+,C01996,0.194396677,0.005656781,0.086287714,0.222023159,0.002757604,0.131445332,0.393924819,0.706563385,0.049847972
acetoacetic acid,C00164,0.202809204,0.963434715,0.543678208,0.175831012,0.897443124,0.857612476,0.363243195,0.90278663,0.300601057
D-glucuronolactone,C02670,0.203054711,0.033350915,0.373319424,0.128294564,0.107705292,0.405720396,0.795100849,0.552028626,0.124101822
a-KG,C00026,0.208366877,0.123757454,0.00537242,0.05987241,0.56481783,0.12268087,0.013195964,0.152344454,0.645555041
AMP / dGMP,C00020 / C00362,0.20678974,0.002888704,0.378732291,0.837225508,0.94820997,0.180134449,0.416649814,0.02540257,0.916100731
glutathione disulfide,C00127,0.210075487,0.495971147,0.360757276,0.430639684,0.92597782,0.831956672,0.488131115,0.580198409,0.222107353
ADP / dGDP,C00008 / C00361,0.216932946,0.252795517,0.566143886,0.232374161,0.613442694,0.284509178,0.305583455,0.402611924,0.390590716
ATP / dGTP,C00002 / C00286,0.217909556,0.964119059,0.01731657,0.388375953,0.300585943,0.056324195,0.191144779,0.287857091,0.394062582
GTP,C00044,0.219809226,0.227363515,0.244810493,0.119826306,0.309186274,0.1307203,0.309088619,0.437023554,0.290584173
ADP-D-glucose,C00498,0.227150446,0.022044864,0.863021025,0.48720972,0.602494056,0.999005969,0.223013828,0.347603208,0.260177567
carbamoyl phosphate,C00169,0.234320166,0.011880063,0.779002551,0.365766009,0.998998966,0.359772775,0.976896589,0.046675844,0.692275162
itaconic acid,C00490,0.231662069,0.133843418,0.271994077,0.024165707,0.594334908,0.093398762,0.583592515,0.078820986,0.313590244
ManNAC,C00645,0.2328875,0.282267575,0.673235177,0.369257223,0.589458918,0.618002014,0.70402879,0.234090643,0.517474853
ornithine,C01602,0.236068222,0.007063711,2.4483709418454e-05,0.271779299,0.063491002,0.590070974,0.072681594,0.712642864,0.276131884
thiamine phosphate+,C01081,0.235169086,0.001717736,0.00028661,0.318411918,0.953917052,0.165356831,0.520428008,0.063151187,0.040599969
NADP+,C00006,0.242195197,0.050313108,0.722170472,0.627207766,0.332467265,0.529924387,0.273506228,0.256745348,0.263372713
tryptophan,C00806,0.243043122,0.138323433,0.823290615,0.502740664,0.766082203,0.747720187,0.336365419,0.32630115,0.447641674
biotin,C00120,0.247017974,0.001219476,0.116059328,0.522444214,0.795034978,0.30907161,0.789420969,0.018584008,0.018478305
CDP,C00112,0.247941811,0.187574914,0.050114587,0.131498188,0.442815852,0.562294874,0.401933563,0.319008214,0.230069161
ascorbic acid,C00072,0.262322443,0.004381422,0.068262273,0.08213277,0.207804025,0.582724716,0.775397795,0.013270922,0.03533417
maleic acid,C01384,0.261851419,0.68581224,0.191940791,0.195916394,0.753138782,0.33718255,0.218491887,0.974882883,0.905622995
XMP,C00655,0.263746184,0.153023374,0.308437601,0.056419602,0.815363798,0.732263392,0.41066693,0.622966582,0.207232669
y-glutamylcysteine,C00669,0.267402439,0.44546439,0.051972005,0.616884734,0.131773166,0.397782602,0.059274086,0.404409178,0.693810334
butyric acid,C00246,0.282685587,0.961936897,0.569312188,0.573772111,0.441224254,0.325564672,0.46629144,0.307235256,0.79627736
dopamine,C03758,0.289853836,0.022003181,0.935659392,0.829965811,0.380006379,0.433726298,0.651626595,0.058413077,0.733108643
GAP / DHAP,C00118 / C00111,0.28691002,0.061587898,0.478207523,0.129084823,0.438248765,0.644600977,0.898347224,0.965873316,0.401778546
GDP-L-fucose,C00325,0.289228217,0.010158054,0.852944095,0.377317414,0.80926231,0.982623108,0.297321383,0.460242338,0.279383618
dihydroorotate,C00337,0.294811178,0.000519522,0.428031475,0.936924091,0.02326418,0.305140293,0.054163636,0.005504839,0.831816725
GDP,C00035,0.298941289,0.9226095,0.158629294,0.15911652,0.439270131,0.420147242,0.241808297,0.431628805,0.352601938
glycerol 2/3-phosphate,C02979 / C00093,0.298446562,0.079982825,0.259391028,0.305345469,0.127855727,0.625228882,0.754842327,0.859167142,0.014938251
UDP,C00015,0.304417156,0.076091306,0.334949707,0.624966612,0.672215354,0.469851424,0.308814789,0.347013554,0.390501948
"F-1,6/2,6-DP",C00354 / C00665,0.322679095,0.773177047,0.236038935,0.508101746,0.5747358,0.803234756,0.641887684,0.48468748,0.285466352
IDP,C00104,0.323933134,NA,NA,0.912071477,NA,0.651534744,NA,0.228727124,0.052971072
