"","logFC","logCPM","F","PValue","FDR"
"FBgn0036819",-10.2060421915697,1.77861557062759,49.3147230911446,0.00119524506163323,0.0416349619337731
"FBgn0015376",-10.0652613188964,1.6408880763992,49.2974421848404,0.0011961506187278,0.0416349619337731
"FBgn0019643",2.07205767513724,4.70416302880986,35.5187750002472,0.00122815493446212,0.0416349619337731
"FBgn0054043",3.0877854923758,3.64563692346471,35.5013457360493,0.00122965836123989,0.0416349619337731
"FBgn0037491",-10.2513461477597,1.822143988162,48.4358250860859,0.00124257386301356,0.0416349619337731
"FBgn0259110",-6.60476274888443,1.4594620603955,35.2715802207773,0.00124971265484125,0.0416349619337731
"FBgn0031040",-10.3730412348905,1.94374875587884,48.0363430972556,0.00126497456040491,0.0416349619337731
"FBgn0035900",-10.1167071569749,1.69182640469084,48.0306739872662,0.00126529659154422,0.0416349619337731
"FBgn0034010",2.25739770331158,6.59874792699698,34.9785590125934,0.00127593577623639,0.0416349619337731
"FBgn0000320",-10.2205530576761,1.79418922337674,47.6056295950663,0.00128977868504755,0.0416349619337731
"FBgn0038115",1.64608595442956,5.46729432265287,34.7980664058108,0.00129246025790301,0.0416349619337731
"FBgn0039343",-10.1761756327336,1.75033699189137,47.4928237700573,0.00129638979169191,0.0416349619337731
"FBgn0038739",-7.97987120391827,1.94095042308344,34.7010872739006,0.00130145869711253,0.0416349619337731
"FBgn0030376",-10.2423994591633,1.81562402944327,47.3328456836471,0.00130584880929592,0.0416349619337731
"FBgn0035968",1.85166172074451,4.77631447799877,34.4356644203339,0.00132652439446056,0.0416349619337731
"FBgn0043783",2.17333083916659,5.33753627083609,34.4339174176029,0.00132669153212553,0.0416349619337731
"FBgn0034479",1.99953726063854,5.83460963171345,34.2272894278118,0.00134666266884599,0.0416349619337731
"FBgn0035464",-1.79877386087564,4.23261781470795,34.0961893584136,0.00135954533339094,0.0416349619337731
"FBgn0053236",-5.51732927821948,4.48269554445941,34.0361245325729,0.0013655034129427,0.0416349619337731
"FBgn0031384",-10.004130743579,1.58190342146164,46.3234569792936,0.00136786852360058,0.0416349619337731
"FBgn0033065",2.61932848221052,5.02823380844584,33.9431981003634,0.00137479102415087,0.0416349619337731
"FBgn0034705",-9.93525025457898,1.51337279024923,46.056811347461,0.00138495400438275,0.0416349619337731
"FBgn0039440",-9.96100336430524,1.53760482596396,45.9579743890149,0.00139136455406261,0.0416349619337731
"FBgn0037915",-6.79076863958197,1.6415266801447,33.6646250755244,0.00140315095123266,0.0416349619337731
"FBgn0030631",-2.57948942828338,3.6048798717184,33.6642857779415,0.00140318597398184,0.0416349619337731
"FBgn0085693",-8.68526000425796,2.64082842226633,33.5752792367678,0.00141241437637436,0.0416349619337731
"FBgn0039436",-8.06042693578802,2.02049561861065,33.5529887868214,0.00141473836089623,0.0416349619337731
"FBgn0051547",2.17833333745764,3.84718820360334,33.423213739843,0.00142837193804654,0.0416349619337731
"FBgn0037778",-5.57749693903204,1.9272045923925,33.3203283254028,0.00143930730903001,0.0416349619337731
"FBgn0267046",-8.53789987205753,2.49462507791516,33.3198403018781,0.00143935944918511,0.0416349619337731
"FBgn0003701",-8.03788217781668,2.03398335121008,33.0830983860405,0.00146495736776868,0.0416349619337731
"FBgn0032658",-8.37467423816163,2.33319501037263,32.9981620364672,0.00147429138062528,0.0416349619337731
"FBgn0053244",-5.45574920418628,4.42223871185971,32.9933431956697,0.00147482335414663,0.0416349619337731
"FBgn0053245",-5.45574920418628,4.42223871185971,32.9933431956697,0.00147482335414663,0.0416349619337731
"FBgn0053239",-5.52199999600195,4.48725361758051,32.9093961431137,0.00148413249090947,0.0416349619337731
"FBgn0039439",-9.8933438538994,1.47200184166557,44.551122274265,0.00148740084188503,0.0416349619337731
"FBgn0035282",-10.0624574618604,1.63554292147904,44.5353856259247,0.00148852799026892,0.0416349619337731
"FBgn0020236",-3.28249616962646,8.34696126637761,32.6582877204234,0.00151245803156054,0.0416349619337731
"FBgn0053237",-5.49709995398727,4.46280413660025,32.5430251150174,0.00152570519226179,0.0416349619337731
"FBgn0029657",-9.98258287700636,1.55764408781049,43.9449576570155,0.00153171552931094,0.0416349619337731
"FBgn0053241",-5.43483775353723,4.40171560391082,32.4435275487127,0.0015372671085458,0.0416349619337731
"FBgn0001285",6.88303460456448,8.86217842686918,32.4295408976955,0.00153890189943064,0.0416349619337731
"FBgn0040941",5.30339356815342,1.63829627996871,32.2554895816267,0.00155944374327804,0.0416349619337731
"FBgn0037894",-2.42134680470736,4.08996439500307,32.2009283147522,0.00156595955163071,0.0416349619337731
"FBgn0033174",-10.5181106942552,2.08654524636099,43.4920067104285,0.00156607109090742,0.0416349619337731
"FBgn0038673",-8.02546262248738,1.98523243867002,32.1593529724221,0.0015709493238939,0.0416349619337731
"FBgn0035942",-8.44725430963037,2.43377832084166,32.0502033648505,0.00158415205706848,0.0416349619337731
"FBgn0026404",-5.06477595142933,2.10126858559958,32.0084376553907,0.00158924377759674,0.0416349619337731
"FBgn0030027",-9.8356826024721,1.41612447206308,42.9216228868458,0.0016109212269327,0.0416349619337731
"FBgn0053240",-5.34159743349961,4.31031452682648,31.8084127325373,0.00161393878419756,0.0416349619337731
"FBgn0053238",-5.21364845803226,4.14681162819829,31.7955697105449,0.00161554208030195,0.0416349619337731
"FBgn0053243",-5.21662186011323,4.14970825392689,31.6901288613767,0.00162878698675708,0.0416349619337731
"FBgn0015400",-9.97066851145077,1.54942052624795,42.5680072811663,0.00163965348222154,0.0416349619337731
"FBgn0043470",8.2123440016932,3.87949276820863,31.4522582170281,0.0016592117290876,0.0416349619337731
