from,to,arrows,color,width,title,FBgn,physics
Succinyl-CoA,Succinate,to;from,black,0,NA,FBgn0037643,T
adenosine,inosine,to,black,0,NA,FBgn0037661,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0037661,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0037860,T
cis-Aconitate,Isocitrate,to;from,black,0,NA,FBgn0037862,T
Citrate,cis-Aconitate,to;from,black,0,NA,FBgn0037862,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0037873,T
alpha-Ketoglutarate,Succinyl-CoA,to,black,0,NA,FBgn0037891,T
GDP,GMP,to,black,0,NA,FBgn0037900,T
IDP,IMP,to,black,0,NA,FBgn0037900,T
kynurenine,kynurenic acid,to,black,0,NA,FBgn0037955,T
Oxaloacetate,Citrate,to;from,black,0,NA,FBgn0037988,T
Oxaloacetate,Acetyl-CoA,to;from,black,0,NA,FBgn0037988,T
Citrate,Acetyl-CoA,to;from,black,0,NA,FBgn0037988,T
adenosine,AMP,to;from,black,0,NA,FBgn0037995,T
adenosine,inosine,to,black,0,NA,FBgn0038172,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0038172,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0038258,T
adenylosuccinate,AMP,to,black,0,NA,FBgn0038467,T
SAICAR,AICA ribonucleotide,to;from,black,0,NA,FBgn0038467,T
Succinyl-CoA,Succinate,to;from,black,0,NA,FBgn0038708,T
Isocitrate,alpha-Ketoglutarate,to;from,black,0,NA,FBgn0038922,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0038952,T
Glycerate-3P,Glycerate-2P,to;from,black,0,NA,FBgn0038957,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0039112,T
AICA ribonucleotide,FAICAR,to,black,0,NA,FBgn0039241,T
FAICAR,IMP,to;from,black,0,NA,FBgn0039241,T
NAMN,NAAD,to,black,0,NA,FBgn0039254,T
NMN,NAD+,to,black,0,NA,FBgn0039254,T
Isocitrate,alpha-Ketoglutarate,to;from,black,0,NA,FBgn0039358,T
"D-Fructose-1,6P",D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0039425,T
"D-Fructose-1,6P",D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0039425,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0039635,T
ATP,ADP,to;from,black,0,NA,FBgn0039809,T
dATP,dADP,to;from,black,0,NA,FBgn0039809,T
dGTP,dGDP,to;from,black,0,NA,FBgn0039809,T
GTP,GDP,to;from,black,0,NA,FBgn0039809,T
ATP,cAMP,to,black,0,NA,FBgn0040507,T
ATP,cAMP,to,black,0,NA,FBgn0040508,T
ATP,cAMP,to,black,0,NA,FBgn0040509,T
ATP,cAMP,to,black,0,NA,FBgn0040510,T
PRPP,Ribosylamine-5p,to,black,0,NA,FBgn0041194,T
AMP,ADP,to;from,black,0,NA,FBgn0042094,T
beta-D-Glucose,beta-D-Glucose 6P,to,black,0,NA,FBgn0042710,T
Glucose,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0042710,T
beta-D-Glucose,beta-D-Glucose 6P,to,black,0,NA,FBgn0042711,T
Glucose,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0042711,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0043783,T
AMP,adenosine,to,black,0,NA,FBgn0050104,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0050104,T
GMP,guanosine,to,black,0,NA,FBgn0050104,T
IMP,inosine,to,black,0,NA,FBgn0050104,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0050104,T
XMP,xanthosine,to,black,0,NA,FBgn0050104,T
D-Ribulose 5P,D-Ribose-5P,to;from,black,0,NA,FBgn0050410,T
D-Ribulose 5P,D-Xylulose 5-phosphate,to;from,black,0,NA,FBgn0050499,T
Fumarate,Malate,to;from,black,0,NA,FBgn0051874,T
Isocitrate,alpha-Ketoglutarate,to;from,black,0,NA,FBgn0052026,T
ATP,cAMP,to,black,0,NA,FBgn0052301,T
ATP,cAMP,to,black,0,NA,FBgn0052305,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0052445,T
AMP,adenosine,to,black,0,NA,FBgn0052549,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0052549,T
GMP,guanosine,to,black,0,NA,FBgn0052549,T
IMP,inosine,to,black,0,NA,FBgn0052549,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0052549,T
XMP,xanthosine,to,black,0,NA,FBgn0052549,T
AMP,IMP,to,black,0,NA,FBgn0052626,T
NAD+,NADP+,to,black,0,NA,FBgn0053156,T
NAD+,NADP+,to,black,0,NA,FBgn0053337,T
cAMP,AMP,to,black,0,NA,FBgn0085370,T
Glycerone-P,D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0086355,T
"Glycerate-1,3P",Glycerate-3P,to;from,black,0,NA,FBgn0250906,T
AMP,adenosine,to,black,0,NA,FBgn0259101,T
dAMP,deoxyadenosine,to,black,0,NA,FBgn0259101,T
GMP,guanosine,to,black,0,NA,FBgn0259101,T
IMP,inosine,to,black,0,NA,FBgn0259101,T
nicotinamide riboside+,NMN,to,black,0,NA,FBgn0259101,T
XMP,xanthosine,to,black,0,NA,FBgn0259101,T
guanine,xanthine,to,black,0,NA,FBgn0261436,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0261439,T
Oxaloacetate,Citrate,to;from,black,0,NA,FBgn0261955,T
Oxaloacetate,Acetyl-CoA,to;from,black,0,NA,FBgn0261955,T
Citrate,Acetyl-CoA,to;from,black,0,NA,FBgn0261955,T
Malate,Oxaloacetate,to;from,black,0,NA,FBgn0262559,T
Malate,Oxaloacetate,to;from,black,0,NA,FBgn0262782,T
cAMP,AMP,to,black,0,NA,FBgn0266377,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0267385,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0283658,T
Fumarate,Malate,to;from,black,0,NA,FBgn0286222,T
ATP,RNA.A,to,black,0,NA,NA,T
dATP,DNA.A,to,black,0,NA,NA,T
dGTP,DNA.G,to,black,0,NA,NA,T
GTP,RNA.G,to,black,0,NA,NA,T
GTP,Riboflavin.Metabolism,to,black,0,NA,NA,T
GTP,Folate.Biosynthesis,to,black,0,NA,NA,T
uric acid,Excretion,to,black,0,NA,NA,T
3-hydroxykynurenine,NAMN,to,black,0,NA,NA,T
NAD+,NADH,to;from,black,0,NA,NA,T
NADP+,NADPH,to;from,black,0,NA,NA,T
nicotinamide,NMN,to,black,0,NA,NA,T
nicotinic acid,NAMN,to,black,0,NA,NA,T
