from,to,arrows,color,width,title,FBgn,physics
NC47,NC48,to;from,black,0,NA,FBgn0261955,F
NC49,NC50,to;from,black,0,NA,FBgn0020236,F
Pyruvate,NC37,none,black,0,NA,FBgn0027580,F
NC37,NC38,to,black,0,NA,FBgn0027580,F
NC39,NC41,none,black,0,NA,FBgn0034356,F
NC40,NC42,none,black,0,NA,FBgn0003067,F
NC41,NC43,to,black,0,NA,FBgn0034356,F
NC42,NC44,to,black,0,NA,FBgn0003067,F
NC52,NC51,to,black,0,NA,FBgn0037988,F
NC54,NC53,to,black,0,NA,FBgn0261955,F
NC56,NC55,to,black,0,NA,FBgn0020236,F
NC57,NC58,from,black,0,NA,FBgn0027291,F
NC58,NC59,none,black,0,NA,FBgn0027291,F
NC59,NC60,to,black,0,NA,FBgn0027291,F
NC61,NC62,from,black,0,NA,FBgn0052026,F
NC62,NC63,none,black,0,NA,FBgn0052026,F
NC63,NC64,to,black,0,NA,FBgn0052026,F
NC65,NC66,from,black,0,NA,FBgn0035005,F
NC66,NC67,none,black,0,NA,FBgn0035005,F
NC67,NC68,to,black,0,NA,FBgn0035005,F
NC69,NC70,from,black,0,NA,FBgn0039358,F
NC70,NC71,none,black,0,NA,FBgn0039358,F
NC71,NC72,to,black,0,NA,FBgn0039358,F
NC73,NC74,from,black,0,NA,FBgn0038922,F
NC74,NC75,none,black,0,NA,FBgn0038922,F
NC75,NC76,to,black,0,NA,FBgn0038922,F
