Gene name,Glia precursors (GP),Midline glia (MG),Perineurial glia (PG),Subperineurial glia (SPG),Astrocyte like glia (AG),Ensheathing glia (EG),Cortex glia 1 (CG1),Cortex glia 2 (CG2),Twi+,Unanotated (UA)
Obp83g,1,1,1,1,1,1,1,1.024021979,1,1
CG31559,1,1,1,1.007244249,1,1,1,1,1,1
NPFR,1,1,1,1,1,1,1,1,1,1
Osi24,1,1,1,1,1,1,1,1,1,1
Osi2,1,1,1,1,1,1,1,1,1,1
Osi9,1,1,1,1,1,1,1.009365794,1,1,1
CG17919,1,1,1,1,1,1,1.004671983,1.153069992,1.052801194,1
SmD2,1.959782125,6.568410966,18.77521443,4.858703264,3.993478507,74.74174246,2.401965701,3962.215972,1137.276124,4.419672315
CG18048,1.020135847,1.178768635,1.082907085,1.051825205,1.132541315,1.172102298,1.057527082,1.153069992,1.122740346,1.085078087
Pak,1.083008923,1.55051578,1.385190275,1.334725167,1.365007807,1.989988537,1.250736984,1.569915541,1.672875756,1.288039193
CG42724,1.091135757,2.002568136,1.721270226,1.223979925,1.186654592,2.908047745,1.160853267,4.56871234,2.055176674,1.216483949
CG10286,1.110336318,1.441219597,1.863975723,1.197760277,1.115057588,1.887391822,1.280228377,3.778501401,3.35073178,1.277564921
CRAT,1.043273722,1.056354104,1.207149354,1.189145809,1.132541315,1.141487774,1.072418686,1.49712386,1.137276124,1.121102678
CG1024,1.012537824,1.075835899,1.098703488,1.021890563,1,1.214202682,1.023579213,1.238179203,1.108390354,1.008198621
TfIIFalpha,1.118668215,1.637893707,1.721270226,1.20643715,1.452653926,2.459260859,1.171725579,3.689863575,2.028909006,1.397623103
godzilla,1.248303955,1.827699369,1.624395673,1.508979659,1.224159023,1.904116369,1.47924628,1.943836773,2.028909006,1.319980076
Dmtn,1.31536905,7.602429141,1.837176762,1.455490598,2.583224566,1.410669535,2.324859763,1.329570407,1.27686579,1.206591562
gpp,1.138353262,2.493592005,1.457209563,1.223979925,1.365007807,4.682718858,1.18269972,3.778501401,2.163692455,1.187047466
CG9727,1.002495083,1.056354104,1.029386851,1.021890563,1.031605178,1.203537898,1.042842263,1.073810967,1.182022377,1.024798068
Zif,1.085711119,1.22264841,1.500032363,1.20643715,1.168335485,2.043359718,1.107986357,4.154862932,3.142003785,1.206591562
CG15186,1,1,1,1,1.015679663,1,1,1,1,1
dpr11,1.004996391,1.018442485,1,1,1.015679663,1,1,1,1,1.008198621
CG1137,1,1,1,1,1,1,1,1,1,1
Taf1,1.012537824,1.157422881,1.082907085,1.03674985,1.064209244,1.361757001,1.028361358,1.427707284,1.137276124,1.024798068
CG1307,1.438827262,1.79460244,4.777990512,2.149257254,1.670986622,4.480649745,1.850148031,8.270385877,6.711438926,2.22596192
twr,2.88374404,14.15121244,9.167779324,5.73615251,5.711586478,16.10262028,3.536576005,172.6288598,100,5.420539995
agt,1.13269388,1.31536905,1.375196568,1.197760277,1.132541315,1.423169753,1.118363529,1.298380732,1.433588739,1.139561029
lab,1,1,1,1,1,1,1,1,1,1
pncr002:3R,1.217580924,1.389495494,1.425896655,1.122423471,1.168335485,1.361757001,1.160853267,3.20003E+40,1.630386245,1.921710412
pb,1,1,1.007267112,1,1.015679663,1,1,1,1.012946696,1
CR45593,1.035503366,1.075835899,1.155827656,1.029293393,1.015679663,1,1.009365794,1.153069992,1.052801194,1.008198621
Ama,7396.863749,33404849835,3.5507E+12,496.5063016,172.3798452,1.121523632,1.102833936,1.36150932,1108390.354,21.02301671
CR42721,1.002495083,1,1,1,1,1,1,1.048621014,1.012946696,1.01646446
Dfd,1,1,1,1,1,1,1,1,1,1.01646446
CR42651,1,1.018442485,1,1,1,1.035918694,1,1.048621014,1,1.033199999
Scr,1.004996391,1.037225095,1,1,1,1,1.004671983,1.073810967,2.398215846,1
CR45902,1,1,1,1,1,1,1,1,1.012946696,1
CR45559,1,1,1,1,1,1,1,1,2.055176674,1
CR44932,1,1,1,1,1.015679663,1,1,1,1.026061009,1
Antp,1.34520316,12.68161613,4.16386706,1.287412935,1.386410669,2.116754531,1.102833936,1.60762802,2.762744876,1.800193333
CR44933,1,1,1,1,1,1,1,1,1,1.01646446
Sodh-1,1,1,1,1,1,1,1,1,1,1
CG1105,1.251418576,2.993577295,1.891165601,1.498126856,2.543345761,1.610262028,1.542620539,1.685792525,1.95210329,2.034748038
CG1965,1.02268117,1.291549665,1.106687889,1.067119771,1.080895687,1.302994339,1.057527082,1.36150932,1.197325661,1.085078087
Ufl1,1.030355309,1.178768635,1.114730314,1.059444888,1.097843767,1.214202682,1.042842263,1.427707284,1.122740346,1.102943312
CG1943,1.60556431,8.961505019,4.380356263,21.3379948,2.176896784,973.8806728,6.072965441,40573.96243,3573.325888,4.106531678
