Gene name,Glia precursors (GP),Midline glia (MG),Perineurial glia (PG),Subperineurial glia (SPG),Astrocyte like glia (AG),Ensheathing glia (EG),Cortex glia 1 (CG1),Cortex glia 2 (CG2),Twi+,Unanotated (UA)
CG46059,1,1,1,1,1,1,1,1,1,1
gammaTub37C,1,1,1,1,1,1,1,1,1,1
pigeon,1.015064189,1.018442485,1.03686752,1.029293393,1.0477804,1.141487774,1.009365794,1.238179203,1.108390354,1.05021108
drl,1.002495083,1,1.090776692,1.007244249,1,1.203537898,1.009365794,2.464634806,1.830500418,1.076254285
dnt,1.015064189,1.075835899,1.098703488,1.098379329,1.031605178,2.19278559,1.009365794,1.49712386,1.672875756,1.033199999
CG17549,1.017596859,1.056354104,1.021960152,5.260210633,5.366976946,1,1.233369253,1.048621014,1.094223771,1.267175827
CG17544,2.07538927,4.159562163,1.355424938,1.20643715,1.386410669,1.423169753,1.392273947,1.36150932,1.830500418,1.432281455
Pax,1.53896746,3.528735021,2.581961045,2.995635911,1.952272966,2.135511506,1.392273947,1.60762802,3.810707253,2.843810866
CG16771,1.00750394,1.037225095,1.007267112,1.021890563,1,1.017800911,1,1,1.026061009,1
CG13085,1.004996391,1,1,1.007244249,1,1,1.004671983,1,1.026061009,1
RtcB,1.085711119,1.339627725,1.532973302,1.393800535,1.205260937,1.838094418,1.210586848,2.464634806,1.95210329,1.288039193
Rab9,1.015064189,1.056354104,1.098703488,1.383776117,1.863246312,1.131461672,1.244920735,1.073810967,1.052801194,1.076254285
CG10237,1.020135847,1.018442485,1.007267112,1.014540976,1.015679663,1.017800911,1.052609309,1.153069992,1.026061009,1.008198621
RanGAP,1.058989795,1.245197085,1.660067649,1.180593298,1.132541315,1.728016531,1.072418686,7.70190111,2.108736651,1.277564921
Hs2st,1.012537824,1.115883993,1.051992343,1.082636734,1.064209244,1.214202682,1.047714405,1.298380732,1.094223771,1.05021108
Top2,1.091135757,1.698864456,2.47218952,1.268961003,1.452653926,7.151647995,1.188225273,11.53069992,3.142003785,1.309246063
CG10026,1.00750394,1.018442485,1.007267112,1.074850251,1.031605178,1,1,1.048621014,1.039345109,1.058821363
tj,1,1,1,1,1,1,1,1,1,1.01646446
CG10195,1.043273722,1.579111144,1.181209807,1.138744605,1.168335485,1.268961003,1.042842263,1.329570407,1.260545886,1.085078087
CG10194,1.077624688,1.200508058,1.181209807,1.215176881,1.282649831,1.361757001,1.077429008,1.462003639,1.27686579,1.139561029
CG18094,1.035503366,1.056354104,1.044402552,1.051825205,1.0477804,1.045098172,1.072418686,1.099606032,1.066431491,1.067502238
CG10189,1.027790885,1,1.082907085,1.03674985,1.0477804,1.161807296,1.052609309,1.180769016,1.197325661,1.058821363
swm,1.072267222,1.698864456,1.297799335,1.106336262,1.386410669,2.098162306,1.107986357,1.898237355,1.761205593,1.16781994
Top3alpha,1.025232844,1.136463666,1.139209961,1.067119771,1.0477804,1.349796194,1.023579213,1.267922718,1.182022377,1.058821363
CG10188,1.002495083,1.136463666,1.014587035,1.021890563,1.015679663,1.182488525,1,1.238179203,1.080238255,1.008198621
Hasp,1.010017746,1,1.029386851,1.007244249,1.015679663,1,1.004671983,1.024021979,1,1.041670815
CR43363,1,1,1,1.029293393,1,1,1,1,1,1
CG10132,1.004996391,1,1.007267112,1.014540976,1.015679663,1,1.004671983,1.048621014,1,1.041670815
CG10166,1.460502028,2.15443469,2.600724444,1.928707893,2.66486784,1.790084628,1.807527945,4.154862932,1.784007386,1.618899385
CG10137,1.00750394,1.018442485,1.021960152,1,1.015679663,1,1.004671983,1,1,1.008198621
CG10165,1.077624688,1.415121244,1.395256608,1.044260324,1.064209244,1.141487774,1.077429008,1.267922718,1.137276124,1.058821363
CG33116,1.13269388,1.730195739,1.288436125,1.20643715,1.302761348,1.314540426,1.082462738,2.350358015,1.197325661,1.130294175
CG13082,1.004996391,1,1,1.007244249,1,1.008861195,1,1,1.026061009,1.008198621
ref(2)P,1.717309154,81.78966186,13.07230588,6.82112172,7.325965428,2.959813644,2.962510641,2.464634806,1.927153025,2.018201567
CG10337,1.048486325,1.522438235,1.233658537,1.455490598,1.430228426,1.045098172,1.102833936,1.099606032,1.137276124,1.102943312
Tep4,1.077624688,6.568410966,1.181209807,1.354133374,1.619792782,1.026819843,1.405313698,1.048621014,1.327104213,1.420634213
spi,1.273439612,2.077113926,4.074392775,2.3101297,1.750827032,55.37261314,1.824456879,59.31928072,4.333826376,2.663985857
msb1l,1.027790885,1.115883993,1.708851809,1.189145809,1.097843767,2.52521785,1.042842263,7.521226366,5.057205651,1.216483949
CG10268,1.053724973,1.075835899,1.098703488,1.180593298,1.150299182,1.326188825,1.087519986,1.267922718,1.24443457,1.076254285
Hakai,1.043273722,1.339627725,1.189793791,1.122423471,1.205260937,1.474288152,1.067431663,2.038348089,1.528824176,1.139561029
PCNA2,1.02268117,1.037225095,1.029386851,1.007244249,1.031605178,1.017800911,1.037992778,1.024021979,1.012946696,1.024798068
CG10366,1.02268117,1.056354104,1.044402552,1.051825205,1.0477804,1.291549665,1.067431663,1.569915541,1.379319273,1.067502238
Lar,1.025232844,1.115883993,1.164227185,1.106336262,1.064209244,1.668100537,1.037992778,1.298380732,1.228529176,1.058821363
CR44978,1.002495083,1,1.007267112,1,1,1,1.009365794,1.048621014,1,1.008198621
CG10462,1.030355309,1.075835899,1.075094254,1.044260324,1.031605178,1.500531824,1.077429008,1.427707284,1.433588739,1.102943312
Nf-YB,1.118668215,1.200508058,1.555334836,1.403897573,1.150299182,2.709880823,1.239131533,3.436231971,1.85419935,1.256871215
CR44906,1,1,1,1,1,1.008861195,1,1,1,1
CG10631,1.010017746,1.095676986,1.021960152,1.021890563,1.097843767,1.192966786,1.033165845,1.099606032,1.080238255,1.033199999
CG10628,1.025232844,1.136463666,1.189793791,1.082636734,1.150299182,1.361757001,1.077429008,1.569915541,1.528824176,1.139561029
CG10463,1.020135847,1.115883993,1.215921843,1.074850251,1.015679663,1.131461672,1.052609309,1.36150932,1.197325661,1.024798068
fbp,1.069598485,1.389495494,1.224758083,1.051825205,1.031605178,1.131461672,1.037992778,1.180769016,68.86345795,1.033199999
bsh,1,1,1,1,1,1,1,1,1,1
CdGAPr,1.043273722,1.178768635,1.242623672,1.197760277,1.302761348,1.337940443,1.733270705,1.209133425,1.27686579,1.309246063
CG10466,1.035503366,1.136463666,1.155827656,1.098379329,1.064209244,1.349796194,1.052609309,2.406818267,1.415265724,1.041670815
fs(2)ltoPP43,1.129874749,1.245197085,1.54411359,1.403897573,1.282649831,2.353138609,1.139410355,3.436231971,2.692573689,1.341712835
sick,1.03292613,1.55051578,1.139209961,1.564434435,1.522062312,1.035918694,1.018819306,1.209133425,1.327104213,1.409081686
CR43828,1,1,1,1,1,1,1,1,1,1
CR43827,1,1,1,1,1,1,1,1,1,1
COX4,9.609128092,288.6140441,300.5989238,264.9704798,445.295851,44.41294567,19.20440294,2406.818267,480.3571349,63.30214694
CG16772,1,1,1,1,1,1,1,1,1.026061009,1.008198621
CG43861,1,1,1,1,1,1.192966786,1,1.099606032,1,1
sNPF,1.00750394,1,1,1.007244249,1,1,1,1,1,1.076254285
barr,1.010017746,1.075835899,1.147488727,1.067119771,1,1.774361663,1.009365794,2.523840212,1.415265724,1.058821363
lok,1.025232844,1.178768635,1.189793791,1.03674985,1.064209244,1.805946917,1.033165845,1.99053158,1.878205106,1.139561029
vls,1.072267222,1.467799268,1.510933266,1.268961003,1.205260937,1.854382131,1.118363529,3.689863575,3.265626266,1.2466504
bwa,1.027790885,1.056354104,1.207149354,1.122423471,1.080895687,1.092230189,2.088517202,1.024021979,1.094223771,1.592676821
CR44907,1,1,1,1,1,1,1.009365794,1,1,1
pr,1.245197085,1.291549665,1.837176762,1.363943053,2.176896784,1.774361663,1.392273947,1.533087739,1.528824176,1.363803413
neb,1.012537824,1.056354104,1.075094254,1.098379329,1.282649831,1.192966786,1.033165845,1.238179203,1.152000093,1.033199999
fok,1.34520316,2.19416782,4.074392775,4.205565985,201.3974902,5069.68345,11.02833936,1298.380732,2.762744876,2.034748038
CG10747,1.012537824,1.075835899,1.075094254,1.059444888,1.186654592,1.161807296,1.052609309,1.153069992,1.026061009,1.093974231
CG10721,1.043273722,1.157422881,1.122831183,1.114350837,1.064209244,1.361757001,1.067431663,1.298380732,1.182022377,1.067502238
Taf13,1.286196606,1.467799268,3.16227766,1.730790545,1.645190588,6.265198942,1.616225759,17.26288598,9.498469473,1.77103421
nesd,1.072267222,1.339627725,1.797699018,1.287412935,1.015679663,1.728016531,1.028361358,1.99053158,1.27686579,1.102943312
mRpS18B,1.124257519,1.291549665,1.532973302,1.180593298,1.205260937,1.540775853,1.166276754,2.710127298,1.58897593,1.341712835
Kua,1.002495083,1,1,1,1,1,1,1,1,1
CG17570,1,1,1,1,1,1,1,1,1,1
spir,1.048486325,1.31536905,1.307230588,1.155303063,1.645190588,1.161807296,1.239131533,1.126020745,1.182022377,1.121102678
La,1.232846739,2.15443469,4.074392775,1.887391822,1.806162232,3.755888091,1.782428615,57.9277417,17.16472585,1.814952437
RtGEF,1.058989795,1.415121244,1.224758083,1.098379329,1.115057588,1.385997517,1.087519986,1.267922718,1.24443457,1.041670815
CG16798,1,1,1,1,1,1,1,1,1,1
CG10947,1.004996391,1,1.059637289,1,1,1,1.37935519,1.048621014,1,1.008198621
CG10949,1.03292613,1.095676986,1.130990923,1.090479624,1.015679663,1.172102298,1.057527082,1.36150932,1.197325661,1.05021108
Arpc2,1.424556418,3.72759372,1.989491731,1.942679932,1.982883949,2.332470136,2.661345228,3.276905502,3.265626266,1.921710412
CG31688,1.004996391,1.037225095,1,1,1,1.008861195,1,1.073810967,1.012946696,1.041670815
CG31687,1.010017746,1.056354104,1.014587035,1.007244249,1.0477804,1.092230189,1.004671983,1.153069992,1.152000093,1.008198621
Cdc23,1.040677146,1.075835899,1.090776692,1.059444888,1.0477804,1.280205514,1.014081534,1.462003639,1.212827073,1.139561029
CG2493,4.676419038,288.6140441,14.89210106,4.929353553,4.5227794,129.1549665,2.563934242,12.98380732,11.82022377,3.035774464
CR45347,1,1,1.007267112,1,1,1,1,1,1,1
CG15475,1.002495083,1,1,1,1,1,1,1,1,1
CG17470,1,1,1,1,1,1,1,1.048621014,1.012946696,1
phr6-4,1.010017746,1.056354104,1.090776692,1.007244249,1.031605178,1.121523632,1.004671983,1.267922718,1.182022377,1.01646446
CG2608,1.035503366,1.136463666,1.224758083,1.106336262,1.132541315,1.361757001,1.092600861,1.267922718,1.166914687,1.076254285
Uhg3,1.077624688,1.579111144,1.446696259,1.334725167,1.430228426,1.540775853,1.160853267,1.329570407,1.878205106,1.420634213
CG18810,1,1,1,1,1,1.008861195,1,1,1,1
CG2611,1.805067748,1.698864456,2.796023907,1.519911083,2.316673681,1.257815257,1.221924955,1.267922718,1.379319273,1.277564921
brun,1.015064189,1.075835899,1.067337791,1.021890563,1.0477804,1.092230189,1.018819306,1.153069992,1.052801194,1.01646446
CG2614,1.03292613,1.037225095,1.051992343,1.051825205,1.080895687,1.280205514,1.057527082,1.298380732,1.182022377,1.076254285
CG31678,1.012537824,1.056354104,1.03686752,1.044260324,1.115057588,1.182488525,1.033165845,1.180769016,1.166914687,1.05021108
IKKepsilon,1.066936391,1.245197085,1.207149354,1.106336262,1.132541315,1.302994339,1.102833936,1.329570407,1.415265724,1.121102678
Cen,1.017596859,1.095676986,1.067337791,1.074850251,1.080895687,1.246767408,1.072418686,1.36150932,1.052801194,1.085078087
CG2617,1.030355309,1.056354104,1.260749866,1.021890563,1.031605178,1.349796194,1.042842263,1.853707628,1.415265724,1.05021108
Hr38,1,1.018442485,1,1.007244249,1,1,1.014081534,1.024021979,1.039345109,1.085078087
CarT,1,1,1.007267112,1.007244249,1.015679663,1,1,1,1,1
TM9SF2,1.302322713,2.833876712,2.12345971,1.942679932,1.69718713,3.690199184,1.542620539,3.778501401,3.76200176,1.409081686
Fs(2)Ket,1.102066477,2.115421069,1.660067649,1.306133176,1.224159023,2.251595756,1.171725579,2.980072324,1.784007386,1.22645744
CG9319,1.085711119,1.22264841,1.172687754,1.241777788,1.150299182,1.172102298,1.102833936,1.394215469,1.452148977,1.121102678
Ns4,1.072267222,1.31536905,1.251653957,1.180593298,1.097843767,1.385997517,1.160853267,1.853707628,1.24443457,1.102943312
Rhau,1.020135847,1.095676986,1.03686752,1.074850251,1.097843767,1.203537898,1.018819306,1.209133425,1.094223771,1.067502238
dia,1.035503366,1.22264841,1.106687889,1.114350837,1.150299182,1.435780738,1.077429008,1.267922718,1.197325661,1.085078087
cad,1,1,1,1,1,1,1,1,1,1
Pomp,4.23275739,16.37893707,352.5086768,35.880537,35.814101,79.50293134,30.6076481,5144.464873,290.8621104,16.32172129
vari,1.104816224,3.937658924,1.172687754,1.021890563,1.863246312,1.257815257,1.221924955,1.329570407,1,1.111985927
CG9328,4.915395206,10.75835899,2.526479178,2.293514908,8.829699955,6.320716092,2.60003837,5.394593974,2.557532899,1.579725251
CheB38c,1.004996391,1.018442485,1,1,1,1,1.004671983,1,1,1
CG9331,1.386037217,4.236274826,1.510933266,1.476654852,1.262848787,1,1.233369253,1.943836773,1.039345109,1.267175827
CG31673,1.527505153,3.796339812,2.299509564,1.445022496,1.47543105,1.082636734,1.867476136,1.60762802,1.902521656,1.397623103
CG31674,1.045876776,1.200508058,1.044402552,1.014540976,1,1.008861195,1.057527082,1,1,1.01646446
CG31676,3.898603703,4.727191266,7377.760083,5.653938721,4.249896743,1.101908654,4.221881826,1.073810967,1.080238255,1.618899385
twit,1.015064189,1.018442485,1.090776692,1.014540976,1,1.054358991,1.004671983,6.522783887,1.080238255,1.085078087
CG9336,1.102066477,1.095676986,1.521913387,1.044260324,11.15057588,1.72802E+29,1.072418686,1462.003639,4.169766461,884.7254302
CG9338,1.823150458,4.236274826,2.6196242,2.058162324,2352998.345,86072793.92,1.274274986,17.67757467,5.324232146,2515991.791
CG31675,1.004996391,1.018442485,1.014587035,1.007244249,1.080895687,1.326188825,1,1.073810967,1.012946696,1.05021108
CG14401,1.124257519,1.245197085,1.269911877,1.044260324,1.302761348,1.008861195,1.35387618,1,1.012946696,1.341712835
sky,2.247665097,122.264841,16.01041229,1.259834449,2.971481105,4.641588834,7.631169379,1.853707628,1.509283936,1.397623103
Mtp,1.403415107,3.220597919,1.759069582,1.122423471,1.205260937,1.302994339,1.134111803,1.298380732,1.24443457,1.130294175
RPA2,1.187614044,1.389495494,3.735313385,1.498126856,1.77827941,5.345266326,1.244920735,47.90847768,52.56181957,1.632172129
CG9272,1.03292613,1.115883993,1.098703488,1.082636734,1.0477804,1.257815257,1.018819306,1.36150932,1.108390354,1.05021108
CG42238,1.035503366,2.539580038,1.672131546,1.114350837,1.205260937,1.235816596,1.033165845,3.276905502,1.122740346,1.085078087
CG9265,1,1,1,1,1,1.008861195,1,1.024021979,1,1.01646446
tadr,1.002495083,1,1.007267112,1,1,1,1,1,1,1
l(2)05287,1.02268117,1.056354104,1.139209961,1.090479624,1.031605178,1.172102298,1.072418686,1.462003639,1.27686579,1.041670815
CG34136,1.124257519,1.79460244,2.018512516,1.029293393,1.064209244,1.017800911,2.935021832,1,1,1.058821363
CG9257,1.004996391,1.075835899,1.044402552,1.082636734,1,1.257815257,1.014081534,1.36150932,1.152000093,1.093974231
Nhe2,1.012537824,1.157422881,1.189793791,1.029293393,1,1.111672882,1.004671983,1.048621014,1.327104213,1.008198621
Dap160,1.035503366,1.291549665,1.082907085,1.090479624,1.031605178,1.15160272,1.134111803,1.209133425,1.108390354,1.076254285
CG9253,1.053724973,1.31536905,1.784729191,1.334725167,1.115057588,1.540775853,1.150081837,3.869268484,3.223887574,1.298599338
del,1.002495083,1,1.059637289,1,1,1,1,1.048621014,1,1.008198621
E2f2,1.115883993,1.441219597,1.510933266,1.344394248,1.097843767,2.116754531,1.150081837,2.77522992,1.58897593,1.206591562
Mpp6,1.038087033,1.056354104,1.147488727,1.130554586,1.064209244,1.302994339,1.077429008,2.038348089,1.361689888,1.206591562
CG9249,1.058989795,1.157422881,1.114730314,1.130554586,1.080895687,1.161807296,1.092600861,1.60762802,1.260545886,1.130294175
CG9248,1.118668215,1.698864456,1.684283113,1.445022496,1.343935353,1.697794246,1.18269972,1.898237355,2.337303362,1.341712835
Nbr,1.045876776,1.178768635,1.233658537,1.180593298,1.0477804,1.423169753,1.102833936,1.462003639,1.509283936,1.093974231
CG9246,1.045876776,1.037225095,1.297799335,1.098379329,1.115057588,1.302994339,1.082462738,1.767757467,1.433588739,1.148903858
Acon,1.292622947,2.19416782,2.962771192,4.520353656,2.70665207,2.15443469,1.608709894,5.524182799,8.792939363,3.085756853
CG31627,1.004996391,1,1,1,1.015679663,1,1,1,1,1
bur,1.085711119,1.245197085,1.345645978,1.163672366,1.080895687,1.59611851,1.102833936,1.685792525,1.609547918,1.196779618
CR44911,1,1,1,1,1,1,1,1,1,1
Mcm10,1.002495083,1.037225095,1.155827656,1.014540976,1,1.101908654,1.014081534,1.298380732,1.27686579,1.05021108
Ret,1.00750394,1.018442485,1,1,1.243353424,1,1,1,1,1.008198621
CG31988,1,1,1,1,1,1.008861195,1,1,1,1
Atg18b,1.02268117,1.136463666,1.155827656,1.215176881,1.0477804,1.182488525,1.118363529,1.099606032,1.052801194,1.085078087
snRNA:U4:39B,1,1,1,1.007244249,1,1,1,1,1,1.008198621
CG8679,1.010017746,1.037225095,1.075094254,1.007244249,1,1.045098172,1.004671983,1.209133425,1.052801194,1.01646446
CG8677,1.048486325,1.415121244,1.198440155,1.114350837,1.080895687,2.615920378,1.072418686,4.56871234,2.367563718,1.158323286
Hr39,1.085711119,1.157422881,1.181209807,1.051825205,1.224159023,1.302994339,1.102833936,1.298380732,1.24443457,1.024798068
l(2)k14505,1.205504487,1.608233878,1.975138181,1.610262028,1.645190588,1.728016531,1.366556305,4.057396243,2.24882317,1.444024189
CG8671,1.382587546,5.994842503,2.217746741,1.325125628,1.645190588,4.249643417,3.973656146,5.394593974,3.713918783,1.467799268
Mondo,1.038087033,1.31536905,1.189793791,1.082636734,1.080895687,1.291549665,1.077429008,1.298380732,1.3101422,1.111985927
crc,1.232846739,2.15443469,1.601041229,2.228242136,2.04555335,2.353138609,1.398778627,3.518777065,2.163692455,1.969365117
CR44785,1.641980387,2.833876712,1.555334836,1.03674985,1.224159023,1.008861195,1.033165845,1.024021979,1,1.033199999
dimm,1,1,1,1.007244249,1,1,1,1,1,1
Tsp39D,1.099323574,1.415121244,1.215921843,1.306133176,1.224159023,5.488625532,1.144733661,2.77522992,1.452148977,1.177394454
dtr,1,1.018442485,1.007267112,1.007244249,1,1.017800911,1,1,1,1
CG8665,1,1,1,1,1,1,1,1,1,1
nrv3,1.064280922,1.200508058,1.139209961,1287.412935,1.498565312,1.073127541,1.062467831,1.49712386,1.094223771,1.659044962
His2B:CG17949,1.012537824,1.056354104,1.021960152,1.007244249,1,1.017800911,1,1.180769016,1,1.008198621
His2B:CG33868,1.035503366,1.268161613,1.014587035,1.03674985,1.015679663,1.017800911,1.009365794,1.073810967,1.039345109,1.008198621
Lamp1,24.40314989,8329.806648,676.3767635,70.20935517,43.84215487,1073.127541,44.64754368,59.31928072,38.10707253,13.52713031
CG2201,1.010017746,1.115883993,1.051992343,1.029293393,1.097843767,1.026819843,1.028361358,1,1.039345109,1.085078087
CR43148,1.025232844,1.037225095,1.029386851,1,1.031605178,1,1.077429008,1,1,1.01646446
Df31,8.632710682,196.6304593,2796023.907,643.8392213,28.80444153,1.55443E+19,8.107871977,3.05166E+30,3.43806E+19,5692.711161
CR44993,1,1,1,1,1,1,1.004671983,1,1,1
Ac3,1,1,1,1,1.015679663,1,1.004671983,1.048621014,1,1.008198621
CR43144,1.027790885,1.075835899,1.297799335,1.180593298,1.224159023,1.082636734,1.072418686,1.209133425,1.094223771,1.05021108
Cul2,1.03292613,1.178768635,1.189793791,1.114350837,1.097843767,1.474288152,1.067431663,1.427707284,1.379319273,1.041670815
CG2225,1.00750394,1.037225095,1.044402552,1.007244249,1.015679663,1.141487774,1.009365794,1.238179203,1.039345109,1.05021108
eEF2,24.28182838,196630.4593,1082907.085,12417.77788,22110.29793,853167.8524,1268.349279,1.26792E+13,2.02891E+14,28671.26194
nolo,1.93551498,6.689548787,2.077830242,1.021890563,1.168335485,1.026819843,1.009365794,1,1,1.05021108
step,1.061632062,2.15443469,1.172687754,1.296739275,1.47543105,1.59611851,1.18269972,1.569915541,1.489993444,1.130294175
CG1416,1.279802214,1.827699369,3.550703967,2.103216657,2.013974902,7.278953844,1.507084669,50.23783646,10.26061009,2.189906295
CG31612,1.002495083,1,1,1.007244249,1,1,1.014081534,1,1,1
tsh,1.038087033,1.364333789,1.425896655,1.223979925,1.282649831,1.101908654,1.107986357,1.238179203,2.557532899,1.277564921
CR44917,1,1,1.007267112,1.014540976,1.015679663,1,1,1,1.012946696,1.041670815
CR44918,1,1,1,1.029293393,1.015679663,1,1,1,1,1.01646446
CG11629,1,1,1,1,1,1,1,1,1,1
tio,1.010017746,1.056354104,1.03686752,1.007244249,1.0477804,1.017800911,1.033165845,1,1.026061009,1.01646446
CR33987,1.002495083,1.018442485,1.067337791,1.014540976,1,1,1.067431663,1,1.012946696,1
CG3651,1.069598485,1.22264841,1.139209961,1.215176881,1.132541315,1.624530874,1.077429008,1.726288598,2.028909006,1.130294175
CycK,1.164172446,1.494869134,1.73377889,1.414067756,1.386410669,2.709880823,1.398778627,6.074424726,3.223887574,1.420634213
CR43241,1.069598485,1.364333789,1.375196568,1.259834449,1.243353424,2.807216204,1.177199862,5.394593974,2.946278137,1.374984721
CG42748,1.051102385,1.200508058,1.684283113,1.163672366,1.47543105,2.098162306,1.102833936,1.685792525,2.984422704,1.64555369
dunk,1,1.018442485,1,1,1,1.008861195,1,1,1,1
Clamp,1.085711119,1.22264841,1.297799335,1.146993954,1.115057588,2.615920378,1.144733661,3.200034343,2.557532899,1.148903858
CR44809,1,1,1,1,1,1,1,1,1,1
Ir40a,1,1,1,1,1,1,1,1,1,1
CR43765,1,1,1,1,1,1,1,1,1,1
CG3262,1.270270183,2.317818181,2.062839357,1.575767587,1.77827941,4.641588834,1.500076337,3.518777065,7.438894164,1.672646844
RpL21,238619.3332,2.78256E+18,2.20175E+22,2.31013E+17,2.88044E+12,2.27155E+22,1.26835E+11,2.29522E+40,2.55753E+48,3.69297E+15
Tif-IA,1.066936391,1.22264841,1.365274962,1.268961003,1.115057588,2.135511506,1.128837892,3.869268484,2.524844505,1.479833198
CG17018,1,1,1,1,1,1,1,1,1,1
RpL5,4350.389465,6.93857E+13,7.76135E+15,3.38673E+11,95439845.96,9.07516E+11,6362733.372,1.09961E+26,6.45737E+31,6487191787
CR46268,1.02268117,1.095676986,1.082907085,1.021890563,1,1.161807296,1.028361358,1.180769016,1.24443457,1.058821363
CG17493,1.338515414,1.966304593,2.816342926,2.293514908,2.110203429,4.287300337,1.451922114,21.88800532,4.446770263,1.672646844
Slmap,1.085711119,1.245197085,1.436258806,1.138744605,1.243353424,1.805946917,1.239131533,1.569915541,1.27686579,1.148903858
CG40006,1.002495083,1,1,1,1,1,1,1,1,1
CG40439,1.010017746,1,1.044402552,1,1,1.035918694,1.004671983,1.024021979,1,1
CG17715,1.13269388,1.136463666,1.288436125,1.306133176,1.619792782,1.624530874,1.244920735,1.569915541,1.3101422,1.206591562
lt,1.058989795,1.291549665,1.172687754,1.189145809,1.097843767,1.337940443,1.072418686,1.267922718,1.361689888,1.236512701
cta,1.051102385,1.441219597,1.355424938,1.215176881,1.282649831,1.955184472,1.177199862,2.087313245,1.361689888,1.148903858
Cht10,1,1,1.007267112,1.007244249,1,1,1,1,1,1
Spf45,1.149756995,1.522438235,1.624395673,1.455490598,1.343935353,2.116754531,1.21624269,3.436231971,3.101845139,1.341712835
CR43242,1,1,1.029386851,1.03674985,1,1.026819843,1.004671983,1.048621014,1.052801194,1.01646446
CG12567,1.074942617,1.579111144,1.365274962,1.334725167,1.186654592,2.007622214,1.160853267,2.464634806,2.46071577,1.236512701
CR44268,1.004996391,1,1,1.029293393,1,1.008861195,1,1.024021979,1.052801194,1
Gpb5,1.017596859,1.037225095,1.029386851,1.007244249,1.015679663,1,1.023579213,1,1,1.05021108
Tim23,1.428110804,2.15443469,4.444252671,3.173711154,2.623728658,3.995145191,1.938426743,24.06818267,7.343816011,3.188203978
CR32009,1,1,1,1,1,1.008861195,1,1,1,1
PlexB,1.051102385,1.441219597,1.242623672,1.172102298,1.205260937,2.173525556,1.102833936,1.943836773,1.293396983,1.148903858
CR45124,1,1,1,1.007244249,1,1.008861195,1,1,1.012946696,1
CR44440,1,1,1,1,1,1,1,1,1,1
ci,1.072267222,1.579111144,1.457209563,1.325125628,1.115057588,4.641588834,1.009365794,3.05165956,2.798513294,1.309246063
CR43957,1.027790885,1.268161613,1.075094254,1.130554586,1,1.063701872,1.009365794,1.073810967,1.137276124,1.102943312
RpS3A,7143254.178,1.11588E+22,1.13921E+26,5.03726E+24,1.47543E+18,8.53168E+20,2.99026E+11,4.79085E+47,2.94628E+50,8.22041E+18
pan,1.107572832,4.903161412,1.624395673,1.363943053,1.47543105,2.85718721,1.268349279,2.646551883,2.307429771,1.267175827
Ank,1.263954969,2.002568136,1.696522987,1.383776117,1.922134544,2.832091494,2.088517202,1.685792525,1.379319273,1.386257701
CG32000,1.232846739,2.19416782,1.365274962,2.343721241,1.323188207,1.955184472,1.392273947,2.406818267,2.834744795,1.686360242
CG31997,1.00750394,1.018442485,1.365274962,1.014540976,1.115057588,1.008861195,1.009365794,2.188800532,1.039345109,1.01646446
CG33978,1.002495083,1.075835899,1.007267112,1.021890563,1.015679663,1.035918694,1.009365794,1.394215469,1.052801194,1
Arl4,1.355297484,2.002568136,2.185861503,1.846960809,2.280909784,2.98604113,1.500076337,4.790847768,2.108736651,1.541499054
CG2316,1.064280922,1.157422881,1.122831183,1.090479624,1.168335485,1.314540426,1.134111803,1.209133425,1.066431491,1.041670815
CG31998,1.058989795,1.494869134,1.198440155,1.325125628,1.224159023,1.854382131,1.118363529,1.329570407,1.3101422,1.158323286
Crk,1.523703387,2.234633727,3.525086768,2.39502662,2.176896784,4.480649745,1.685468529,11.80769016,11.66914687,2.843810866
CG31999,2.029360988,7.602429141,1.601041229,1.029293393,1.115057588,1,1.004671983,1.073810967,1.197325661,1.076254285
yellow-h,1.172908326,1.200508058,1.021960152,1,1.0477804,1.008861195,1,1,1.094223771,1
CG1674,1.178768635,1.579111144,1.051992343,1.090479624,1.015679663,1.035918694,1.004671983,1,1.85419935,1.386257701
dpr7,1.025232844,1.056354104,1.014587035,1.059444888,1,1.063701872,1.028361358,1.048621014,1.026061009,1.139561029
RhoGAP102A,1.004996391,1,1,1.007244249,1,1,1,1,1,1
NfI,1.020135847,1.095676986,1,1,1,1.008861195,1.023579213,1.024021979,1.012946696,1
CR44023,1,1,1,1,1,1,1,1,1,1
Syt7,1.012537824,1.075835899,1,1,1.031605178,1.045098172,1.009365794,1.024021979,1.012946696,1
Rad23,1.601568264,5.085682064,3.57650733,4.085876791,2.316673681,8.607279392,1.815972685,23.50358015,9.621443269,3.321059036
Zip102B,1.331860916,2.15443469,2.250097089,1.587182839,1.863246312,3.319500947,1.815972685,2.350358015,1.65149436,1.444024189
CG32850,1.386037217,4.236274826,1.672131546,1.519911083,1.47543105,2.212216291,1.841544366,1.853707628,2.081784421,1.64555369
PMCA,1.328546083,3.937658924,1.989491731,2.103216657,2.880444153,6.782934519,2.22934939,4.057396243,3.223887574,2.189906295
Hcf,1.069598485,1.291549665,1.233658537,1.146993954,1.186654592,1.870814173,1.166276754,2.087313245,1.65149436,1.196779618
