Gene name,MN.C0,MN.C1,MN.C2,MN.C3,MN.C4,MN.C5,MN.C6,MN.C7,MN.C8,MN.C9,MN.C10,MN.C11,MN.C12,MN.C13,MN.C14,MN.C15,MN.C16,MN.C17,MN.C18,MN.C19,MN.C20,MN.C21,MN.C22,MN.C23,MN.C24,MN.C25,MN.C26,MN.C27
CG31715,809.7171416,88.58667904,58.62946646,100,964.1108805,21.27496491,82.54041853,148.7352107,169.0714103,79.06043211,47.95689579,149.2495545,21.5443469,203.9500469,71.9685673,199.5262315,141.2537545,8.829699955,316.227766,517.9474679,46.41588834,50.54796821,203.0917621,464.1588834,510.8969775,16.23776739,6.812920691,79.43282347
Sps2,1.283315186,1.35387618,1.649648074,1.43301257,1.730195739,1.302429122,1.165914401,1.32035178,1.223824937,1.389495494,1.216483949,1.419625896,1.291549665,1.467799268,1.31536905,1.77827941,1.412537545,1.365007807,1.085711119,1.508590709,1.978318883,1.185971012,1.858791891,1.333521432,1.615598098,1.128837892,1.467799268,1.258925412
CG5022,2.238721139,2.26601697,2.909163406,2.458244069,1.861406687,2.474244554,2.15443469,3.56224789,2.335721469,1.325711366,2.415342501,2.462092401,1.291549665,2.539580038,1.730195739,3.548133892,2.511886432,1.064209244,2.096179992,2.682695795,1.291549665,1.291549665,2.030917621,1.957341781,3.16227766,1.623776739,1.467799268,3.16227766
CG34367,1.039122304,1.062467831,1,1,1,1,1,1,1,1,1,1,1,7.19685673,1.389495494,1.059253725,1,1.064209244,1,1,1,1,1.304321387,1.100694171,1.100694171,1,1,1
CG5367,1,1,1,1,1,1,1,1,1,1,1,1,1,1.056354104,1,1.059253725,1,1,1,1,1,1.089022962,1,1,1.100694171,1,1,1
CG5045,4.73151259,5.292784486,6.061898993,5.424690937,9.641108805,6.357387571,5.011872336,10.82636734,4.641588834,2.329951811,7.096820648,17.34324802,1.584893192,5.471359333,3.72759372,15.84893192,6.309573445,1.452653926,5.623413252,29.12632655,4.262158829,3.030271083,4.124626383,6.812920691,7.498942093,1.623776739,2.15443469,3.981071706
Cand1,1.957341781,1.163561851,1.350314038,1.43301257,2.404099184,1.696321618,1.308177474,2.301807313,1.381499962,1.676832937,1.216483949,1.492495545,1.22712524,1.930697729,1.31536905,1.496235656,1.258925412,1.132541315,2.096179992,1.508590709,1.291549665,1.406527242,1.557068405,1.615598098,1.957341781,1.274274986,1.895735652,1
pim,1.122018454,1.163561851,1.14280206,1.036632928,1,1,1.039122304,1.082636734,1.041223256,1.048113134,1,1,1,1.245197085,1.115883993,1,1.188502227,1.064209244,1,1.178768635,1,1,1,1.211527659,1.211527659,1,1,1
lft,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.211527659,1,1,1
CG5056,6.431811877,3.067906399,2.545640674,1.6548171,4.010279139,2.668268371,1.920141939,4.175318937,2.636650899,2.442053095,2.415342501,3.16227766,1.944862439,2.039500469,2.539580038,4.466835922,5.011872336,1.365007807,3.16227766,5.623413252,2.15443469,2.346228848,2.648969288,2.610157216,2.371373706,1.832980711,1.136463666,1.995262315
rho-5,3.16227766,2.335721469,3.324597932,2.206734069,2.782559402,2.474244554,2.073321573,2.126112334,1.559489504,2.811768698,2.415342501,2.462092401,3.08239924,2.039500469,3.528735021,2.511886432,3.758374043,1.205260937,3.72759372,1.77827941,1.816599788,2.15443469,2.648969288,2.15443469,2.610157216,2.636650899,1.895735652,1.258925412
CG33303,12.83315186,15.75318673,28.13684268,25.48296748,32.20597919,32.22528161,17.7827941,41.75318937,10.84145869,10.48113134,30.85756853,28.61025569,6.989473207,18.27699369,15.5051578,18.83649089,25.11886432,2.880444153,78.13707377,17.7827941,10,303.0271083,11.93776642,31.6227766,1211.527659,48.32930239,8.799225436,10
dpr19,5.207948329,3.909356383,7.916819159,5.829415347,11.57422881,7.119656099,3.981071706,11.72102298,5.914660545,1.842069969,4.795689579,7.044109314,4.641588834,3.72759372,5.471359333,16.78804018,13.33521432,1.132541315,3.72759372,24.70911228,7.742636827,3.593813664,4.506570338,3.83118685,7.498942093,2.976351442,1.895735652,1
gny,1.188502227,1.128837892,1.181581733,1.19708503,1.115883993,1.038468775,1.079775162,1.082636734,1.084145869,1.098541142,1.05021108,1.350314038,1.22712524,1.115883993,1,1.188502227,1.122018454,1,1.389495494,1,1,1.291549665,1,1.100694171,1.100694171,1,1,1.258925412
CG5096,1.019373486,1.030760802,1,1,1,1,1,1.04049831,1,1,1,1.051330177,1,1,1,1,1,1,1,1.085711119,1.089022962,1,1,1,1,1,1,1
Cdk1,1.059253725,1.062467831,1.033933849,1,1,1,1,1.04049831,1,1,1,1,1.165914401,1,1,1.059253725,1,1,1,1.085711119,1,1.089022962,1,1,1.615598098,1,1,1
mRpS7,7.498942093,13.13472706,8.75042175,22.875732,21.5443469,11.19902793,9.623506264,34.23597958,5.455594781,2.682695795,15.54137221,57.6593265,3.782489906,6.812920691,25.39580038,39.81071706,26.6072506,5.711586478,6.628703162,19.30697729,16.68100537,2.782559402,9.152473109,74.98942093,31.6227766,2.069138081,2.15443469,3.16227766
