Frame,ObjectID,X,Y,Width,Height
149,2,822,639,20,20
149,3,715,325,20,20
149,4,640,212,22,22
149,5,656,205,20,20
150,1,803,660,20,20
150,2,822,639,20,20
150,3,715,325,20,20
150,4,640,211,22,22
150,5,656,204,20,20
151,1,804,660,20,20
151,2,822,639,20,20
151,3,715,325,20,20
151,4,639,211,22,22
151,5,655,204,20,20
152,1,804,660,20,20
152,2,822,639,20,20
152,3,715,325,20,20
152,4,639,211,22,22
152,5,655,204,20,20
153,1,803,660,20,20
153,2,822,639,20,20
153,3,715,326,20,20
153,4,639,212,22,22
153,5,655,204,20,20
154,1,803,660,20,20
154,2,822,639,20,20
154,3,715,325,20,20
154,4,638,212,22,22
154,5,654,204,20,20
155,1,804,661,20,20
155,2,821,639,20,20
155,3,715,325,20,20
155,4,639,212,22,22
155,5,655,205,20,20
156,1,804,660,20,20
156,2,822,639,20,20
156,3,715,325,20,20
156,4,639,212,22,22
156,5,655,205,20,20
157,1,803,660,20,20
157,2,822,639,20,20
157,3,716,325,20,20
157,4,639,211,22,22
157,5,655,205,20,20
158,1,803,660,20,20
158,2,822,639,20,20
158,3,716,325,20,20
158,4,638,212,22,22
158,5,655,205,20,20
159,1,803,660,20,20
159,2,821,639,20,20
159,3,716,325,20,20
159,4,639,212,22,22
159,5,655,205,20,20
160,1,803,660,20,20
160,2,822,639,20,20
160,3,716,325,20,20
160,4,639,212,22,22
160,5,655,205,20,20
161,1,803,660,20,20
161,2,822,639,20,20
161,3,716,325,20,20
161,4,638,212,22,22
161,5,655,205,20,20
162,1,803,660,20,20
162,2,822,639,20,20
162,3,716,325,20,20
162,4,639,212,22,22
162,5,655,205,20,20
163,1,804,660,20,20
163,2,822,638,20,20
163,3,716,325,20,20
163,4,639,213,22,22
163,5,655,205,20,20
164,1,803,660,20,20
164,2,822,638,20,20
164,3,715,325,20,20
164,4,639,212,22,22
164,5,655,205,20,20
165,1,804,660,20,20
165,2,822,638,20,20
165,3,715,325,20,20
165,4,639,212,22,22
165,5,656,205,20,20
166,1,804,660,20,20
166,2,821,638,20,20
166,3,715,325,20,20
166,4,639,212,22,22
166,5,656,205,20,20
167,1,803,660,20,20
167,2,822,638,20,20
167,3,715,325,20,20
167,4,639,212,22,22
167,5,655,204,20,20
168,1,803,660,20,20
168,2,822,638,20,20
168,3,715,325,20,20
168,4,639,212,22,22
168,5,655,204,20,20
169,1,803,660,20,20
169,2,822,638,20,20
169,3,715,325,20,20
169,4,639,212,22,22
169,5,655,205,20,20
170,1,803,660,20,20
170,2,822,638,20,20
170,3,715,326,20,20
170,4,640,213,22,22
170,5,655,205,20,20
171,1,803,660,20,20
171,2,821,638,20,20
171,3,715,326,20,20
171,4,639,212,22,22
171,5,655,204,20,20
172,1,804,660,20,20
172,2,822,638,20,20
172,3,715,325,20,20
172,4,639,212,22,22
172,5,655,204,20,20
173,1,804,660,20,20
173,2,822,638,20,20
173,3,715,325,20,20
173,4,639,212,22,22
173,5,655,204,20,20
174,1,803,660,20,20
174,2,821,638,20,20
174,3,715,325,20,20
174,4,639,212,22,22
174,5,656,204,20,20
175,1,803,660,20,20
175,2,821,638,20,20
175,3,715,325,20,20
175,4,639,212,22,22
175,5,655,204,20,20
176,1,803,660,20,20
176,2,821,638,20,20
176,3,715,325,20,20
176,4,639,212,22,22
176,5,655,204,20,20
177,1,804,660,20,20
177,2,822,638,20,20
177,3,715,325,20,20
177,4,638,212,22,22
177,5,654,204,20,20
178,1,804,660,20,20
178,2,822,639,20,20
178,3,715,325,20,20
178,4,638,212,22,22
178,5,654,205,20,20
179,1,803,660,20,20
179,2,821,639,20,20
179,3,715,325,20,20
179,4,639,211,22,22
179,5,655,204,20,20
180,1,803,660,20,20
180,2,822,639,20,20
180,3,715,325,20,20
180,4,639,212,22,22
180,5,655,205,20,20
181,1,803,660,20,20
181,2,822,639,20,20
181,3,715,325,20,20
181,4,639,212,22,22
181,5,655,204,20,20
182,1,804,660,20,20
182,2,822,638,20,20
182,3,715,325,20,20
182,4,639,212,22,22
182,5,655,204,20,20
183,1,803,660,20,20
183,2,821,638,20,20
183,3,715,325,20,20
183,4,639,211,22,22
183,5,655,203,20,20
184,1,803,660,20,20
184,2,821,638,20,20
184,3,715,325,20,20
184,4,638,212,22,22
184,5,655,204,20,20
185,1,803,660,20,20
185,2,821,638,20,20
185,3,715,325,20,20
185,4,638,212,22,22
185,5,655,204,20,20
186,1,803,660,20,20
186,2,821,638,20,20
186,3,715,325,20,20
186,4,638,211,22,22
186,5,655,204,20,20
187,1,804,660,20,20
187,2,822,639,20,20
187,3,715,325,20,20
187,4,638,212,22,22
187,5,655,205,20,20
188,1,803,660,20,20
188,2,822,639,20,20
188,3,715,325,20,20
188,4,638,212,22,22
188,5,655,205,20,20
189,1,803,660,20,20
189,2,822,639,20,20
189,3,715,325,20,20
189,4,639,212,22,22
189,5,655,205,20,20
190,1,804,660,20,20
190,2,822,638,20,20
190,3,715,325,20,20
190,4,638,212,22,22
190,5,654,204,20,20
191,1,804,660,20,20
191,2,822,638,20,20
191,3,715,325,20,20
191,4,638,212,22,22
191,5,655,205,20,20
192,1,803,660,20,20
192,2,822,638,20,20
192,3,715,325,20,20
192,4,638,212,22,22
192,5,655,205,20,20
193,1,803,660,20,20
193,2,822,638,20,20
193,3,715,325,20,20
193,4,638,212,22,22
193,5,654,204,20,20
194,1,803,660,20,20
194,2,822,638,20,20
194,3,715,325,20,20
194,4,639,212,22,22
194,5,655,204,20,20
195,1,803,660,20,20
195,2,822,638,20,20
195,3,715,325,20,20
195,4,639,212,22,22
195,5,655,204,20,20
196,1,803,660,20,20
196,2,822,638,20,20
196,3,715,325,20,20
196,4,639,212,22,22
196,5,655,204,20,20
197,1,803,660,20,20
197,2,822,638,20,20
197,3,715,325,20,20
197,4,638,212,22,22
197,5,655,204,20,20
198,1,803,660,20,20
198,2,822,638,20,20
198,3,715,325,20,20
198,4,638,211,22,22
198,5,655,203,20,20
199,1,803,660,20,20
199,2,822,639,20,20
199,3,715,325,20,20
199,4,638,212,22,22
199,5,654,204,20,20
200,1,803,660,20,20
200,2,822,639,20,20
200,3,715,325,20,20
200,4,638,212,22,22
200,5,654,204,20,20
201,1,803,660,20,20
201,2,822,639,20,20
201,3,715,325,20,20
201,4,638,212,22,22
201,5,654,205,20,20
202,1,803,660,20,20
202,2,822,638,20,20
202,3,715,325,20,20
202,4,638,212,22,22
202,5,655,204,20,20
203,1,803,660,20,20
203,2,822,638,20,20
203,3,715,325,20,20
203,4,638,212,22,22
203,5,654,204,20,20
204,1,803,660,20,20
204,2,821,638,20,20
204,3,715,325,20,20
204,4,638,211,22,22
204,5,654,203,20,20
205,1,804,660,20,20
205,2,821,638,20,20
205,3,715,325,20,20
205,4,638,211,22,22
205,5,654,204,20,20
206,1,804,661,20,20
206,2,822,638,20,20
206,3,716,326,20,20
206,4,638,212,22,22
206,5,654,204,20,20
207,1,804,660,20,20
207,2,822,638,20,20
207,3,716,326,20,20
207,4,638,212,22,22
207,5,655,204,20,20
208,1,804,660,20,20
208,2,822,638,20,20
208,3,716,325,20,20
208,4,638,212,22,22
208,5,655,204,20,20
209,1,804,661,20,20
209,2,822,638,20,20
209,3,716,325,20,20
209,4,638,211,22,22
209,5,654,203,20,20
210,1,804,660,20,20
210,2,822,638,20,20
210,3,716,325,20,20
210,4,638,211,22,22
210,5,654,203,20,20
211,1,804,660,20,20
211,2,822,638,20,20
211,3,716,325,20,20
211,4,638,211,22,22
211,5,654,204,20,20
212,1,803,660,20,20
212,2,822,638,20,20
212,3,716,325,20,20
212,4,638,211,22,22
212,5,654,204,20,20
213,1,803,660,20,20
213,2,822,639,20,20
213,3,716,325,20,20
213,4,638,211,22,22
213,5,655,204,20,20
214,1,803,660,20,20
214,2,822,639,20,20
214,3,716,325,20,20
214,4,637,211,22,22
214,5,654,204,20,20
215,1,804,661,20,20
215,2,822,639,20,20
215,3,716,325,20,20
215,4,638,211,22,22
215,5,654,203,20,20
216,1,803,660,20,20
216,2,821,638,20,20
216,3,716,326,20,20
216,4,638,211,22,22
216,5,655,204,20,20
217,1,803,660,20,20
217,2,821,638,20,20
217,3,715,325,20,20
217,4,638,212,22,22
217,5,655,204,20,20
218,1,803,660,20,20
218,2,821,638,20,20
218,3,715,325,20,20
218,4,638,212,22,22
218,5,654,204,20,20
219,1,803,660,20,20
219,2,821,638,20,20
219,3,715,325,20,20
219,4,638,212,22,22
219,5,654,204,20,20
220,1,803,660,20,20
220,2,822,638,20,20
220,3,715,325,20,20
220,4,639,212,22,22
220,5,655,204,20,20
221,1,803,660,20,20
221,2,822,638,20,20
221,3,715,325,20,20
221,4,638,211,22,22
221,5,655,204,20,20
222,1,804,659,20,20
222,2,822,638,20,20
222,3,715,326,20,20
222,4,638,211,22,22
222,5,654,203,20,20
223,1,804,660,20,20
223,2,822,639,20,20
223,3,715,325,20,20
223,4,638,211,22,22
223,5,654,204,20,20
224,1,803,660,20,20
224,2,822,639,20,20
224,3,715,325,20,20
224,4,638,212,22,22
224,5,654,204,20,20
225,1,803,660,20,20
225,2,822,639,20,20
225,3,715,325,20,20
225,4,638,212,22,22
225,5,654,204,20,20
226,1,803,660,20,20
226,2,822,639,20,20
226,3,715,325,20,20
226,4,638,212,22,22
226,5,654,204,20,20
227,1,803,660,20,20
227,2,822,639,20,20
227,3,715,325,20,20
227,4,638,211,22,22
227,5,654,204,20,20
228,1,804,660,20,20
228,2,822,639,20,20
228,3,715,325,20,20
228,4,638,211,22,22
228,5,654,204,20,20
229,1,803,660,20,20
229,2,822,639,20,20
229,3,715,325,20,20
229,4,638,211,22,22
229,5,654,204,20,20
230,1,803,660,20,20
230,2,822,638,20,20
230,3,715,325,20,20
230,4,637,211,22,22
230,5,653,204,20,20
231,1,803,660,20,20
231,2,822,638,20,20
231,3,715,325,20,20
231,4,638,211,22,22
231,5,654,204,20,20
232,1,804,660,20,20
232,2,822,638,20,20
232,3,715,325,20,20
232,4,638,211,22,22
