"","Df","FBgn","Symbol"
"450171","Df(3L)BSC414","FBgn0020639","Lcp65Af"
"450181","Df(3L)BSC414","FBgn0020640","Lcp65Ae"
"458801","Df(3L)BSC414","FBgn0001258","Ldh"
"483811","Df(3L)BSC414","FBgn0020643","Lcp65Ab2"
"483821","Df(3L)BSC414","FBgn0020644","Lcp65Ab1"
"591571","Df(3L)BSC414","FBgn0042118","Cpr65Ax2"
"591581","Df(3L)BSC414","FBgn0042119","Cpr65Au"
"591591","Df(3L)BSC414","FBgn0086611","Lcp65Ag3"
"59223","Df(3L)BSC414","FBgn0042185","MCU"
"117406","Df(3L)BSC414","FBgn0052396","betaTub65B"
"251414","Df(3L)BSC414","FBgn0024177","zpg"
"318008","Df(3L)BSC414","FBgn0263973","jv"
"3180111","Df(3L)BSC414","FBgn0041625","Or65a"
"3180121","Df(3L)BSC414","FBgn0041624","Or65b"
"3180131","Df(3L)BSC414","FBgn0041623","Or65c"
"3180141","Df(3L)BSC414","FBgn0052405","Cpr65Av"
"43799091","Df(3L)BSC414","FBgn0047334","BG642312"
"57403481","Df(3L)BSC414","FBgn0085300","Cpr65Ay"
"57407511","Df(3L)BSC414","FBgn0086900","Cpr65Ax1"
"86740091","Df(3L)BSC414","FBgn0259969","Sfp65A"
"101788621","Df(3L)BSC414","FBgn0261631","CG42714"
"127983631","Df(3L)BSC414","FBgn0262985","CG43293"
"127983641","Df(3L)BSC414","FBgn0262787","CG43168"
"198348341","Df(3L)BSC414","FBgn0266989","lncRNA:CR45440"
"198349171","Df(3L)BSC414","FBgn0266970","lncRNA:CR45421"
"198350191","Df(3L)BSC414","FBgn0265715","lncRNA:CR44522"
"198351231","Df(3L)BSC414","FBgn0266990","lncRNA:CR45441"
"198351341","Df(3L)BSC414","FBgn0266589","lncRNA:CR45114"
"198355951","Df(3L)BSC414","FBgn0267308","lncRNA:CR45744"
"198356931","Df(3L)BSC414","FBgn0266588","lncRNA:CR45113"
"198357281","Df(3L)BSC414","FBgn0266968","lncRNA:CR45419"
"198359111","Df(3L)BSC414","FBgn0264603","lncRNA:CR43952"
"198359551","Df(3L)BSC414","FBgn0266988","lncRNA:CR45439"
"198361291","Df(3L)BSC414","FBgn0266969","lncRNA:CR45420"
"19836222","Df(3L)BSC414","FBgn0266967","lncRNA:CR45418"
"260670381","Df(3L)BSC414","FBgn0047000","CG33946"
"26067306","Df(3L)BSC414","FBgn0267641","lncRNA:CR45979"
"260673071","Df(3L)BSC414","FBgn0267642","lncRNA:CR45980"
"260673221","Df(3L)BSC414","FBgn0267663","lncRNA:CR46001"
"260673261","Df(3L)BSC414","FBgn0267667","asRNA:CR46005"
"39900","Df(3L)BSC419","FBgn0261547","Exn"
"39902","Df(3L)BSC419","FBgn0036684","CG3764"
"39903","Df(3L)BSC419","FBgn0036685","CG6664"
"39904","Df(3L)BSC419","FBgn0036686","CG7728"
"39905","Df(3L)BSC419","FBgn0036687","CG6652"
"39906","Df(3L)BSC419","FBgn0011293","a10"
"39907","Df(3L)BSC419","FBgn0036688","Fit2"
"39908","Df(3L)BSC419","FBgn0036689","CG7730"
"39909","Df(3L)BSC419","FBgn0036690","Ilp8"
"39910","Df(3L)BSC419","FBgn0036691","beg"
"39914","Df(3L)BSC419","FBgn0036695","Papst2"
"39915","Df(3L)BSC419","FBgn0036696","Pop5"
"39916","Df(3L)BSC419","FBgn0010424","TpnC73F"
"39917","Df(3L)BSC419","FBgn0036697","rogdi"
"39918","Df(3L)BSC419","FBgn0036698","CG7724"
"39919","Df(3L)BSC419","FBgn0260943","Rbp6"
"39922","Df(3L)BSC419","FBgn0036702","Afg3l2"
"39923","Df(3L)BSC419","FBgn0036703","CG7707"
"39924","Df(3L)BSC419","FBgn0036704","CG6497"
"39925","Df(3L)BSC419","FBgn0036705","CG13723"
"39926","Df(3L)BSC419","FBgn0036706","ND-24L"
"39927","Df(3L)BSC419","FBgn0036707","CG13724"
"39928","Df(3L)BSC419","FBgn0036708","CG13725"
"39929","Df(3L)BSC419","FBgn0036709","Or74a"
"39930","Df(3L)BSC419","FBgn0036710","CG6479"
"39931","Df(3L)BSC419","FBgn0036711","CG13727"
"39932","Df(3L)BSC419","FBgn0036712","brv2"
"39933","Df(3L)BSC419","FBgn0036713","Mip"
"39934","Df(3L)BSC419","FBgn0036714","CG7692"
"39935","Df(3L)BSC419","FBgn0015550","tap"
"39936","Df(3L)BSC419","FBgn0036715","Cad74A"
"39937","Df(3L)BSC419","FBgn0036716","CG13728"
"39938","Df(3L)BSC419","FBgn0036717","CG13731"
"39939","Df(3L)BSC419","FBgn0027660","blot"
"399401","Df(3L)BSC419","FBgn0266669","Sec3"
"399411","Df(3L)BSC419","FBgn0053051","Polr3G"
"399431","Df(3L)BSC419","FBgn0042641","frc"
"399441","Df(3L)BSC419","FBgn0052176","CG32176"
"399451","Df(3L)BSC419","FBgn0036723","CG12229"
"399471","Df(3L)BSC419","FBgn0036725","CG18265"
"399481","Df(3L)BSC419","FBgn0036726","QIL1"
"399491","Df(3L)BSC419","FBgn0036727","SecCl"
"399501","Df(3L)BSC419","FBgn0036728","UQCR-Q"
"43918","Df(3L)BSC419","FBgn0026197","lncRNA:noe"
"502661","Df(3L)BSC419","FBgn0040793","CG7630"
"2616071","Df(3L)BSC419","FBgn0052174","Coq4"
"3262451","Df(3L)BSC419","FBgn0053052","Gorab"
"3346235","Df(3L)BSC419","FBgn0261872","scaf6"
"12797920","Df(3L)BSC419","FBgn0262189","mir-2500"
"12797922","Df(3L)BSC419","FBgn0263381","asRNA:CR43433"
"12797923","Df(3L)BSC419","FBgn0262376","mir-219"
"14462876","Df(3L)BSC419","FBgn0264462","lncRNA:CR43870"
"14462877","Df(3L)BSC419","FBgn0264466","lncRNA:CR43874"
"19835043","Df(3L)BSC419","FBgn0266985","lncRNA:CR45436"
"19835246","Df(3L)BSC419","FBgn0267320","lncRNA:CR45756"
"19835279","Df(3L)BSC419","FBgn0265756","lncRNA:CR44563"
"19835411","Df(3L)BSC419","FBgn0267248","lncRNA:CR45688"
"19835793","Df(3L)BSC419","FBgn0262895","lncRNA:CR43250"
"19835830","Df(3L)BSC419","FBgn0265757","lncRNA:CR44564"
"198358461","Df(3L)BSC419","FBgn0265758","lncRNA:CR44565"
"361731","Df(3L)BSC449","FBgn0267849","Syx7"
"40345","Df(3L)BSC449","FBgn0004865","Eip78C"
"40346","Df(3L)BSC449","FBgn0037063","CG9391"
"40347","Df(3L)BSC449","FBgn0037064","CG9389"
"40348","Df(3L)BSC449","FBgn0012034","AcCoAS"
"40349","Df(3L)BSC449","FBgn0027945","ppl"
"40350","Df(3L)BSC449","FBgn0037065","CG12974"
"40351","Df(3L)BSC449","FBgn0259785","pzg"
"40352","Df(3L)BSC449","FBgn0037067","Cpr78Ca"
"40353","Df(3L)BSC449","FBgn0037068","Cpr78Cb"
"40354","Df(3L)BSC449","FBgn0000551","Edg78E"
"40355","Df(3L)BSC449","FBgn0037069","Cpr78Cc"
"40356","Df(3L)BSC449","FBgn0037070","CG11309"
"403571","Df(3L)BSC449","FBgn0037071","CG7632"
"403581","Df(3L)BSC449","FBgn0003042","Pc"
"403591","Df(3L)BSC449","FBgn0086913","Rab26"
"403601","Df(3L)BSC449","FBgn0037073","Tsr1"
"403611","Df(3L)BSC449","FBgn0037074","Tbc1d8-9"
"403621","Df(3L)BSC449","FBgn0052436","CG32436"
"403631","Df(3L)BSC449","FBgn0037076","ebd2"
"403651","Df(3L)BSC449","FBgn0037078","CG12971"
"403661","Df(3L)BSC449","FBgn0052437","CG32437"
"403671","Df(3L)BSC449","FBgn0002842","sa"
"403681","Df(3L)BSC449","FBgn0261258","rgn"
"403691","Df(3L)BSC449","FBgn0037081","barc"
"403701","Df(3L)BSC449","FBgn0005694","Aef1"
"403711","Df(3L)BSC449","FBgn0037082","CG5664"
"403721","Df(3L)BSC449","FBgn0283479","Alp1"
"403741","Df(3L)BSC449","FBgn0014143","croc"
"403751","Df(3L)BSC449","FBgn0037085","Neu2"
"403761","Df(3L)BSC449","FBgn0037086","CG7202"
"403771","Df(3L)BSC449","FBgn0037087","CG7519"
"403781","Df(3L)BSC449","FBgn0015239","Hr78"
"403811","Df(3L)BSC449","FBgn0037090","Est-Q"
"403821","Df(3L)BSC449","FBgn0264561","Glg1"
"403831","Df(3L)BSC449","FBgn0037092","M6"
"403841","Df(3L)BSC449","FBgn0026371","SAK"
"403851","Df(3L)BSC449","FBgn0037093","Cdk12"
"403861","Df(3L)BSC449","FBgn0037094","CG7611"
"403881","Df(3L)BSC449","FBgn0015283","Rpn10"
"403891","Df(3L)BSC449","FBgn0028663","VhaM9.7-b"
"403901","Df(3L)BSC449","FBgn0263911","COX8"
"403911","Df(3L)BSC449","FBgn0037098","Wnk"
"403921","Df(3L)BSC449","FBgn0037099","CG7173"
"403931","Df(3L)BSC449","FBgn0037100","CapaR"
"403941","Df(3L)BSC449","FBgn0037101","CG7634"
"403951","Df(3L)BSC449","FBgn0037102","CRIF"
"403961","Df(3L)BSC449","FBgn0052441","EMC10"
"403981","Df(3L)BSC449","FBgn0261953","TfAP-2"
"441311","Df(3L)BSC449","FBgn0029152","Mkrn1"
"3180301","Df(3L)BSC449","FBgn0052440","CG32440"
"3180311","Df(3L)BSC449","FBgn0052442","Arv1"
"3262151","Df(3L)BSC449","FBgn0052438","SMC5"
"27689681","Df(3L)BSC449","FBgn0053288","CG33288"
"27689871","Df(3L)BSC449","FBgn0053289","ppk5"
"27689931","Df(3L)BSC449","FBgn0053290","CG33290"
"12798438","Df(3L)BSC449","FBgn0262854","CG43218"
"127984471","Df(3L)BSC449","FBgn0262330","mir-193"
"14462901","Df(3L)BSC449","FBgn0263841","CG43702"
"144629031","Df(3L)BSC449","FBgn0264469","asRNA:CR43877"
"144629041","Df(3L)BSC449","FBgn0264567","lncRNA:CR43939"
"144629051","Df(3L)BSC449","FBgn0264568","lncRNA:CR43940"
"19835320","Df(3L)BSC449","FBgn0266981","lncRNA:CR45432"
"198355961","Df(3L)BSC449","FBgn0264554","asRNA:CR43933"
"198359931","Df(3L)BSC449","FBgn0267234","lncRNA:CR45674"
"19836254","Df(3L)BSC449","FBgn0266655","asRNA:CR45162"
"26067279","Df(3L)BSC449","FBgn0267614","asRNA:CR45952"
"260672801","Df(3L)BSC449","FBgn0267615","lncRNA:CR45953"
"260672811","Df(3L)BSC449","FBgn0267616","lncRNA:CR45954"
"260673851","Df(3L)BSC449","FBgn0267737","asRNA:CR46068"
"367863881","Df(3L)BSC449","FBgn0285994","hpRNA:CR46340"
"403101","Df(3L)BSC672","FBgn0052432","CG32432"
"403131","Df(3L)BSC672","FBgn0037035","CG10589"
"403141","Df(3L)BSC672","FBgn0011591","fng"
"40315","Df(3L)BSC672","FBgn0037036","Sems"
"40316","Df(3L)BSC672","FBgn0037037","CG10588"
"40317","Df(3L)BSC672","FBgn0037038","CG11037"
"40318","Df(3L)BSC672","FBgn0037039","CG10587"
"40319","Df(3L)BSC672","FBgn0037040","CG12983"
"403211","Df(3L)BSC672","FBgn0037042","CG12984"
"403231","Df(3L)BSC672","FBgn0037044","Pdss2"
"403241","Df(3L)BSC672","FBgn0037045","CG10584"
"403251","Df(3L)BSC672","FBgn0028402","Polr3E"
"403261","Df(3L)BSC672","FBgn0037046","CG10581"
"403271","Df(3L)BSC672","FBgn0026179","siz"
"403301","Df(3L)BSC672","FBgn0020294","ko"
"403311","Df(3L)BSC672","FBgn0037050","ICA69"
"403321","Df(3L)BSC672","FBgn0037051","CG10565"
"403331","Df(3L)BSC672","FBgn0024150","Ac78C"
"403351","Df(3L)BSC672","FBgn0259239","CG42337"
"403361","Df(3L)BSC672","FBgn0041100","park"
"403391","Df(3L)BSC672","FBgn0037057","CG10512"
"403401","Df(3L)BSC672","FBgn0053054","CG33054"
"439011","Df(3L)BSC672","FBgn0021760","chb"
"439061","Df(3L)BSC672","FBgn0003415","skd"
"501101","Df(3L)BSC672","FBgn0040637","CG11458"
"3262461","Df(3L)BSC672","FBgn0053056","CG33056"
"27689651","Df(3L)BSC672","FBgn0270926","AsnS"
"2768984","Df(3L)BSC672","FBgn0053286","CG33286"
"2768986","Df(3L)BSC672","FBgn0053287","CG33287"
"27689881","Df(3L)BSC672","FBgn0053285","CG33285"
"27689891","Df(3L)BSC672","FBgn0053284","CG33284"
"57402051","Df(3L)BSC672","FBgn0085290","CG34261"
"86740431","Df(3L)BSC672","FBgn0259972","Sfp77F"
"127984351","Df(3L)BSC672","FBgn0263486","scaRNA:PsiU6-40"
"127984361","Df(3L)BSC672","FBgn0262482","CG43072"
"144628971","Df(3L)BSC672","FBgn0264552","CG43931"
"144628981","Df(3L)BSC672","FBgn0264551","lncRNA:CR43930"
"144628991","Df(3L)BSC672","FBgn0264550","lncRNA:CR43929"
"144629001","Df(3L)BSC672","FBgn0264566","CG43938"
"198350271","Df(3L)BSC672","FBgn0267297","lncRNA:CR45733"
"19835159","Df(3L)BSC672","FBgn0266778","lncRNA:CR45243"
"198353091","Df(3L)BSC672","FBgn0265897","lncRNA:CR44686"
"198353501","Df(3L)BSC672","FBgn0266932","lncRNA:CR45383"
"198362291","Df(3L)BSC672","FBgn0267298","lncRNA:CR45734"
"260671311","Df(3L)BSC672","FBgn0267451","asRNA:CR45801"
"260672711","Df(3L)BSC672","FBgn0267606","asRNA:CR45944"
"260672721","Df(3L)BSC672","FBgn0267607","lncRNA:CR45945"
"260672781","Df(3L)BSC672","FBgn0267613","asRNA:CR45951"
"383692","Df(3L)BSC775","FBgn0035397","PAN3"
"383702","Df(3L)BSC775","FBgn0035398","Cht7"
"383712","Df(3L)BSC775","FBgn0266437","CG45067"
"383722","Df(3L)BSC775","FBgn0026189","promL"
"383732","Df(3L)BSC775","FBgn0035400","CG11537"
"383742","Df(3L)BSC775","FBgn0035401","Alg2"
"383752","Df(3L)BSC775","FBgn0035402","Usp5"
"383762","Df(3L)BSC775","FBgn0263108","BtbVII"
"383782","Df(3L)BSC775","FBgn0266582","ND-30"
"383792","Df(3L)BSC775","FBgn0035405","CG15812"
"383812","Df(3L)BSC775","FBgn0035407","Asciz"
"383822","Df(3L)BSC775","FBgn0052278","CG32278"
"383832","Df(3L)BSC775","FBgn0035409","CG14963"
"383842","Df(3L)BSC775","FBgn0035410","MnM"
"383852","Df(3L)BSC775","FBgn0283724","Girdin"
"383862","Df(3L)BSC775","FBgn0035412","CG14957"
"383872","Df(3L)BSC775","FBgn0035413","CG14958"
"383882","Df(3L)BSC775","FBgn0035414","CG14965"
"383892","Df(3L)BSC775","FBgn0001233","Hsp83"
"383901","Df(3L)BSC775","FBgn0035415","CG14966"
"383911","Df(3L)BSC775","FBgn0286567","gry"
"383921","Df(3L)BSC775","FBgn0052271","CG32271"
"383931","Df(3L)BSC775","FBgn0052277","CG32277"
"440982","Df(3L)BSC775","FBgn0024194","rasp"
"2516451","Df(3L)BSC775","FBgn0047135","CG32276"
"3179522","Df(3L)BSC775","FBgn0052280","CG32280"
"3179532","Df(3L)BSC775","FBgn0052281","CG32281"
"3179562","Df(3L)BSC775","FBgn0052284","CG32284"
"3189011","Df(3L)BSC775","FBgn0053159","CG33159"
"3262651","Df(3L)BSC775","FBgn0053160","CG33160"
"37719952","Df(3L)BSC775","FBgn0003938","snRNA:U5:63BC"
"86740872","Df(3L)BSC775","FBgn0260026","CG42494"
"86740972","Df(3L)BSC775","FBgn0260430","CG42525"
"198351362","Df(3L)BSC775","FBgn0266436","CG45066"
"260671472","Df(3L)BSC775","FBgn0267469","lncRNA:CR45819"
"385931","Df(3L)BSC23","FBgn0010747","Srp54k"
"385941","Df(3L)BSC23","FBgn0263831","Gen"
"385951","Df(3L)BSC23","FBgn0028962","AlaRS-m"
"385961","Df(3L)BSC23","FBgn0035586","Fitm"
"385971","Df(3L)BSC23","FBgn0035587","Gdap1"
"385981","Df(3L)BSC23","FBgn0035588","Dhrs4"
"385991","Df(3L)BSC23","FBgn0035589","CHMP2B"
"386001","Df(3L)BSC23","FBgn0035590","Tcs5"
"386011","Df(3L)BSC23","FBgn0035591","CG4611"
"386021","Df(3L)BSC23","FBgn0035592","CG10674"
"386031","Df(3L)BSC23","FBgn0035593","Yod1"
"386041","Df(3L)BSC23","FBgn0035594","CG4597"
"386051","Df(3L)BSC23","FBgn0052423","shep"
"386081","Df(3L)BSC23","FBgn0035598","CG4669"
"386101","Df(3L)BSC23","FBgn0016031","lama"
"386111","Df(3L)BSC23","FBgn0004380","Klp64D"
"386121","Df(3L)BSC23","FBgn0035600","Cyt-c1"
"386131","Df(3L)BSC23","FBgn0035601","Uev1A"
"386141","Df(3L)BSC23","FBgn0260856","Membrin"
"386151","Df(3L)BSC23","FBgn0035603","Pfdn4"
"386161","Df(3L)BSC23","FBgn0035604","Ir64a"
"386191","Df(3L)BSC23","FBgn0035607","CG4835"
"386201","Df(3L)BSC23","FBgn0035608","blanks"
"386221","Df(3L)BSC23","FBgn0035610","Lkr"
"386231","Df(3L)BSC23","FBgn0035611","CG13285"
"386241","Df(3L)BSC23","FBgn0035612","frm"
"386281","Df(3L)BSC23","FBgn0040239","bc10"
"386291","Df(3L)BSC23","FBgn0015766","Msr-110"
"386301","Df(3L)BSC23","FBgn0035617","l(3)psg2"
"386311","Df(3L)BSC23","FBgn0003486","spo"
"386321","Df(3L)BSC23","FBgn0035619","Alp10"
"386331","Df(3L)BSC23","FBgn0035620","Alp9"
"386341","Df(3L)BSC23","FBgn0035621","CG10591"
"386351","Df(3L)BSC23","FBgn0035622","TM9SF3"
"386361","Df(3L)BSC23","FBgn0035623","mthl2"
"386372","Df(3L)BSC23","FBgn0035624","Eaf6"
"386382","Df(3L)BSC23","FBgn0035625","Blimp-1"
"386391","Df(3L)BSC23","FBgn0035626","lin-28"
"386401","Df(3L)BSC23","FBgn0035627","Sse"
"386431","Df(3L)BSC23","FBgn0263106","DnaJ-1"
"386441","Df(3L)BSC23","FBgn0016756","Usp47"
"386451","Df(3L)BSC23","FBgn0035630","CG10576"
"386461","Df(3L)BSC23","FBgn0035631","Txl"
"386471","Df(3L)BSC23","FBgn0035632","Ppat-Dpck"
"386482","Df(3L)BSC23","FBgn0260936","scny"
"386491","Df(3L)BSC23","FBgn0040298","Myt1"
"386511","Df(3L)BSC23","FBgn0035636","Cralbp"
"386521","Df(3L)BSC23","FBgn0086694","Bre1"
"386531","Df(3L)BSC23","FBgn0035638","Tektin-C"
"386541","Df(3L)BSC23","FBgn0283472","S6k"
"386551","Df(3L)BSC23","FBgn0035639","kri"
"386561","Df(3L)BSC23","FBgn0035640","mad2"
"386571","Df(3L)BSC23","FBgn0003984","vn"
"386581","Df(3L)BSC23","FBgn0035641","CG5568"
"386591","Df(3L)BSC23","FBgn0035642","CG18586"
"386601","Df(3L)BSC23","FBgn0035643","CG13287"
"386611","Df(3L)BSC23","FBgn0035644","PolE2"
"386621","Df(3L)BSC23","FBgn0035645","CG5592"
"386631","Df(3L)BSC23","FBgn0052412","QC"
"386641","Df(3L)BSC23","FBgn0035647","CG10486"
"386651","Df(3L)BSC23","FBgn0035648","CG13288"
"386661","Df(3L)BSC23","FBgn0035649","CG10483"
"386671","Df(3L)BSC23","FBgn0052407","CG32407"
"386681","Df(3L)BSC23","FBgn0053523","CG33523"
"386691","Df(3L)BSC23","FBgn0002638","Rcc1"
"386742","Df(3L)BSC23","FBgn0035656","CG10479"
"386752","Df(3L)BSC23","FBgn0035657","alphaKap4"
"386772","Df(3L)BSC23","FBgn0052406","PVRAP"
"386792","Df(3L)BSC23","FBgn0035661","CG10477"
"386802","Df(3L)BSC23","FBgn0040060","yip7"
"386812","Df(3L)BSC23","FBgn0035663","CG6462"
"386822","Df(3L)BSC23","FBgn0250815","Jon65Aiv"
"386832","Df(3L)BSC23","FBgn0035665","Jon65Aiii"
"386842","Df(3L)BSC23","FBgn0035666","Jon65Aii"
"386852","Df(3L)BSC23","FBgn0035667","Jon65Ai"
"386872","Df(3L)BSC23","FBgn0035669","CG6592"
"386882","Df(3L)BSC23","FBgn0035670","CG10472"
"386892","Df(3L)BSC23","FBgn0259164","CG42269"
"386912","Df(3L)BSC23","FBgn0035673","CG6602"
"386922","Df(3L)BSC23","FBgn0035674","CG13295"
"386932","Df(3L)BSC23","FBgn0035675","CG6610"
"386942","Df(3L)BSC23","FBgn0035676","ssp6"
"386952","Df(3L)BSC23","FBgn0035677","CG13293"
"386962","Df(3L)BSC23","FBgn0035678","CG10469"
"386972","Df(3L)BSC23","FBgn0035679","CG10467"
"386982","Df(3L)BSC23","FBgn0061492","loj"
"387002","Df(3L)BSC23","FBgn0005658","Ets65A"
"387012","Df(3L)BSC23","FBgn0002440","l(3)mbn"
"387022","Df(3L)BSC23","FBgn0020637","Lcp65Ag2"
"387032","Df(3L)BSC23","FBgn0020638","Lcp65Ag1"
"387062","Df(3L)BSC23","FBgn0052404","Cpr65Aw"
"387072","Df(3L)BSC23","FBgn0020641","Lcp65Ad"
"387082","Df(3L)BSC23","FBgn0020642","Lcp65Ac"
"387092","Df(3L)BSC23","FBgn0020645","Lcp65Aa"
"387102","Df(3L)BSC23","FBgn0020765","Acp65Aa"
"387112","Df(3L)BSC23","FBgn0035685","CG13297"
"387122","Df(3L)BSC23","FBgn0035686","Cpr65Az"
"387132","Df(3L)BSC23","FBgn0035687","Prdm13"
"387142","Df(3L)BSC23","FBgn0035688","fmt"
"387152","Df(3L)BSC23","FBgn0035689","CG7376"
"387162","Df(3L)BSC23","FBgn0035690","CG10274"
"387172","Df(3L)BSC23","FBgn0022699","D19B"
"387182","Df(3L)BSC23","FBgn0022935","D19A"
"387192","Df(3L)BSC23","FBgn0035691","CG7386"
"387202","Df(3L)BSC23","FBgn0035692","Sf3b6"
"387212","Df(3L)BSC23","FBgn0024921","Tnpo"
"387222","Df(3L)BSC23","FBgn0035693","CG8219"
"387232","Df(3L)BSC23","FBgn0002526","LanA"
"387242","Df(3L)BSC23","FBgn0035694","CG13299"
"387252","Df(3L)BSC23","FBgn0035695","CG10226"
"387262","Df(3L)BSC23","FBgn0004513","Mdr65"
"387272","Df(3L)BSC23","FBgn0035696","Best2"
"387282","Df(3L)BSC23","FBgn0035697","CG10163"
"387302","Df(3L)BSC23","FBgn0035699","CG13300"
"387322","Df(3L)BSC23","FBgn0261801","CG42747"
"387332","Df(3L)BSC23","FBgn0035702","CG10147"
"387342","Df(3L)BSC23","FBgn0035703","Bulli"
"387351","Df(3L)BSC23","FBgn0035704","Vps8"
"387361","Df(3L)BSC23","FBgn0020251","sfl"
"387381","Df(3L)BSC23","FBgn0002926","ndl"
"387401","Df(3L)BSC23","FBgn0286051","Rexo5"
"387411","Df(3L)BSC23","FBgn0035708","axed"
"387421","Df(3L)BSC23","FBgn0004619","GluRIA"
"38743","Df(3L)BSC23","FBgn0035709","eIF4E4"
"38744","Df(3L)BSC23","FBgn0035710","SP1173"
"38745","Df(3L)BSC23","FBgn0035711","CG8519"
"38746","Df(3L)BSC23","FBgn0005626","ple"
"38747","Df(3L)BSC23","FBgn0261934","dikar"
"38748","Df(3L)BSC23","FBgn0035713","velo"
"38749","Df(3L)BSC23","FBgn0035714","Sbds"
"38750","Df(3L)BSC23","FBgn0035715","Ist1"
"38751","Df(3L)BSC23","FBgn0052392","Rsph3"
"38752","Df(3L)BSC23","FBgn0086680","vvl"
"438921","Df(3L)BSC23","FBgn0085447","sif"
"440011","Df(3L)BSC23","FBgn0029118","ScsbetaG"
"440021","Df(3L)BSC23","FBgn0029121","Sras"
"447852","Df(3L)BSC23","FBgn0028980","tant"
"450172","Df(3L)BSC23","FBgn0020639","Lcp65Af"
"450182","Df(3L)BSC23","FBgn0020640","Lcp65Ae"
"458802","Df(3L)BSC23","FBgn0001258","Ldh"
"461871","Df(3L)BSC23","FBgn0010894","sinu"
"483812","Df(3L)BSC23","FBgn0020643","Lcp65Ab2"
"483822","Df(3L)BSC23","FBgn0020644","Lcp65Ab1"
"503151","Df(3L)BSC23","FBgn0040842","CG15212"
"503161","Df(3L)BSC23","FBgn0040843","CG15213"
"591572","Df(3L)BSC23","FBgn0042118","Cpr65Ax2"
"591582","Df(3L)BSC23","FBgn0042119","Cpr65Au"
"591592","Df(3L)BSC23","FBgn0086611","Lcp65Ag3"
"592231","Df(3L)BSC23","FBgn0042185","MCU"
"117342","Df(3L)BSC23","FBgn0041232","CG32395"
"1174061","Df(3L)BSC23","FBgn0052396","betaTub65B"
"2514141","Df(3L)BSC23","FBgn0024177","zpg"
"3180081","Df(3L)BSC23","FBgn0263973","jv"
"3180112","Df(3L)BSC23","FBgn0041625","Or65a"
"3180122","Df(3L)BSC23","FBgn0041624","Or65b"
"3180132","Df(3L)BSC23","FBgn0041623","Or65c"
"3180142","Df(3L)BSC23","FBgn0052405","Cpr65Av"
"3180161","Df(3L)BSC23","FBgn0052409","CG32409"
"3180181","Df(3L)BSC23","FBgn0052413","CG32413"
"3180201","Df(3L)BSC23","FBgn0259167","CG42272"
"3262142","Df(3L)BSC23","FBgn0052418","vito"
"37719201","Df(3L)BSC23","FBgn0260458","PGRP-LD"
"37721001","Df(3L)BSC23","FBgn0044419","Pmi"
"37723001","Df(3L)BSC23","FBgn0065097","sncRNA:357"
"37723871","Df(3L)BSC23","FBgn0086660","snoRNA:Psi28S-1837a"
"37726121","Df(3L)BSC23","FBgn0065058","snoRNA:684"
"38856371","Df(3L)BSC23","FBgn0053993","Egfrap"
"43799092","Df(3L)BSC23","FBgn0047334","BG642312"
"57401521","Df(3L)BSC23","FBgn0085371","CG34342"
"57402091","Df(3L)BSC23","FBgn0082994","snoRNA:Psi28S-1837c"
"57403482","Df(3L)BSC23","FBgn0085300","Cpr65Ay"
"57403871","Df(3L)BSC23","FBgn0086073","snoRNA:Me18S-A1494"
"57406831","Df(3L)BSC23","FBgn0083044","snoRNA:Psi18S-1397"
"57407512","Df(3L)BSC23","FBgn0086900","Cpr65Ax1"
"57407631","Df(3L)BSC23","FBgn0082995","snoRNA:Psi28S-1837b"
"57408161","Df(3L)BSC23","FBgn0085420","DIP-delta"
"86740092","Df(3L)BSC23","FBgn0259969","Sfp65A"
"101788622","Df(3L)BSC23","FBgn0261631","CG42714"
"127983621","Df(3L)BSC23","FBgn0263488","sncRNA:CR43603"
"127983632","Df(3L)BSC23","FBgn0262985","CG43293"
"127983642","Df(3L)BSC23","FBgn0262787","CG43168"
"19834763","Df(3L)BSC23","FBgn0266966","lncRNA:CR45417"
"198348342","Df(3L)BSC23","FBgn0266989","lncRNA:CR45440"
"198348511","Df(3L)BSC23","FBgn0265711","lncRNA:CR44518"
"19834902","Df(3L)BSC23","FBgn0266683","lncRNA:CR45173"
"198349172","Df(3L)BSC23","FBgn0266970","lncRNA:CR45421"
"19834999","Df(3L)BSC23","FBgn0267323","lncRNA:CR45759"
"198350192","Df(3L)BSC23","FBgn0265715","lncRNA:CR44522"
"198350491","Df(3L)BSC23","FBgn0265708","lncRNA:CR44515"
"19835122","Df(3L)BSC23","FBgn0266965","lncRNA:CR45416"
"198351232","Df(3L)BSC23","FBgn0266990","lncRNA:CR45441"
"198351342","Df(3L)BSC23","FBgn0266589","lncRNA:CR45114"
"19835137","Df(3L)BSC23","FBgn0266774","lncRNA:CR45239"
"198351821","Df(3L)BSC23","FBgn0265713","lncRNA:CR44520"
"198352081","Df(3L)BSC23","FBgn0265712","lncRNA:CR44519"
"198353011","Df(3L)BSC23","FBgn0267305","lncRNA:CR45741"
"198353981","Df(3L)BSC23","FBgn0265714","CG44521"
"198355952","Df(3L)BSC23","FBgn0267308","lncRNA:CR45744"
"198355991","Df(3L)BSC23","FBgn0265709","lncRNA:CR44516"
"198356901","Df(3L)BSC23","FBgn0266384","asRNA:CR45026"
