"","FBgn","Symbol","CG","ensembl","Moderate","Strong","Repress","Lethal","Enhancer","No.Effect"
"FBgn0036967","FBgn0036967","SCCRO4","CG6597","40231",0,1,1,0,0,0
"FBgn0015803","FBgn0015803","RtGEF","CG10043","35306",0,1,1,0,0,0
"FBgn0025549","FBgn0025549","unc-119","CG1659","31664",0,1,1,0,0,0
"FBgn0026250","FBgn0026250","eIF1A","CG8053","44260",0,0,0,1,0,0
"FBgn0038589","FBgn0038589","CG18598","CG18598","42188",0,0,0,1,0,0
"FBgn0261532","FBgn0261532","cdm","CG7212","42171",0,0,0,1,0,0
"FBgn0261649","FBgn0261649","tinc","CG31247","42148",0,0,0,1,0,0
"FBgn0038575","FBgn0038575","CG7208","CG7208","42172",0,0,0,1,0,0
"FBgn0038570","FBgn0038570","Prx5","CG7217","3771951",0,0,0,1,0,0
"FBgn0035094","FBgn0035094","CG9380","CG9380","38011",0,0,0,1,0,0
"FBgn0038558","FBgn0038558","CG12347","CG12347","42152",0,0,0,1,0,0
"FBgn0028499","FBgn0028499","CG7985","CG7985","42178",0,0,0,1,0,0
"FBgn0266195","FBgn0266195","Tgs1","CG44890","59260",0,0,0,1,0,0
"FBgn0038596","FBgn0038596","CG14312","CG14312","42195",0,0,0,1,0,0
"FBgn0263738","FBgn0263738","Ada2a","CG43663","326128",0,0,0,1,0,0
"FBgn0022943","FBgn0022943","Cbp20","CG12357","42166",0,0,0,1,0,0
"FBgn0038586","FBgn0038586","CG7168","CG7168","42184",0,0,0,1,0,0
"FBgn0050199","FBgn0050199","tRNA:Ala-CGC-1-2","CR30199","3771769",0,0,0,1,0,0
"FBgn0266129","FBgn0266129","lov","CG16778","38007",0,0,0,1,0,0
"FBgn0038585","FBgn0038585","Non3","CG7993","42183",0,0,0,1,0,0
"FBgn0038581","FBgn0038581","CG14314","CG14314","42179",0,0,0,1,0,0
"FBgn0053547","FBgn0053547","Rim","CG33547","42150",0,0,0,1,0,0
"FBgn0038590","FBgn0038590","CG12320","CG12320","42189",0,0,0,1,0,0
"FBgn0038578","FBgn0038578","MED17","CG7957","42175",0,0,0,1,0,0
"FBgn0262559","FBgn0262559","Mdh2","CG7998","42185",0,0,0,1,0,0
"FBgn0010389","FBgn0010389","htl","CG7223","42160",0,0,0,1,0,0
"FBgn0038582","FBgn0038582","CG7988","CG7988","42180",0,0,0,1,0,0
"FBgn0038571","FBgn0038571","CG7215","CG7215","3772662",0,0,0,1,0,0
"FBgn0003499","FBgn0003499","sr","CG7847","42162",0,0,0,1,0,0
"FBgn0001325","FBgn0001325","Kr","CG3340","38012",0,0,0,1,0,0
"FBgn0011694","FBgn0011694","EbpII","CG2665","326108",0,0,0,1,0,0
"FBgn0038593","FBgn0038593","Vps39","CG7146","42192",0,0,0,1,0,0
"FBgn0038588","FBgn0038588","CG7156","CG7156","42187",0,0,0,1,0,0
"FBgn0038569","FBgn0038569","CG7218","CG7218","42165",0,0,0,1,0,0
"FBgn0038552","FBgn0038552","Alg1","CG18012","42146",0,0,0,1,0,0
"FBgn0263757","FBgn0263757","Rpb4","CG43662","14462484",0,0,0,1,0,0
"FBgn0038565","FBgn0038565","CG7794","CG7794","42159",0,0,0,1,0,0
"FBgn0038579","FBgn0038579","CG14313","CG14313","42176",0,0,0,1,0,0
"FBgn0004919","FBgn0004919","gol","CG2679","38006",0,0,0,1,0,0
"FBgn0266565","FBgn0266565","asRNA:CR45104","CR45104","19835836",0,0,0,1,0,0
"FBgn0050428","FBgn0050428","CG30428","CG30428","246608",0,0,0,1,0,0
"FBgn0266564","FBgn0266564","lncRNA:CR45103","CR45103","19835281",0,0,0,1,0,0
"FBgn0038568","FBgn0038568","CG14315","CG14315","42164",0,0,0,1,0,0
"FBgn0262566","FBgn0262566","CG43106","CG43106","12797866",0,0,0,1,0,0
"FBgn0020238","FBgn0020238","14-3-3epsilon","CG31196","42186",0,0,0,1,0,0
"FBgn0050429","FBgn0050429","CG30429","CG30429","246609",0,0,0,1,0,0
