"","GR.F","GR.M","TktDfGR.F","TktDfGR.M","TktDfWT.F","TktDfWT.M","TktOEGR.F","TktOEGR.M","TktOEWT.F","TktOEWT.M","WT.F","WT.M"
"FBgn0032315",0.367257807274927,0.461919704393581,0.0629830915905981,0.161212107803001,0,0.816411878900415,0.0238443326205779,0.490730007595459,0,0.940052003493567,0,1.03013548903121
"FBgn0032318",1.57911911501679,3.28203211949822,0.871056376057867,2.09584352491734,1.13195465870489,1.60377384123901,2.14305023269478,2.90136339661633,1.28144757083786,2.89638854899718,1.52382417847901,1.89325263658059
"FBgn0032321",16.8837018647409,17.9728823375872,15.0532607031289,20.1991376729303,18.2583381912285,20.3095714537438,16.0128043749434,19.4966871772092,17.0466471930659,20.0886270766452,20.2887896836525,23.2691562113356
"FBgn0032322",32.2960058931328,17.4459519061649,28.3590071706028,17.4978382107564,31.2534615284314,20.0262930895312,23.8848384027007,12.8276387756905,23.7992730111905,19.532555664027,22.3240153690784,16.0706423714024
"FBgn0032330",93.9160353614801,61.8251316712963,84.3157546144341,67.8065014358867,93.7392297683338,67.1777103741019,89.360412716454,60.346672727037,97.4151196978732,54.3048772620399,111.108009981473,65.1697404296318
"FBgn0032331",0.294164070881514,0.499224285800167,0.580355917543039,0.56710935440576,0.583374964574538,0.475475046179003,0.529869231999978,0.858683251803761,0.377806396734862,0.653662011453508,0.702291462953911,0.795364898997283
"FBgn0032336",3.27100980391246,2.83414828658971,2.20135449168887,2.61370496718101,1.88505660177342,2.04569109939026,2.31107543681147,1.99597164819611,1.87164444332329,2.52376876626613,1.22202010023558,1.15621589410647
"FBgn0032337",1.69189068889566,1.00910618651328,1.33410365989587,2.26511621296004,1.23350755421949,1.2384748946095,1.33405485204667,1.05422421469581,1.40872408921729,0.920715806210622,1.73758517234985,0.796491534837453
"FBgn0032338",0.993474661215557,13.0988097826916,0.876765423185076,10.1162404487866,0.78789721351272,13.2353095308282,0.80524259371376,14.7817672184085,0.985236347121356,15.6498137349199,1.25321826843417,13.9810477049149
"FBgn0032339",16.3296841845398,32.1989627514756,18.0280320335256,28.1483865968285,18.8807577999743,32.5060047747764,16.7108782675323,29.0393706089487,17.7623807117271,34.5404403369166,16.974698981817,31.4782417257095
"FBgn0032341",47.166946319093,34.3328743523229,47.4020759766791,41.594180887214,51.7995267587193,43.1571048581751,45.8059098074488,33.9698740784306,50.0941120608585,38.913461484285,51.9441242492331,37.6426625165446
"FBgn0032343",9.30226781963742,5.62871692841865,7.56762044190484,6.18069821606883,8.76629755729106,5.63701494055545,8.24881901980483,4.9451589990571,8.35560776552075,5.95503599742551,10.4701251345037,4.34270336104974
"FBgn0032345",2.50397285310858,30.9402352625053,2.07434330902105,19.1651482744387,1.26759459570919,18.2755809499232,2.11775595353645,30.0800910656559,1.15684693429181,22.0476509088527,1.3729221393573,20.6239460747117
"FBgn0032346",7.83636755982647,9.24633126083719,7.5131054807599,8.78971139869972,7.33464181472378,8.65670157406173,7.80453718662401,10.2037326597018,8.55606285987216,8.63325885296782,7.80029586301153,9.99620506033472
"FBgn0032348",36.2797447271882,31.8409198733123,34.7660103768298,44.475891041294,37.9454992092065,41.2051240484286,34.7245012907037,31.7109044175946,40.4566510484022,39.0328134101885,52.6729876968664,38.8537678473726
"FBgn0032350",211.259955081031,152.348404303398,221.620113144385,204.044270836088,252.379450119656,180.767607455075,233.460062592479,133.358392712193,255.810321333175,130.943755672891,308.321307098773,193.664963309628
"FBgn0032354",6.10479903344534,7.8905973707222,5.6992952074884,8.26748471140056,5.31323704699157,7.66037839756657,6.39518750376933,7.10521362253628,7.87761747902069,7.13468270539896,7.4164627389706,8.3984667857835
"FBgn0032358",19.5966684565095,13.4297010410528,19.2055165763211,12.0261438290595,19.1758553956324,11.6447071343279,18.6279894015539,13.990966359585,18.6392557793215,11.8384471103158,16.9067512251966,10.5678586552276
"FBgn0032360",1.58225008430554,134.544534823638,0.420778288089004,83.1337202027079,0.58195850666556,86.5493383634495,1.38872512732896,131.977928841141,0.80622991736893,95.9251484630267,0.761912089239508,110.533276387112
"FBgn0032362",0.587880860436061,0.513757180280693,1.19573418598224,0.853769365777522,0.444902111752283,0.274335160549354,0.581523809995622,0.840914549329708,0.520421658361771,0.443545459065092,0.426596751037815,0.343128132823697
"FBgn0032363",83.9086422942584,69.6588221380071,84.0108083697733,87.0997103762741,89.8337386905854,83.2630450101688,84.9481303054,64.1927151105318,88.4229057836213,69.4456093175951,98.809740759869,73.2415271896531
"FBgn0032364",0.256722640030876,31.0331399740229,0.102332755765046,16.3667564067476,0.411523299217075,14.5100334797932,0.236067396957854,29.6904593378344,0.233354511706586,19.0943161334038,0.273381620156437,18.4506670537546
"FBgn0032365",0.147529316767722,3.89246246238148,0.0488642555665297,2.1510665544217,0.0344411559669415,2.71826836106913,0.0455747179070183,3.8236527380339,0.0383161804489007,3.43413113754941,0.0917440311880544,3.98959784945647
"FBgn0032368",0.036994149523672,2.78235305290165,0.0222531550270231,2.02771608525841,0,2.83242932971941,0.0227873589535092,3.02427822502568,0.0498048990496113,4.01679372074105,0.0307355498466621,2.7575148070178
"FBgn0032369",0.184076184964429,16.97504640715,0.121608237668713,10.9421035598495,0.274112789826554,14.700023962594,0.287852965910391,17.9074679398166,0.170917428912677,19.9507269383733,0.0922066495399865,15.0830419245153
"FBgn0032370",0.589222704416958,39.5466860554078,0.0608041188343564,19.087791476862,0.171143436402974,22.3023892857858,0.426109201032438,40.7777463605843,0.177805253356619,27.2596707661473,0.335777956553624,28.9070779977296
"FBgn0032371",0.735410177203784,52.6837780454989,0.26602203161206,31.2491067025285,0.412585642648808,41.9434829119801,0.509646695356858,47.6813423013434,0.541778289951377,52.5913051866817,0.395861201191154,50.4647643065016
"FBgn0032372",0.256722640030876,32.8445774799539,0.0903928924972195,19.5390765363744,0.103323467900825,17.4775661866064,0.524977336535315,35.5055156104223,0.138707525727921,22.6920618181706,0.21376099387084,20.7733995942532
