Genotype,Data,Sample,NMJ,Segment,Boutons,Experiment,IntDen - pMad,CTCF
WT-cr/LoxP,Boutons,2a,7-Jun,6,22,2,,
WT-cr/LoxP,Boutons,2b,7-Jun,6,22,2,,
WT-cr/LoxP,Boutons,3a,7-Jun,6,29,2,,
WT-cr/LoxP,Boutons,3b,7-Jun,6,26,2,,
WT-cr/LoxP,Boutons,4a,7-Jun,6,22,2,,
WT-cr/LoxP,Boutons,4b,7-Jun,6,43,2,,
WT-cr/LoxP,Boutons,5a,7-Jun,6,14,2,,
WT-cr/LoxP,Boutons,5b,7-Jun,6,31,2,,
WT-cr/LoxP,Boutons,6a,7-Jun,6,24,2,,
G85R,Boutons,1a,4,3,19,1,,
G85R,Boutons,2a,4,3,20,1,,
G85R,Boutons,3a,4,3,9,1,,
G85R,Boutons,3b,4,3,21,1,,
G85R,Boutons,4b,4,3,10,1,,
G85R,Boutons,4a,4,3,20,1,,
G85R,Boutons,4b,4,3,21,2,,
G85R,Boutons,5a,4,3,20,2,,
G85R,Boutons,5b,4,3,22,2,,
G85R,Boutons,1a,4,3,10,1,,
G85R,Boutons,2a,4,3,19,1,,
G85R,Boutons,2b,4,3,24,1,,
G85R,Boutons,3a,4,3,16,1,,
G85R,Boutons,1a,4,4,18,1,,
G85R,Boutons,1b,4,4,34,1,,
G85R,Boutons,2a,4,4,24,1,,
G85R,Boutons,2b,4,4,23,1,,
G85R,Boutons,3a,4,4,27,1,,
G85R,Boutons,3b,4,4,22,1,,
G85R,Boutons,4a,4,4,24,1,,
G85R,Boutons,4b,4,4,15,1,,
G85R,Boutons,1a,4,4,29,2,,
G85R,Boutons,1b,4,4,19,2,,
G85R,Boutons,2a,4,4,29,2,,
G85R,Boutons,2b,4,4,20,2,,
G85R,Boutons,3a,4,4,26,2,,
G85R,Boutons,3b,4,4,22,2,,
G85R,Boutons,4a,4,4,24,2,,
G85R,Boutons,4b,4,4,19,2,,
G85R,Boutons,5a,4,4,11,2,,
G85R,Boutons,1a,4,5,20,1,,
G85R,Boutons,1b,4,5,23,1,,
G85R,Boutons,2a,4,5,19,1,,
G85R,Boutons,2b,4,5,16,1,,
G85R,Boutons,3a,4,5,21,1,,
G85R,Boutons,3b,4,5,20,1,,
G85R,Boutons,4a,4,5,21,1,,
G85R,Boutons,4b,4,5,28,1,,
G85R,Boutons,1a,4,5,17,2,,
G85R,Boutons,1b,4,5,21,2,,
G85R,Boutons,2a,4,5,15,2,,
G85R,Boutons,2b,4,5,16,2,,
G85R,Boutons,3a,4,5,16,2,,
G85R,Boutons,3b,4,5,16,2,,
G85R,Boutons,4a,4,5,29,2,,
G85R,Boutons,4b,4,5,18,2,,
G85R,Boutons,1a,4,6,21,1,,
G85R,Boutons,1b,4,6,20,1,,
G85R,Boutons,2a,4,6,9,1,,
G85R,Boutons,2b,4,6,19,1,,
G85R,Boutons,3a,4,6,20,1,,
G85R,Boutons,3b,4,6,21,1,,
G85R,Boutons,4a,4,6,15,1,,
G85R,Boutons,4b,4,6,8,1,,
G85R,Boutons,1a,4,6,19,2,,
G85R,Boutons,1b,4,6,9,2,,
G85R,Boutons,2a,4,6,15,2,,
G85R,Boutons,2b,4,6,8,2,,
G85R,Boutons,3a,4,6,10,2,,
G85R,Boutons,3b,4,6,19,2,,
G85R,Boutons,4a,4,6,20,2,,
G85R,Boutons,1a,7-Jun,3,33,1,,
G85R,Boutons,2a,7-Jun,3,48,1,,
G85R,Boutons,2b,7-Jun,3,35,1,,
G85R,Boutons,3a,7-Jun,3,43,1,,
G85R,Boutons,3b,7-Jun,3,44,1,,
G85R,Boutons,4a,7-Jun,3,59,1,,
G85R,Boutons,1a,7-Jun,3,48,2,,
G85R,Boutons,2b,7-Jun,3,32,2,,
G85R,Boutons,2a,7-Jun,3,25,2,,
G85R,Boutons,3a,7-Jun,3,98,2,,
G85R,Boutons,3b,7-Jun,3,94,2,,
G85R,Boutons,4a,7-Jun,3,40,2,,
G85R,Boutons,4b,7-Jun,3,60,2,,
G85R,Boutons,5a,7-Jun,3,62,2,,
G85R,Boutons,5b,7-Jun,3,59,2,,
G85R,Boutons,1a,7-Jun,4,44,1,,
G85R,Boutons,1b,7-Jun,4,42,1,,
G85R,Boutons,2a,7-Jun,4,34,1,,
G85R,Boutons,2b,7-Jun,4,42,1,,
G85R,Boutons,3a,7-Jun,4,26,1,,
G85R,Boutons,3b,7-Jun,4,34,1,,
G85R,Boutons,4a,7-Jun,4,24,1,,
G85R,Boutons,4b,7-Jun,4,41,1,,
G85R,Boutons,1a,7-Jun,4,44,2,,
G85R,Boutons,1b,7-Jun,4,48,2,,
G85R,Boutons,2a,7-Jun,4,41,2,,
G85R,Boutons,2b,7-Jun,4,31,2,,
G85R,Boutons,3a,7-Jun,4,43,2,,
G85R,Boutons,3b,7-Jun,4,20,2,,
G85R,Boutons,4a,7-Jun,4,31,2,,
G85R,Boutons,4b,7-Jun,4,28,2,,
G85R,Boutons,5a,7-Jun,4,22,2,,
G85R,Boutons,5b,7-Jun,4,50,2,,
G85R,Boutons,1a,7-Jun,5,25,1,,
G85R,Boutons,1b,7-Jun,5,25,1,,
G85R,Boutons,2a,7-Jun,5,27,1,,
G85R,Boutons,2b,7-Jun,5,33,1,,
G85R,Boutons,3a,7-Jun,5,35,1,,
G85R,Boutons,3b,7-Jun,5,15,1,,
G85R,Boutons,4a,7-Jun,5,43,1,,
G85R,Boutons,4b,7-Jun,5,24,1,,
G85R,Boutons,1a,7-Jun,5,31,2,,
G85R,Boutons,1b,7-Jun,5,19,2,,
G85R,Boutons,2a,7-Jun,5,21,2,,
G85R,Boutons,2b,7-Jun,5,23,2,,
G85R,Boutons,3a,7-Jun,5,21,2,,
G85R,Boutons,3b,7-Jun,5,20,2,,
G85R,Boutons,4a,7-Jun,5,25,2,,
G85R,Boutons,4b,7-Jun,5,26,2,,
G85R,Boutons,5a,7-Jun,5,24,2,,
G85R,Boutons,1a,7-Jun,6,16,1,,
G85R,Boutons,1b,7-Jun,6,22,1,,
G85R,Boutons,2a,7-Jun,6,30,1,,
G85R,Boutons,2b,7-Jun,6,17,1,,
G85R,Boutons,3a,7-Jun,6,15,1,,
G85R,Boutons,3b,7-Jun,6,22,1,,
G85R,Boutons,4a,7-Jun,6,21,1,,
G85R,Boutons,4b,7-Jun,6,39,1,,
G85R,Boutons,1a,7-Jun,6,25,2,,
G85R,Boutons,1b,7-Jun,6,27,2,,
G85R,Boutons,2a,7-Jun,6,19,2,,
G85R,Boutons,2b,7-Jun,6,18,2,,
G85R,Boutons,3a,7-Jun,6,17,2,,
G85R,Boutons,3b,7-Jun,6,27,2,,
G85R,Boutons,4a,7-Jun,6,26,2,,
G85R,Boutons,4b,7-Jun,6,2,2,,
OK371 > gbb [WT],Boutons,4b,4,3,29,1,,
OK371 > gbb [WT],Boutons,4a,4,3,32,1,,
OK371 > gbb [WT],Boutons,3a,4,3,34,1,,
OK371 > gbb [WT],Boutons,1a,4,3,30,1,,
OK371 > gbb [WT],Boutons,2b,4,3,24,1,,
OK371 > gbb [WT],Boutons,4a,4,3,16,2,,
OK371 > gbb [WT],Boutons,3b,4,3,40,2,,
OK371 > gbb [WT],Boutons,3a,4,3,20,2,,
OK371 > gbb [WT],Boutons,2b,4,3,32,2,,
OK371 > gbb [WT],Boutons,2a,4,3,18,2,,
OK371 > gbb [WT],Boutons,1b,4,3,19,2,,
OK371 > gbb [WT],Boutons,1a,4,3,22,2,,
OK371 > gbb [WT],Boutons,1a,7-Jun,3,63,1,,
OK371 > gbb [WT],Boutons,2a,7-Jun,3,36,1,,
OK371 > gbb [WT],Boutons,2b,7-Jun,3,35,1,,
OK371 > gbb [WT],Boutons,3a,7-Jun,3,76,1,,
OK371 > gbb [WT],Boutons,4a,7-Jun,3,42,1,,
OK371 > gbb [WT],Boutons,4b,7-Jun,3,46,1,,
OK371 > gbb [WT],Boutons,1a,7-Jun,3,66,2,,
OK371 > gbb [WT],Boutons,2a,7-Jun,3,25,2,,
OK371 > gbb [WT],Boutons,2b,7-Jun,3,46,2,,
OK371 > gbb [WT],Boutons,3a,7-Jun,3,47,2,,
OK371 > gbb [WT],Boutons,3b,7-Jun,3,26,2,,
OK371 > gbb [WT],Boutons,4a,7-Jun,3,40,2,,
OK371 > gbb [G85R],Boutons,8b,4,3,30,1,,
OK371 > gbb [G85R],Boutons,2b,4,3,26,1,,
OK371 > gbb [G85R],Boutons,4a,4,3,27,1,,
OK371 > gbb [G85R],Boutons,4b,4,3,19,1,,
OK371 > gbb [G85R],Boutons,1a,4,3,44,1,,
OK371 > gbb [G85R],Boutons,3b,4,3,27,1,,
OK371 > gbb [G85R],Boutons,3a,4,3,33,1,,
OK371 > gbb [G85R],Boutons,7b,4,3,15,1,,
OK371 > gbb [G85R],Boutons,7a,4,3,25,1,,
OK371 > gbb [G85R],Boutons,2a,4,3,21,1,,
OK371 > gbb [G85R],Boutons,5a,4,3,34,1,,
OK371 > gbb [G85R],Boutons,4a,4,3,23,2,,
OK371 > gbb [G85R],Boutons,1a,4,3,30,2,,
OK371 > gbb [G85R],Boutons,1b,4,3,16,2,,
OK371 > gbb [G85R],Boutons,2a,4,3,29,2,,
OK371 > gbb [G85R],Boutons,2b,4,3,25,2,,
OK371 > gbb [G85R],Boutons,3a,4,3,40,2,,
OK371 > gbb [G85R],Boutons,3b,4,3,5,2,,
OK371 > gbb [G85R],Boutons,1a,7-Jun,3,49,1,,
OK371 > gbb [G85R],Boutons,2b,7-Jun,3,49,1,,
OK371 > gbb [G85R],Boutons,3a,7-Jun,3,33,1,,
OK371 > gbb [G85R],Boutons,4b,7-Jun,3,27,1,,
OK371 > gbb [G85R],Boutons,5a,7-Jun,3,40,1,,
OK371 > gbb [G85R],Boutons,6a,7-Jun,3,46,1,,
OK371 > gbb [G85R],Boutons,6b,7-Jun,3,54,1,,
OK371 > gbb [G85R],Boutons,7a,7-Jun,3,26,1,,
OK371 > gbb [G85R],Boutons,7b,7-Jun,3,41,1,,
OK371 > gbb [G85R],Boutons,8a,7-Jun,3,57,1,,
OK371 > gbb [G85R],Boutons,8b,7-Jun,3,39,1,,
OK371 > gbb [G85R],Boutons,1a,7-Jun,3,50,2,,
OK371 > gbb [G85R],Boutons,1b,7-Jun,3,40,2,,
OK371 > gbb [G85R],Boutons,2a,7-Jun,3,42,2,,
OK371 > gbb [G85R],Boutons,2b,7-Jun,3,35,2,,
OK371 > gbb [G85R],Boutons,3a,7-Jun,3,31,2,,
OK371 > gbb [G85R],Boutons,3b,7-Jun,3,40,2,,
OK371 > gbb [G85R],Boutons,4a,7-Jun,3,30,2,,
OK371 > saxA [WT],Boutons,4a,4,3,26,1,,
OK371 > saxA [WT],Boutons,4b,4,3,18,1,,
OK371 > saxA [WT],Boutons,5a,4,3,50,1,,
OK371 > saxA [WT],Boutons,5b,4,3,27,1,,
OK371 > saxA [WT],Boutons,6b,4,3,27,1,,
OK371 > saxA [WT],Boutons,6a,4,3,20,1,,
OK371 > saxA [WT],Boutons,1a,4,3,46,1,,
OK371 > saxA [WT],Boutons,1b,4,3,28,1,,
OK371 > saxA [WT],Boutons,2a,4,3,44,1,,
OK371 > saxA [WT],Boutons,3b,4,3,43,1,,
OK371 > saxA [WT],Boutons,1a,7-Jun,3,68,1,,
OK371 > saxA [WT],Boutons,1b,7-Jun,3,56,1,,
OK371 > saxA [WT],Boutons,2a,7-Jun,3,65,1,,
OK371 > saxA [WT],Boutons,3a,7-Jun,3,68,1,,
OK371 > saxA [WT],Boutons,3b,7-Jun,3,80,1,,
OK371 > saxA [WT],Boutons,4a,7-Jun,3,59,1,,
OK371 > saxA [WT],Boutons,4b,7-Jun,3,29,1,,
OK371 > saxA [WT],Boutons,5a,7-Jun,3,34,1,,
OK371 > saxA [WT],Boutons,5b,7-Jun,3,53,1,,
OK371 > saxA [WT],Boutons,6a,7-Jun,3,38,1,,
OK371 > saxA [WT],Boutons,6b,7-Jun,3,23,1,,
