"","filter","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","E1","E2","E3","E4","F1","F2","F3","F4"
"N-acetyl-DL-serine / O-acetyl-L-serine",9662792.515,16081576.79,36143299.97,21791737.33,42317662.43,35525698.82,32631800.66,45602716.89,40255640.25,50566456.03,41440107.45,20890125.79,39706505.26,38530536.42,38256136.57,35711261.54,40232218.59,41943519.06,32453771.42,47680538.96,11865584.27,18071201.14,26194543.88,37547047.21,40036066.57
"N-acetylglucosamine 1/6-phosphate",3086843.805,3660111.15,13187857.79,7225123.566,11394865.37,12478429.8,14443712.73,19148897.63,15150412.36,30947209.56,12338297.58,13972753.15,17675787.34,14446378.06,15205668,14785863.11,14233585.85,11912420.36,12578247.29,12227492.81,3458428.761,10909764.8,14017518.17,11360238.17,15121912.34
"N-acetylglycine",6420340.33225,6998710.935,16411098.74,9250308.229,11695859.37,14396308.84,14655345.61,19382563.57,18101111.29,16872610.68,19492173.45,7393792.662,15869265.19,14962759.37,21967530.32,17365096.28,16737694.26,16182553.98,19071305.2,19203919.16,3871307.48,8430809.268,9996320.601,13299358.89,17554716.25
"N-acetyl-L-glutamic acid",2732369.52175,6831549.325,8522942.204,7382441.297,7541147.887,12932677.84,9598637.431,10073662.17,7648534.709,10065322.88,6352391.886,9123966.89,8587083.305,8840718.998,11662822.85,7695401.215,7839937.507,6512664.067,6565610.247,5659470.139,4289913.961,3431595.625,4287185.581,2714536.883,4658026.728
"NAD+",13822578.385,8837588.753,32422052.99,24617921.3,21251283.02,31847516.04,33722228.45,32729499.27,33441416.71,50769892.52,18681119.11,28499233.01,30206405.06,20525789.33,26438404.11,17914456.37,19419855.48,16449772.63,16004015.98,15390605.77,3371358.57,16843080.42,19750617.54,16647176.42,17426780.04
"NADH",919367.876025,745946.2181,1614230.158,1584180.256,1809913.262,1704901.652,1641264.515,3153345.563,2825325.139,900559.1756,329439.1944,1771727.329,1920098.292,718505.1974,2631049.507,1346663.906,1381610.709,932814.0184,2029500.367,969605.6305,233707.8534,656511.9094,905717.1636,669311.1358,1303424.165
"NADP+",187050.90495,198022.0848,480307.182,219204.0457,420960.6801,389931.8839,697744.6041,534413.656,488597.6137,5376693.039,443657.6963,505881.6745,819984.0909,349277.1208,453239.4194,361154.6814,159326.4885,235392.2446,375962.2135,443515.085,61876.00058,120870.5024,315307.7651,456147.2044,453733.25
"NADPH",34896.4770965,12670.82833,19082.55107,12337.10684,12015.26453,36492.47744,65609.66924,14300.15312,2403.052906,100704.6595,2403.052906,28531.95051,40066.41227,39720.68769,2403.052906,41108.45164,14666.80905,29244.88032,30009.49875,41534.55063,2403.052906,2403.052906,2403.052906,2403.052906,2403.052906
"N-carbamoyl-L-aspartate",64999.4059795,3023.693798,15118.46899,3023.693798,3023.693798,125872.0345,3023.693798,3023.693798,3023.693798,3023.693798,73119.29649,3023.693798,3023.693798,21362.5393,75374.43031,3023.693798,73780.62911,166005.1919,3023.693798,76064.61006,3023.693798,53627.01224,62790.04671,66324.36754,65767.03118
"nebularine",0,2064.965458,2064.965458,2064.965458,10324.82729,2064.965458,2064.965458,2064.965458,2064.965458,12107.67909,2064.965458,2064.965458,2064.965458,2064.965458,2064.965458,2064.965458,2064.965458,2064.965458,22570.38226,2064.965458,2064.965458,2064.965458,2064.965458,2064.965458,16203.42514
"N-formyl-L-methionine",337635.20435,430266.3668,1223599.5,767924.8923,2558780.104,1258458.558,1114346.18,1357837.768,1365150.703,1283293.648,1333918.908,701202.1339,1349687.069,1394415.248,1240266.311,1644906.699,1507110.509,1072404.066,2435222.368,2203167.136,922114.3416,575639.3457,673416.9311,1160348.391,1187350.617
"nicotinamide",53481991.1285,5123655.664,45466124.49,66783564.38,68458003.45,55494616.01,32138074.41,60509552.64,43960549.32,64387464.28,100177725.1,81098853.85,57971011.51,5123655.664,5123655.664,5123655.664,29240787.98,33226671.32,5123655.664,5123655.664,5123655.664,5123655.664,5123655.664,49765543.71,25618278.32
"nicotinamide riboside+",43467606.5975,18042235.37,78429090.14,32190452.68,54175026.2,106159077.8,89516423.83,92967599.15,91448023.49,48173759.7,56731784.9,56641161.64,64767944.29,10967930.23,20997885.95,14142959.42,26845680.47,17932892.16,16027371.33,14035792.15,5973199.341,9157110.503,15649971.06,9700515.612,18401701.45
"nicotinic acid",21214561.87,21498407.21,68249189.61,47914464.26,82786072.91,63304851.18,62486892.29,80430806.22,83748067.36,59397105.92,96431019.98,29906883.16,76371713.8,56864512.26,75390037.58,61407477.46,74061486.64,70511128.12,70767084.19,74104070.23,32479026.66,33685862.76,50908720.92,78215984.37,77245363.78
"N-methylaspartic acid",1180404929.11145,810901884.2,1167170835,996272983.4,345948.0791,1403467041,1641056098,1223220547,1289600376,1477220948,893867715.2,1425201530,1101535.18,1025026.853,697264.0793,539508.2396,66643.87795,1003492080,1013196093,627170.7379,471721559.2,742639829.3,938219128.2,805357.1583,298706.6196
"NMN",10965128.077,5642845.545,20068086.3,9167136.83,17000607.29,14580669.19,19339576.02,25988637.02,20649124.46,34324053.62,17882039.96,18750426.67,24631994.33,7750999.199,12037592.14,10741639.49,10192618.94,7721376.481,7993114.841,9048582.701,3226541.745,3166611.905,8744843.261,6675807.038,8819478.802
"norepinephrine / pyridoxine",1995154.462,5190668.232,2185158.365,149966.3017,3624879.476,1317181.495,2553267.53,1674986.526,2969039.14,3565959.815,4292504.073,4953095.189,3297863.997,3507652.08,3043520.443,2504728.542,749831.5085,149966.3017,3097632.746,4301596.029,149966.3017,149966.3017,2453781.16,4084236.234,1967217.196
"ornithine",25668351.57,14790230.49,28070872.75,12888849.36,20929422.86,12757068.78,20180611.62,27399181.28,23558221.12,73523839.6,25876326.55,30374045.14,44512910.79,42744814.93,42998019.3,62004873.75,36659549.57,49773367.9,49504094.94,51877413.16,53443691.17,39512201.85,50746955.53,51619740.46,55280934.98
"orotic acid",8341630.3645,976457.9187,2952486.542,2252189.641,4450008.112,2534561.992,2587303.656,2994154.576,3340663.633,3842601.014,6081047.559,2349769.224,3842086.877,11070950.01,8474117.697,10800950.48,12026948.91,15182537.18,14823107.34,14823681.91,1935091.773,3499020.626,6935409.043,16340347.27,11598434.71
"O-succinyl-homoserine",235134.3083,41210.96548,301546.6014,42563.71457,387438.5186,90481.50876,416775.4857,625712.8419,629997.4929,746801.6832,482052.1359,225202.4429,654636.0866,328114.8006,310867.0604,348055.1212,397324.9063,167447.3921,484187.904,231452.0059,202065.8125,193154.2684,445386.0795,404155.1194,442580.4021
"pantothenic acid",96114342.6499999,186858047.5,433926248.9,203733590.9,509746817.2,471705959.4,379989923.6,431273872.4,408797637,467098780.5,508062045.2,244433912.2,411619096.4,379553104.3,427587286.2,359471841.6,361561474.1,371904926.3,367684717.8,394361975.7,120496795.1,221408801.5,305788897.8,466883046.5,479418347.4
"phenethylamine",1130135.86585,2051902.874,2077875.135,2440764.762,2236249.89,57985.00328,1123170.123,289925.0164,1280394.366,2018426.805,1486572.741,1571727.746,2523128.767,790843.0571,1217915.39,1686608.935,735492.7147,1959961.403,1391350.652,2309117.944,1198315.019,714576.9387,57985.00328,2564251.528,974065.7455
"phenylalanine",576359284.75,1179264809,2918027973,1550749021,3184557619,2553035730,2367689806,2595010368,2552403706,2469422544,3320224698,1424074650,2871090064,2044445860,2428566196,2111389406,2204323027,2186728517,2462388711,2533136559,976688521.2,1192889551,1771472129,2161516719,2463733239
"phosphocreatine",25264.098682,219511.5632,17202.33079,10586.88619,2117.377238,294820.6484,12047.0844,2117.377238,2117.377238,92150.15864,17320.18917,2117.377238,2117.377238,122214.2987,18865.45254,2117.377238,2117.377238,73868.97183,2117.377238,2117.377238,2117.377238,52929.54606,2117.377238,2117.377238,2117.377238
"phosphoenolpyruvate",783068.9881,451423.9344,1109786.209,100314.1931,409841.9572,689397.75,1738114.437,1772778.944,1338289.497,6245328.607,563569.7407,415029.2512,1175138,1068179.788,1091216.707,977035.4851,1522846.723,683268.3412,1457788.722,588670.9093,118357.1699,639540.0901,1446989.93,770833.7441,1035162.389
"phosphorylcholine+",3293757399.75,1673025269,3288316306,1572588824,3255813191,3873332299,5376500796,5764210524,4872586187,5789763949,2816866852,4187703705,3918784079,8280538653,8714570990,7688432258,8725206835,6022920723,7361596453,8466724397,4112279907,4235017851,6965708436,6664649896,7147705894
"proline",3333720694.25,11321822552,20192616707,13990976632,21684102282,20197379654,20427202580,21486322718,20385627991,21754156216,22282499822,17924805531,21075694932,17116485914,19458702890,16899746034,19226318673,17524763177,19190310041,18467397297,10797240898,12175389019,15357212982,19930197687,18760219354
"PRPP",0,16.01984572,9609.506485,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,80.0992286,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572,16.01984572
"pseudouridine",6167817.605,8704499.938,19984011.62,10935652.36,24809424.71,22007181.01,17252321.15,19386813.05,19829247.03,17959234.8,18861717.05,10480522.93,17389168,13541603.71,15903606.33,13368004.16,13214403.28,18174284.94,22148261.51,20824622.98,5455857.531,8355334.61,14939790.86,18075786.71,19180535.77
"putrescine",950759.05825,41551.88311,2732437.555,3707527.251,2590512.157,69259.5526,2378560.254,1906644.601,2426939.481,1275974.729,2503063.357,982040.024,2870102.438,1558083.655,2596796.054,2020894.575,2104969.089,9673152.717,2220845.588,1868250.124,1518355.762,1669070.879,1870645.935,1877920.346,2613990.44
"pyridoxal",12961155.59,18656624.06,34095001.91,21296617.69,48565707.35,30699062.84,24847718.91,31131112.59,34229319.62,27742306.85,44619386.93,26058546.98,31136485.49,19982815.05,15413806.57,23993804.69,26742148.55,8607893.932,13087452.94,20108321.44,13723554.64,11079603.35,10605489.05,24176573.71,28830836.17
"pyroglutamic acid",823215674.25,966379008.9,2116039163,1338992874,2723317491,1779860595,1896248200,1952513335,2279596076,2843892619,2615423037,1302283384,2373006280,2516849462,2588812490,2460862987,2737065448,2640535101,2442615183,2967588390,715972330.2,1163310271,1804693640,3107195687,2427373948
"pyrroline hydroxycarboxylic acid",1180375509.75,2718538291,3288836965,3101851529,3255383288,3633807808,3483363337,3759967389,3518755221,3262576646,3192002803,3228936966,3408888423,5526942888,5944740881,5645894318,5772703054,4376898374,4423862010,5373016100,2575985749,2439225850,3928371236,4445002839,3994936531
"pyruvic acid",217657682.175,581410386.8,384534518.7,214708886.7,536522895.2,760988202.7,763848765.2,408480044.9,653291510,495690771.8,1147875858,659560281.7,619046512.2,1361915183,631378803.7,770984455.7,1515056085,572237587.7,502179566.3,578472019.4,814915839.4,680941852.5,551792375.8,939115903.4,681579584.4
"S-adenosyl-L-homocysteine",431293.910175,540989.9462,986081.1066,616216.7252,721299.079,560704.2072,796538.0755,553027.0909,645733.9249,926466.8336,1096479.35,880091.4995,952794.2953,666228.7994,808686.2947,1041193.474,1325871.834,845899.0359,1102456.066,1045388.621,381930.2854,540149.8003,575652.5647,1036094.969,1061117.181
"S-adenosyl-L-methionine+",10732362.745,5638134.245,16417921.2,6817314.557,17692584.1,19278821.68,27436058.47,35485357.71,25321954.88,112474481.7,26851095.49,28622826.14,55901237.41,18745281.22,28503627.59,24750463.23,23662779.02,13797982.42,20501322.47,23922418.67,13666584.92,11451496.69,20346275.01,15806130.36,22975799.28
"S-adenosylmethioninamine+",0,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,9347.576093,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,1869.5152186,12305.43668,1869.5152186,1869.5152186
"SAICAR",0,8553.545042,13605.55781,982.7450612,982.7450612,982.7450612,15165.21522,982.7450612,982.7450612,982.7450612,982.7450612,982.7450612,982.7450612,982.7450612,982.7450612,982.7450612,11878.13074,982.7450612,982.7450612,982.7450612,982.7450612,4913.725306,982.7450612,982.7450612,982.7450612
"sarcosine",245233005.033975,55796366.35,522130.1799,179229665.4,201965309.1,389303903.5,612963738.9,424535.5979,554637630.1,418335.7764,443824731.5,1424347.491,365851.8289,230058898.5,455003.3878,687904.698,295679863.8,248951799.9,1400949.269,1434920.991,3312047.71,152523558.9,6030832.943,245071692.6,848984.2887
"serine",69574168.275,181453006.7,347163656.6,234733101.6,360596350,373553959.9,360821229.7,386114348.7,369340116.8,358546429.3,365433153.8,375787060.5,380655883.8,401473246.4,409817159.3,371430579.9,393026166.6,325026688.5,292807858.6,368841204.6,196721898.9,226118425.2,302938944.6,313758963.6,305071107.5
"serotonin",1687118.363,72266.596,2654821.444,1052141.956,3008045.733,3563101.392,3250162.883,1966768.686,3036861.353,5064324.975,1932369.177,2347162.054,3930391.107,871273.5092,361332.98,1851764.604,2635700.212,2455156.679,2989882.434,2057092.127,72266.596,1292612.967,1439886.841,5481527.198,3744052.112
"sorbitol / galactitol / L-iditol / manitol",397085736.275,409760339.5,776751440.7,499502662.9,909701370.6,1822465223,1077314707,2366102291,1559213507,1042943670,905924858.1,672958692.9,765996786,710940716.7,766281271.6,1188668502,951593077.8,2479941913,562052996.7,916526424.5,828517073.8,327778358.2,585276039.3,879126440.2,598926693.2
"spermidine",346289796.1,551421444.4,581494734.2,226392462,200403852.3,876677935.2,526668571.8,165801133.5,188348870.3,673297380.8,395467492.9,124236392,184610904,791161560.9,315795209.6,196869474.6,187219023.8,729512905.4,250576289.8,196554462.5,105501993.8,447746221.2,174625209.4,202180009,176607871.6
"spermine",9759016.755,52700900.23,78985270.86,91106550.59,79556020.4,81332104.28,77496300.6,71933879.96,79112867.12,66537959.93,73784576.02,50425456.73,81837579.05,80014520.85,78702828.45,77834616.37,84342953.53,83600867.04,76850941.56,76368055.95,54025954.72,56748065.77,62947566.83,79311912.77,86995725.79
"succinic acid",507435266,1618826520,2195511371,1654512962,2171280814,2397186670,2291075011,2948356707,2323444065,1808039044,2307434074,1888884499,2089009365,2166059576,2807225861,2094002183,2209477795,2199194172,2385417507,2107853273,1281103541,1555954383,1726800911,1463955543,2010472712
"taurine",494983150.75,1021415403,1808229264,943936343.7,2226292550,2201004230,1826132803,2132475674,2024367329,1466190861,1794668709,1877348658,1522049371,2210924964,2360179453,2104840416,2201778665,2120062513,1964327850,2025442576,717152664.4,1311135737,1698816426,2413482758,2100689896
"thiamine diphosphate+",3838327.57175,8962062.498,7229241.606,3907550.037,2449715.492,7012018.464,6216302.355,4966996.986,3339831.24,19487246.77,6146215.538,3469754.629,2536540.119,8582198.146,6999397.251,3793787.77,2521909.114,7906402.743,7145822.262,4630758.438,684276.2699,6412545.87,7750964.309,3293904.385,2061393.856
"thiamine phosphate+",3920561.483,6974079.167,9805122.301,5526254.079,9911698.337,8455438.392,10507525.23,11793878,10641930,15859079.01,8659291.875,8246288.82,10258050.56,13409199.68,13529305.67,13370530.88,13361516.67,12108553.16,14165413.81,14030015.59,7081305.122,10750875.33,12889790.14,13654058.83,14450290.43
"thiamine+",41542548.29,102284901.2,177620004,84550931.78,207816522,142163729.5,147097916.1,129566555.4,161027270.8,111705338.3,113527651.7,85352699.53,103093204.6,62685919.31,90558584.74,69325244.27,88966927.67,104137118.9,103916585.8,104001905.3,45666539.37,66677116.69,100158972.5,129724009.5,108688477.5
"thymidine",1140650.4049,2072508.011,1300024.616,399017.3021,1395852.877,40411.46695,738606.3395,783633.9442,851522.7594,2499461.809,2704512.955,3962033.688,1628999.524,1518463.902,1479063.485,1583998.401,1359782.221,1197170.201,2168724.391,2532415.378,8082.29339,2777761.649,2730191.477,2064039.374,1251574.935
"thymine",2883768.67575,7163275.187,2451156.958,824150.3106,5342503.383,1620814.05,2299893.847,3317485.573,5619930.223,3098441.023,3179060.204,5879901.154,2553736.237,2841261.802,2100558.901,4166934.504,2840591.416,4258684.779,2225750.697,4132061.935,11178566.19,8638647.343,6678032.717,3729043.595,4343419.386
"tryptophan",191842372.1,239579471,536608068.8,247511867.2,654477736.4,385119550.2,342470225.9,382090055,438625092.5,398237276.2,530515415.4,211666102.4,407361307.2,406934769.9,485310021.2,410794541.5,461294474.7,529277352.8,576007044,539723532,217184015.8,230515768.5,333374148.9,569480786.1,604570332.1
"tyramine",7304913.37475,5694810.838,9145765.966,3681799.521,17379569.79,4502652.907,9974847.427,3126354.812,9791449.625,15547238.34,17180264.99,625270.9624,12291890.94,8914994.565,9226519.371,3966717.499,8106213.915,7981616.887,17239901.42,28839417.23,4453656.906,6692368.198,10498540.67,13931066.1,12249547.38
"tyrosine",3118404605.75,7891310097,16188820885,8114149692,14725117625,13346836377,12234764310,13569410477,13201901530,12041502485,15498926276,8273901916,13338187407,10456040484,12069691929,11848050763,11160482261,12805143414,13052977590,14417211569,4745189456,8003141168,9519658723,13246090755,12467996926
"UDP",548083.646525,393082.9957,779278.1742,315724.6883,545369.9186,791722.9638,1831024.767,1030731.657,1057158.181,4821842.683,164538.9943,577471.4807,1427208.037,582782.8474,915827.0558,725731.9099,503879.1514,806573.3922,244425.0564,1032716.388,83719.98971,420939.3187,1083011.362,663447.5445,685083.0946
"UDP-D-galactose / UDP-D-glucose",1768514.204,1510815.197,3014412.424,1845486.111,2105937.907,4372426.116,5389160.037,4558599.105,3905009.771,10376330.17,1614398.358,4150099.617,4829430.831,3503201.332,6875692.781,4164234.6,3269993.735,15101.65132,2561711.731,4066661.043,675863.0009,3273109.405,4080412.304,2653613.788,3672297.059
"UDP-N-acetyl-galactosamine/UDP-N-acetyl-glucosamine",3017442.05375,2121170.194,7777986.039,7350708.655,5322607.021,8952929.829,9373785.956,10621424.09,8974534.502,14547565.08,4788309.719,7872720.117,8749962.625,7509500.839,9105842.387,7131477.989,7230169.893,5936814.156,6249268.307,6671598.648,1059061.021,5027747.303,6568729.193,4321770.336,5979978.781
"UMP",2828204.94825,5139625.312,7149205.71,4018084.973,4776969.249,8268042.561,9264189.854,7825114.463,7865274.486,9440741.145,3430761.872,4889339.243,5972436.315,4775990.454,8835461.415,6140062.11,5889061.714,5304994.233,3719116.811,6960237.539,1569800.374,3814670.244,4647275.609,3905118.018,5627775.573
"uracil",64407365.975,99654133.39,161147275,82824549.44,213957710.5,109810915.8,125320242,139656204.2,164073495.7,152972907,268557805,127554119.5,196479328.7,201933714.8,160004883.4,152881342.4,176636089,154496066.9,217344873.1,189710911.9,186223332.3,117312090.9,124680938.8,189289373.6,211287930.1
"uracil 5-carboxylic acid",0,9263.812612,9263.812612,9263.812612,9263.812612,9263.812612,9263.812612,9263.812612,9263.812612,9263.812612,9263.812612,9263.812612,9263.812612,57713.30877,9263.812612,56473.55469,9263.812612,9263.812612,9263.812612,9263.812612,46319.06306,9263.812612,9263.812612,9263.812612,94192.15702
"urea",7245854.54,19026119.22,14704457.06,11265841.09,17174897.71,10137445.53,11217902.3,15178788.15,12901363.44,18721600.1,15665938.73,5657056.258,16502720.69,19028969.52,19008183.46,21105037.62,16521483.74,20669932.65,31933102.68,41677916.89,41009570.83,26717496.4,16110814.68,25909126.81,34879870.82
"uric acid",4344529244,3454784498,6821125055,3836752196,7540837292,5677253629,4926793782,5719371320,5707194943,5473626772,5921140837,5006253907,5456566179,967670952.9,1234749680,1089578697,911226417.8,1255726846,1167998405,1091573075,462905356.6,1184006188,1266873123,1624975249,1222164899
"uridine",181360949.9,141442594.6,523618848.5,270052170.8,759346639.8,559790956.7,513011137.4,574352625.1,688214265.3,538025234.6,616940477.4,227512410.4,539873895.7,436374790.2,456147043.5,393356090,440594189.9,386151209.7,509276488.4,462850792.7,182048249.4,140945043.3,228737967.9,511266959,511236828.7
"UTP",0,2136.36064,2136.36064,2136.36064,2136.36064,12020.49453,2136.36064,2136.36064,2136.36064,216236.0826,2136.36064,2136.36064,2136.36064,2136.36064,2136.36064,2136.36064,2136.36064,13402.50763,2136.36064,2136.36064,2136.36064,17886.29288,2136.36064,2136.36064,10681.8032
"valine / norvaline",227183083.8,578747178.4,877719330.3,510133525.1,969401670.9,975632404.2,804811941,966217523.1,972034280,855676660.4,1032110830,617785421.4,894201568.1,1263240737,1274255065,1073028830,1017284412,959704626.3,942455925.9,1148041687,608277637.3,629670254.5,813590245.6,1067668311,1057982523
"vitamin B2",9109720.5595,6975123.384,25275274.77,11883569.69,25781979.23,22826994.27,17838948.25,16063775.61,21481223.65,15765687.81,18001258.64,6853929.003,13192846.3,8486323.59,10046304.86,6151570.819,9451481.351,8139995.975,9891140.925,7538756.486,2983805.745,3092993.016,6886854.491,14100293.6,14167521.88
"xanthine",106467645.4105,40695229.95,118874247.6,72935185.66,137483852.2,156980720.6,114982987.5,139431225.9,128674201.4,105727371.8,143208284.4,62316326.87,116810945.5,5949677.834,11279973.82,9683084.048,7962841.665,22707796.49,11251139.47,22389080.59,8751040.326,4809438.022,8728110.878,14326367.4,13422889.11
"xanthosine",246817.910145,61390.5726,343278.8874,253912.7594,796739.2345,58374.98447,101338.843,548700.4921,417778.0636,313349.1001,309930.9267,95867.07754,330994.8528,11674.996894,232670.9571,150607.0019,524561.6163,268890.2944,124558.8038,231714.8985,11674.996894,11674.996894,11674.996894,520428.056,100777.1853
"xanthurenic acid",3698250.23475,3313830.779,10839826.38,5792664.293,16656186.19,4476318.636,4150993.154,6103882.27,4998127.805,4864460.905,6678858.512,2739438.53,6446603.413,1881568.589,2130429.063,2828743.094,2930367.682,6799809.124,7579212.219,4824377.7,2258870.259,1101760.956,2186229.316,9064930.062,5720122.804
"XMP",45499.601815,2500.962748,59093.70925,19041.32917,24684.70622,50448.8386,76039.986,108391.0247,118213.5417,201911.2221,17860.1452,19859.47584,99341.12441,60456.47931,40614.71374,90816.84139,41667.0273,28971.93527,16920.95375,19397.21135,2500.962748,12504.81374,24245.23721,18287.02916,38910.35724
"xylitol / arabitol / ribito",49468211.8,75619434.81,175145111,80695642.24,188087697.5,148120911.2,170109422.8,196897939.3,182140809.1,165641677.3,198905201,99798431.42,146937381.1,207808174.2,186326542.7,267823201.6,235021031,157397546,195220014.8,183710971.2,65302008.29,112516811.8,184164432.5,243201034.2,198479144
"y-glutamylcysteine",9897507.03,12160170.09,20246781.34,11489802.64,13399484.37,19773627.59,29916098.67,29519779.57,36935878.5,28917893.74,20241465.25,17362549.9,26862766.84,22717260.53,23125212.74,23907661.38,33717551.86,24946253.68,34392840.62,39763656.27,12285895.46,14032234.8,27826795.67,24359220.48,24766965.05
